Id,Nme,Desc
697,@686,@686
698,@652,@652
699,@688,@688
700,@678,@678
701,@679,@679
702,@680,@71
703,@681,@681
704,@655,@655
705,@683,@683
706,@684,@684
707,@685,@685
708,@686,@686
709,@652,@652
710,@688,@688
711,Defeat Ol Mahum Officer of the Summit of Dissonance.,Defeat Ol Mahum Officer {TaskCount} time(s).
712,Defeat Ol Mahum Supplier of the Summit of Dissonance.,Defeat Ol Mahum Supplier {TaskCount} time(s).
713,Defeat Ol B’Khan of the Summit of Dissonance.,Defeat Ol B’Khan {TaskCount} time(s).
714,Defeat Marsh Premo of the Summit of Dissonance.,Defeat Marsh Premo {TaskCount} time(s).
715,Defeat Ol Mahum Sentry of the Summit of Dissonance.,Defeat Ol Mahum Sentry {TaskCount} time(s).
716,Defeat Ol Mahum Recruit of the Summit of Dissonance.,Defeat Ol Mahum Recruit {TaskCount} time(s).
717,Defeat Ol Mahum Trooper of the Summit of Dissonance.,Defeat Ol Mahum Trooper {TaskCount} time(s).
718,Defeat Ol Mahum Sniper of the Summit of Dissonance.,Defeat Ol Mahum Sniper {TaskCount} time(s).
719,Defeat Ol Mahum Commander of the Summit of Dissonance.,Defeat Ol Mahum Commander {TaskCount} time(s).
720,Defeat Walking Fungus of the Summit of Dissonance.,Defeat Walking Fungus {TaskCount} time(s).
721,@711,@711
722,@712,@712
723,@713,@713
724,@714,@714
725,@715,@715
726,@716,@716
727,@717,@717
728,@718,@718
729,@719,@719
730,@720,@720
731,@711,@711
732,@712,@712
733,@713,@713
734,@714,@714
735,@715,@715
736,@716,@716
737,@717,@717
738,@718,@718
739,@719,@719
740,@720,@720
741,Defeat Dicor of Sorrow of Shrieking Hallows.,Defeat Dicor of Sorrow {TaskCount} time(s).
742,Defeat Wailing Mandragora of Shrieking Hallows.,Defeat Wailing Mandragora {TaskCount} time(s).
743,Defeat Tortured Mandragora of Shrieking Hallows.,Defeat Tortured Mandragora {TaskCount} time(s).
744,Defeat Dicor of Despair of Shrieking Hallows.,Defeat Dicor of Despair {TaskCount} time(s).
745,Defeat Furious Mandragora of Shrieking Hallows.,Defeat Furious Mandragora {TaskCount} time(s).
746,Defeat Screamer of Shrieking Hallows.,Defeat Screamer {TaskCount} time(s).
747,Defeat Flora of Shrieking Hallows.,Defeat Flora {TaskCount} time(s).
748,@741,@741
749,@742,@742
750,@743,@743
751,@744,@744
752,@745,@745
753,@746,@746
754,@747,@747
755,@741,@741
756,@742,@742
757,@743,@743
758,@744,@744
759,@745,@745
760,@746,@746
761,@747,@747
762,@741,@741
763,@742,@742
764,@743,@743
765,@744,@744
766,@745,@745
767,@746,@746
768,@747,@747
769,@741,@741
770,@742,@742
771,Defeat Exhausted Doom Servant of Shrieking Hallows.,Defeat Exhausted Doom Servant {TaskCount} time(s).
772,Defeat Vindictive Killer of Shrieking Hallows.,Defeat Vindictive Killer {TaskCount} time(s).
773,Defeat Demented Reaper of Shrieking Hallows.,Defeat Demented Reaper {TaskCount} time(s).
774,Defeat Black Willow of Shrieking Hallows.,Defeat Black Willow {TaskCount} time(s).
775,Defeat Maimed Killer of Shrieking Hallows.,Defeat Maimed Killer {TaskCount} time(s).
776,@771,@771
777,@772,@772
778,@773,@773
779,@774,@774
780,@775,@775
781,@771,@771
782,@772,@772
783,@773,@773
784,@774,@774
785,@775,@775
786,@771,@771
787,@772,@772
788,@773,@773
789,@774,@774
790,@775,@775
791,@771,@771
792,@772,@772
793,@773,@773
794,@774,@774
795,@775,@775
796,@771,@771
797,@772,@772
798,@773,@773
799,@774,@774
800,@775,@775
801,Defeat Doom Servant of Shrieking Hallows.,Defeat Doom Servant {TaskCount} time(s).
802,Defeat Restless Spirit of Shrieking Hallows.,Defeat Restless Spirit {TaskCount} time(s).
803,Defeat Innocent Spirit of Shrieking Hallows.,Defeat Innocent Spirit {TaskCount} time(s).
804,Defeat Death Reaper of Shrieking Hallows.,Defeat Death Reaper {TaskCount} time(s).
805,Defeat Ominous Willow of Shrieking Hallows.,Defeat Ominous Willow {TaskCount} time(s).
806,Defeat Bloodthirsty Specter at Shrieking Hallows of Shrieking Hallows.,Defeat Bloodthirsty Specter {TaskCount} time(s).
807,Defeat Resurrected Specter of Shrieking Hallows.,Defeat Resurrected Specter {TaskCount} time(s).
808,Defeat Resurrected Merchant of Shrieking Hallows.,Defeat Resurrected Merchant {TaskCount} time(s).
809,@801,@801
810,@802,@802
811,@803,@803
812,@804,@804
813,@805,@805
814,@806,@806
815,@807,@807
816,@808,@808
817,@801,@801
818,@802,@802
819,@803,@803
820,@804,@804
821,@805,@805
822,@806,@806
823,@807,@807
824,@808,@808
825,@801,@801
826,@802,@802
827,@803,@803
828,@804,@804
829,@805,@805
830,@806,@806
831,Defeat Jonadan of Shrieking Hallows.,Defeat Jonadan {TaskCount} time(s).
832,Defeat Shrieking Treant of Shrieking Hallows.,Defeat Shrieking Treant {TaskCount} time(s).
833,Defeat Cowboy of Shrieking Hallows.,Defeat Cowboy {TaskCount} time(s).
834,Defeat Seamstress of Shrieking Hallows.,Defeat Seamstress {TaskCount} time(s).
835,Defeat Balthazar of Shrieking Hallows.,Defeat Balthazar {TaskCount} time(s).
836,Defeat Skeleton Trooper of Shrieking Hallows.,Defeat Skeleton Trooper {TaskCount} time(s).
837,Defeat Skeleton Marksman of Shrieking Hallows.,Defeat Skeleton Marksman {TaskCount} time(s).
838,@831,@831
839,@832,@832
840,@833,@833
841,@834,@834
842,@835,@835
843,@836,@836
844,@837,@837
845,@831,@831
846,@832,@832
847,@833,@833
848,@834,@834
849,@835,@835
850,@836,@836
851,@837,@837
852,@832,@832
853,@833,@833
854,@834,@834
855,@835,@835
856,@836,@836
857,@837,@837
858,@831,@831
859,@832,@832
860,@831,@831
861,@832,@832
862,Defeat Nerkas Necromancer of Shrieking Hallows.,Defeat Nerkas Necromancer {TaskCount} time(s).
863,Defeat Nerkas Soulharvester of Shrieking Hallows.,Defeat Nerkas Soulharvester {TaskCount} time(s).
864,Defeat Zombie Lord of Shrieking Hallows.,Defeat Zombie Lord {TaskCount} time(s).
865,Defeat Relentless Specter at Shrieking Hallows of Shrieking Hallows.,Defeat Relentless Specter {TaskCount} time(s).
866,Defeat Tortured Specter of Shrieking Hallows.,Defeat Tortured Specter {TaskCount} time(s).
867,Defeat Wailing Dicor of Shrieking Hallows.,Defeat Wailing Dicor {TaskCount} time(s).
868,Defeat Fettered Soul of Shrieking Hallows.,Defeat Fettered Soul {TaskCount} time(s).
869,Defeat Dread Servant of Shrieking Hallows.,Defeat Dread Servant {TaskCount} time(s).
870,@862,@862
871,@863,@863
872,@864,@864
873,@865,@865
874,@866,@866
875,@867,@867
876,@868,@868
877,@869,@869
878,@862,@862
879,@863,@863
880,@864,@864
881,@865,@865
882,@866,@866
883,@867,@867
884,@868,@868
885,@869,@869
886,@862,@862
887,@863,@863
888,@864,@864
889,@865,@865
890,@866,@866
891,@867,@867
892,Defeat Ruin Dicor of Giran Dominion.,Defeat Ruin Dicor {TaskCount} time(s).
893,Defeat Ruin Snipe of Giran Dominion.,Defeat Ruin Snipe {TaskCount} time(s).
894,Defeat Hungry Red Bear of Giran Dominion.,Defeat Hungry Red Bear {TaskCount} time(s).
895,Defeat Fierce Red Bear of Giran Dominion.,Defeat Fierce Red Bear {TaskCount} time(s).
896,Defeat Alpine Cougar of Giran Dominion.,Defeat Alpine Cougar {TaskCount} time(s).
897,Defeat Stout Cougar of Giran Dominion.,Defeat Stout Cougar {TaskCount} time(s).
898,@892,@892
899,@893,@893
900,@894,@894
901,@895,@895
902,@896,@896
903,@897,@897
904,@892,@892
905,@893,@893
906,@894,@894
907,@895,@895
908,@896,@896
909,@897,@897
910,@892,@892
911,@893,@893
912,@894,@894
913,@895,@895
914,@896,@896
915,@897,@897
916,@892,@892
917,@893,@893
918,@894,@894
919,@895,@895
920,@896,@896
921,@897,@897
922,Defeat Grazing Antelope of Giran Dominion.,Defeat Grazing Antelope {TaskCount} time(s).
923,Defeat Grazing Windsus of Giran Dominion.,Defeat Grazing Windsus {TaskCount} time(s).
924,Defeat Medusa of Giran Dominion.,Defeat Medusa {TaskCount} time(s).
925,Defeat Wyrm of Giran Dominion.,Defeat Wyrm {TaskCount} time(s).
926,Defeat Bugbear of Giran Dominion.,@531
927,Defeat Wyrm Warden of Giran Dominion.,Defeat Wyrm Warden {TaskCount} time(s).
928,Defeat Stone Golem of Giran Dominion.,Defeat Stone Golem {TaskCount} time(s).
929,Defeat Ellen of Giran Dominion.,Defeat Ellen {TaskCount} time(s).
930,Defeat Vir of Giran Dominion.,Defeat Vir {TaskCount} time(s).
931,@922,@922
932,@923,@923
933,@924,@924
934,@925,@925
935,@926,@531
936,@927,@927
937,@928,@928
938,@929,@929
939,@930,@930
940,@922,@922
941,@923,@923
942,@924,@924
943,@925,@925
944,@926,@531
945,@927,@927
946,@928,@928
947,@929,@929
948,@930,@930
949,@922,@922
950,@923,@923
951,@924,@924
952,@925,@925
953,@926,@531
954,@927,@927
955,@928,@928
956,@929,@929
957,@930,@930
958,Defeat Dicor of the Forest of Giran Dominion.,Defeat Dicor of the Forest {TaskCount} time(s).
959,Defeat Dicor of Hallucination of Giran Dominion.,Defeat Dicor of Hallucination {TaskCount} time(s).
960,Defeat Succubus of Giran Dominion.,Defeat Succubus {TaskCount} time(s).
961,Defeat Forest Werewolf of Giran Dominion.,Defeat Forest Werewolf {TaskCount} time(s).
962,Defeat Seductive Succubus of Giran Dominion.,Defeat Seductive Succubus {TaskCount} time(s).
963,Defeat Swift Snipe of Giran Dominion.,Defeat Swift Snipe {TaskCount} time(s).
964,Defeat Elder Dicor of Giran Dominion.,Defeat Elder Dicor {TaskCount} time(s).
965,@958,@958
966,@959,@959
967,@960,@960
968,@961,@961
969,@962,@962
970,@963,@963
971,@964,@964
972,@958,@958
973,@959,@959
974,@960,@960
975,@961,@961
976,@962,@962
977,@963,@963
978,@964,@964
979,@958,@958
980,@959,@959
981,@960,@960
982,@961,@961
983,@962,@962
984,@963,@963
985,@964,@964
986,@958,@958
987,@959,@959
988,@960,@960
989,@961,@961
990,@962,@962
991,@963,@963
992,@964,@964
993,Defeat Langk Lizardman Sentry of Giran Dominion.,Defeat Langk Lizardman Sentry {TaskCount} time(s).
994,Defeat Langk Lizardman Scout of Giran Dominion.,Defeat Langk Lizardman Scout {TaskCount} time(s).
995,Defeat Langk Lizardman Warrior of Giran Dominion.,Defeat Langk Lizardman Warrior {TaskCount} time(s).
996,Defeat Langk Lizardman Fighter of Giran Dominion.,Defeat Langk Lizardman Fighter {TaskCount} time(s).
997,Defeat Langk Lizardman Ranger of Giran Dominion.,Defeat Langk Lizardman Ranger {TaskCount} time(s).
998,Defeat Langk Lizardman Recruit of Giran Dominion.,Defeat Langk Lizardman Recruit {TaskCount} time(s).
999,Defeat Langk Lizardman Shaman of Giran Dominion.,Defeat Langk Lizardman Shaman {TaskCount} time(s).
1000,Defeat Langk Lizardman Soldier of Giran Dominion.,Defeat Langk Lizardman Soldier {TaskCount} time(s).
1001,Defeat Langk Lizardman Elder Shaman of Giran Dominion.,Defeat Langk Lizardman Elder Shaman {TaskCount} time(s).
1002,Defeat Langk Lizardman Trooper of Giran Dominion.,Defeat Langk Lizardman Trooper {TaskCount} time(s).
1003,@993,@993
1004,@994,@994
1005,@995,@995
1006,@996,@996
1007,@997,@997
1008,@998,@998
1009,@999,@999
1010,@1000,@1000
1011,@1001,@1001
1012,@1002,@1002
1013,@993,@993
1014,@994,@994
1015,@995,@995
1016,@996,@996
1017,@997,@997
1018,@998,@998
1019,@999,@999
1020,@1000,@1000
1021,@1001,@1001
1022,@1002,@1002
1023,Defeat Starving Cougar of Deathly Fog Shores.,Defeat Starving Cougar {TaskCount} time(s).
1024,Defeat Ol Mahum Bandits Pillager of Deathly Fog Shores.,Defeat Ol Mahum Bandits Pillager {TaskCount} time(s).
1025,Defeat Ol Mahum Bandits Worker of Deathly Fog Shores.,Defeat Ol Mahum Bandits Worker {TaskCount} time(s).
1026,Defeat Savage Red Bear of Deathly Fog Shores.,Defeat Savage Red Bear {TaskCount} time(s).
1027,Defeat Insatiable Cougar of Deathly Fog Shores.,Defeat Insatiable Cougar {TaskCount} time(s).
1028,Defeat Ol Mahum Bandits Scout of Deathly Fog Shores.,Defeat Ol Mahum Bandits Scout {TaskCount} time(s).
1029,Defeat Ol Mahum Bandits Sentry of Deathly Fog Shores.,Defeat Ol Mahum Bandits Sentry {TaskCount} time(s).
1030,Defeat Ol Mahum Bandits Warrior of Deathly Fog Shores.,Defeat Ol Mahum Bandits Warrior {TaskCount} time(s).
1031,Defeat Ol Mahum Bandits Supplier of Deathly Fog Shores.,Defeat Ol Mahum Bandits Supplier {TaskCount} time(s).
1032,Defeat Ol Mahum Bandits Master Marksman of Deathly Fog Shores.,Defeat Ol Mahum Bandits Master Marksman {TaskCount} time(s).
1033,Defeat Ol Mahum Bandits Commander of Deathly Fog Shores.,Defeat Ol Mahum Bandits Commander {TaskCount} time(s).
1034,Defeat Ol Mahum Bandits Archer of Deathly Fog Shores.,Defeat Ol Mahum Bandits Archer {TaskCount} time(s).
1035,Defeat Hungry Red Bear of Deathly Fog Shores.,Defeat Hungry Red Bear {TaskCount} time(s).
1036,Defeat Rabid Coastal Cougar of Deathly Fog Shores.,Defeat Rabid Coastal Cougar {TaskCount} time(s).
1037,Defeat Lulani of Deathly Fog Shores.,Defeat Lulani {TaskCount} time(s).
1038,@1023,@1023
1039,@1024,@1024
1040,@1025,@1025
1041,@1026,@1026
1042,@1027,@1027
1043,@1028,@1028
1044,@1029,@1029
1045,@1030,@1030
1046,@1031,@1031
1047,@1032,@1032
1048,@1033,@1033
1049,@1034,@1034
1050,@1035,@1035
1051,@1036,@1036
1052,@1037,@1037
1053,Defeat Wandering Dead of Deathly Fog Shores.,Defeat Wandering Dead {TaskCount} time(s).
1054,Defeat Shipwrecked Zombie Pirates in Deathly Fog Shores.,Defeat Shipwrecked Zombie Pirate {TaskCount} time(s).
1055,Defeat Dismal Shout of Deathly Fog Shores.,Defeat Dismal Shout {TaskCount} time(s).
1056,Defeat Giant Dead of Deathly Fog Shores.,Defeat Giant Dead {TaskCount} time(s).
1057,Defeat Death Flyer of Deathly Fog Shores.,Defeat Death Flyer {TaskCount} time(s).
1058,Defeat Grandis Destroyer of Deathly Fog Shores.,Defeat Grandis Destroyer {TaskCount} time(s).
1059,Defeat Bugbear Fighter of Deathly Fog Shores.,Defeat Bugbear Fighter {TaskCount} time(s).
1060,Defeat Lesser Giant's Creation of Deathly Fog Shores.,Defeat Lesser Giant's Creation {TaskCount} time(s).
1061,Defeat Insane Lesser Giant of Deathly Fog Shores.,Defeat Insane Lesser Giant {TaskCount} time(s).
1062,Defeat Degenerated Lesser Giant of Deathly Fog Shores.,Defeat Degenerated Lesser Giant {TaskCount} time(s).
1063,Defeat Alfonso of Deathly Fog Shores.,Defeat Alfonso {TaskCount} time(s).
1064,Defeat Holst of Deathly Fog Shores.,Defeat Holst {TaskCount} time(s).
1065,Defeat Medes of Deathly Fog Shores.,Defeat Medes {TaskCount} time(s).
1066,@1053,@1053
1067,@1054,@1054
1068,@1055,@1055
1069,@1056,@1056
1070,@1057,@1057
1071,@1058,@1058
1072,@1059,@1059
1073,@1060,@1060
1074,@1061,@1061
1075,@1062,@1062
1076,@1063,@1063
1077,@1064,@1064
1078,@1065,@1065
1079,@1053,@1053
1080,@1054,@1054
1081,@1055,@1055
1082,@1056,@1056
1083,@1057,@1057
1084,@1058,@1058
1085,@1059,@1059
1086,@1060,@1060
1087,@1061,@1061
1088,@1062,@1062
1089,@1063,@1063
1090,@1064,@1064
1091,@1065,@1065
1092,Defeat Forgotten Lesser Giant of Deathly Fog Shores.,Defeat Forgotten Lesser Giant {TaskCount} time(s).
1093,Defeat Anguished Lesser Giant of Deathly Fog Shores.,Defeat Anguished Lesser Giant {TaskCount} time(s).
1094,Defeat Grandis Shredder of Deathly Fog Shores.,Defeat Grandis Shredder {TaskCount} time(s).
1095,Defeat Creation of the Lesser Giant of Deathly Fog Shores.,Defeat Creation of the Lesser Giant {TaskCount} time(s).
1096,Defeat Bugbear Warrior of Deathly Fog Shores.,Defeat Bugbear Warrior {TaskCount} time(s).
1097,Defeat Grandis Tyrant of Deathly Fog Shores.,Defeat Grandis Tyrant {TaskCount} time(s).
1098,Defeat Zaken Pirates Infantry of Deathly Fog Shores.,Defeat Zaken Pirates Infantry {TaskCount} time(s).
1099,Defeat Zaken Pirates Shooter of Deathly Fog Shores.,Defeat Zaken Pirates Shooter {TaskCount} time(s).
1100,Defeat Zaken Pirates Vanguard of Deathly Fog Shores.,Defeat Zaken Pirates Vanguard {TaskCount} time(s).
1101,Defeat Cry of Despair of Deathly Fog Shores.,Defeat Cry of Despair {TaskCount} time(s).
1102,Defeat Luka of Deathly Fog Shores.,Defeat Luka {TaskCount} time(s).
1103,Defeat Hector of Deathly Fog Shores.,Defeat Hector {TaskCount} time(s).
1104,@1092,@1092
1105,@1093,@1093
1106,@1094,@1094
1107,@1092,@1092
1108,@1093,@1093
1109,@1094,@1094
1110,@1095,@1095
1111,@1096,@1096
1112,@1097,@1097
1113,@1098,@1098
1114,@1099,@1099
1115,@1100,@1100
1116,@1101,@1101
1117,@1102,@1102
1118,@1103,@1103
1119,@1092,@1092
1120,@1093,@1093
1121,@1094,@1094
1122,Defeat Dark Succubus of Devil's Isle.,Defeat Dark Succubus {TaskCount} time(s).
1123,Defeat Hell Choir Prima of Devil's Isle.,Defeat Hell Choir Prima {TaskCount} time(s).
1124,Defeat Devilrock Scorpion of Devil's Isle.,Defeat Devilrock Scorpion {TaskCount} time(s).
1125,Defeat Deadly Dark Succubus of Devil's Isle.,Defeat Deadly Dark Succubus {TaskCount} time(s).
1126,Defeat Starving Jungle Premo of Devil's Isle.,Defeat Starving Jungle Premo {TaskCount} time(s).
1127,Defeat Zaken Pirates Cutthroat of Devil's Isle.,Defeat Zaken Pirates Cutthroat {TaskCount} time(s).
1128,Defeat Vindictive Dead of Devil's Isle.,Defeat Vindictive Dead {TaskCount} time(s).
1129,Defeat Zaken Pirates Lookout of Devil's Isle.,Defeat Zaken Pirates Lookout {TaskCount} time(s).
1130,Defeat Zaken Pirates Patrol of Devil's Isle.,Defeat Zaken Pirates Patrol {TaskCount} time(s).
1131,Defeat Zaken Pirates Sniper of Devil's Isle.,Defeat Zaken Pirates Sniper {TaskCount} time(s).
1132,Defeat Rua of Devil's Isle.,Defeat Rua {TaskCount} time(s).
1133,Defeat Bornesting of Devil's Isle.,Defeat Bornesting {TaskCount} time(s).
1134,@1122,@1122
1135,@1123,@1123
1136,@1124,@1124
1137,@1125,@1125
1138,@1126,@1126
1139,@1127,@1127
1140,@1128,@1128
1141,@1129,@1129
1142,@1130,@1130
1143,@1131,@1131
1144,@1132,@1132
1145,@1133,@1133
1146,@1122,@1122
1147,@1123,@1123
1148,@1124,@1124
1149,@1125,@1125
1150,@1126,@1126
1151,@1127,@1127
1152,@1128,@1128
1153,@1129,@1129
1154,@1130,@1130
1155,@1131,@1131
1156,@1132,@1132
1157,@1133,@1133
1158,Defeat Zaken Pirates Deckhand of Devil's Isle.,Defeat Zaken Pirates Deckhand {TaskCount} time(s).
1159,Defeat Relentless Dead of Devil's Isle.,Defeat Relentless Dead {TaskCount} time(s).
1160,Defeat Cave Scorpion of Devil's Isle.,Defeat Cave Scorpion {TaskCount} time(s).
1161,Defeat Zaken’s Marksman of Devil's Isle.,Defeat Zaken's Marksman {TaskCount} time(s).
1162,Defeat Zombie Pirates on Devil's Isle.,Defeat Zombie Pirate {TaskCount} time(s).
1163,Defeat Zaken’s Royal Guard of Devil's Isle.,Defeat Zaken's Royal Guard {TaskCount} time(s).
1164,Defeat Zaken Pirates Navigator of Devil's Isle.,Defeat Zaken Pirates Navigator {TaskCount} time(s).
1165,Defeat Zaken Pirates Boatswain of Devil's Isle.,Defeat Zaken Pirates Boatswain {TaskCount} time(s).
1166,Defeat Zaken’s Watcher of Devil's Isle.,Defeat Zaken's Watcher {TaskCount} time(s).
1167,Defeat Zaken Pirates Helmsman of Devil's Isle.,Defeat Zaken Pirates Helmsman {TaskCount} time(s).
1168,Defeat Albert of Devil's Isle.,Defeat Albert {TaskCount} time(s).
1169,Defeat Jeff of Devil's Isle.,Defeat Jeff {TaskCount} time(s).
1170,@1158,@1158
1171,@1159,@1159
1172,@1160,@1160
1173,@1161,@1161
1174,@1162,@1162
1175,@1163,@1163
1176,@1164,@1164
1177,@1165,@1165
1178,@1166,@1166
1179,@1167,@1167
1180,@1168,@1168
1181,@1169,@1169
1182,@1158,@1158
1183,@1159,@1159
1184,@1160,@1160
1185,@1161,@1161
1186,@1162,@1162
1187,@1163,@1163
1188,@1164,@1164
1189,@1165,@1165
1190,@1166,@1166
1191,@1167,@1167
1192,@1168,@1168
1193,@1169,@1169
1194,Defeat Ravine Breka Scout of Haunted Necropolis.,Defeat Ravine Breka Scout {TaskCount} time(s).
1195,Defeat Ravine Breka Sentry of Haunted Necropolis.,Defeat Ravine Breka Sentry {TaskCount} time(s).
1196,Defeat Ravine Breka Supplier of Haunted Necropolis.,Defeat Ravine Breka Supplier {TaskCount} time(s).
1197,Defeat Ravine Breka Fighter of Haunted Necropolis.,Defeat Ravine Breka Fighter {TaskCount} time(s).
1198,Defeat Ravine Breka Shaman of Haunted Necropolis.,Defeat Ravine Breka Shaman {TaskCount} time(s).
1199,Defeat Verock of Haunted Necropolis.,Defeat Verock {TaskCount} time(s).
1200,@1194,@1194
1201,@1195,@1195
1202,@1196,@1196
1203,@1197,@1197
1204,@1198,@1198
1205,@1199,@1199
1206,@1194,@1194
1207,@1195,@1195
1208,@1196,@1196
1209,@1197,@1197
1210,@1198,@1198
1211,@1199,@1199
1212,@1194,@1194
1213,@1195,@1195
1214,@1196,@1196
1215,@1197,@1197
1216,@1198,@1198
1217,@1199,@1199
1218,@1194,@1194
1219,@1195,@1195
1220,@1196,@1196
1221,@1197,@1197
1222,@1198,@1198
1223,@1199,@1199
1224,Defeat Ravine Breka Patrol of Haunted Necropolis.,Defeat Ravine Breka Patrol {TaskCount} time(s).
1225,Defeat Ravine Breka Warchief of Haunted Necropolis.,Defeat Ravine Breka Warchief {TaskCount} time(s).
1226,Defeat Ravine Breka Priest of Haunted Necropolis.,Defeat Ravine Breka Priest {TaskCount} time(s).
1227,Defeat Soul Tracker Prima of Haunted Necropolis.,Defeat Soul Tracker Prima {TaskCount} time(s).
1228,Defeat Ravine Windsus of Haunted Necropolis.,Defeat Ravine Windsus {TaskCount} time(s).
1229,Defeat Stone Golem of Haunted Necropolis.,@928
1230,Defeat Guardian Basilisk of Haunted Necropolis.,Defeat Guardian Basilisk {TaskCount} time(s).
1231,Defeat Reaper of Haunted Necropolis.,Defeat Reaper {TaskCount} time(s).
1232,Defeat Gorokk of Haunted Necropolis.,Defeat Gorokk {TaskCount} time(s).
1233,Defeat Wilhelm of Haunted Necropolis.,Defeat Wilhelm {TaskCount} time(s).
1234,@1224,@1224
1235,@1225,@1225
1236,@1226,@1226
1237,@1227,@1227
1238,@1228,@1228
1239,@1229,@928
1240,@1230,@1230
1241,@1231,@1231
1242,@1232,@1232
1243,@1233,@1233
1244,@1224,@1224
1245,@1225,@1225
1246,@1226,@1226
1247,@1227,@1227
1248,@1228,@1228
1249,@1229,@928
1250,@1230,@1230
1251,@1231,@1231
1252,@1232,@1232
1253,@1233,@1233
1254,Defeat Soul Devourer Prima of Haunted Necropolis.,Defeat Soul Devourer Prima {TaskCount} time(s).
1255,Defeat Sahara of Barren Land of Haunted Necropolis.,Defeat Sahara of Barren Land {TaskCount} time(s).
1256,Defeat Twilight Sahara of Haunted Necropolis.,Defeat Twilight Sahara {TaskCount} time(s).
1257,Defeat Amber Basilisk of Haunted Necropolis.,Defeat Amber Basilisk {TaskCount} time(s).
1258,Defeat Wandering Fettered Soul of Haunted Necropolis.,Defeat Wandering Fettered Soul {TaskCount} time(s).
1259,Defeat Headless Knight of Haunted Necropolis.,Defeat Headless Knight {TaskCount} time(s).
1260,Defeat Grandis Bonecrusher of Haunted Necropolis.,Defeat Grandis Bonecrusher {TaskCount} time(s).
1261,Defeat Dustwind Gargoyle of Haunted Necropolis.,Defeat Dustwind Gargoyle {TaskCount} time(s).
1262,Defeat Fearful Monster Eye of Haunted Necropolis.,Defeat Fearful Monster Eye {TaskCount} time(s).
1263,Defeat Maelstrom Dustwind of Haunted Necropolis.,Defeat Maelstrom Dustwind {TaskCount} time(s).
1264,Defeat Wyrm Guardian of Haunted Necropolis.,Defeat Wyrm Guardian {TaskCount} time(s).
1265,Defeat Deathly Monster Eye of Haunted Necropolis.,Defeat Deathly Monster Eye {TaskCount} time(s).
1266,Defeat Alert Wyrm of Haunted Necropolis.,Defeat Alert Wyrm {TaskCount} time(s).
1267,Defeat Baby Wyrm of Haunted Necropolis.,Defeat Baby Wyrm {TaskCount} time(s).
1268,Defeat Cager’s Henchman of Haunted Necropolis.,Defeat Cager’s Henchman {TaskCount} time(s).
1269,Defeat Jason of Haunted Necropolis.,Defeat Jason {TaskCount} time(s).
1270,Defeat Oomba of Haunted Necropolis.,Defeat Oomba {TaskCount} time(s).
1271,Defeat Agarez of Haunted Necropolis.,Defeat Agarez {TaskCount} time(s).
1272,@1254,@1254
1273,@1255,@1255
1274,@1256,@1256
1275,@1257,@1257
1276,@1258,@1258
1277,@1259,@1259
1278,@1260,@1260
1279,@1261,@1261
1280,@1262,@1262
1281,@1263,@1263
1282,@1264,@1264
1283,@1265,@1265
1284,@1266,@1266
1285,@1267,@1267
1286,@1268,@1268
1287,@1269,@1269
1288,@1270,@1270
1289,@1271,@1271
1290,Defeat Wyrm Guardian of Haunted Necropolis.,Defeat Wyrm Guardian {TaskCount} time(s).
1291,Defeat Deathly Monster Eye of Haunted Necropolis.,Defeat Deathly Monster Eye {TaskCount} time(s).
1292,Defeat Alert Wyrm of Haunted Necropolis.,Defeat Alert Wyrm {TaskCount} time(s).
1293,Defeat Baby Wyrm of Haunted Necropolis.,Defeat Baby Wyrm {TaskCount} time(s).
1294,Defeat Cager’s Henchman of Haunted Necropolis.,Defeat Cager’s Henchman {TaskCount} time(s).
1295,Defeat Death Bind of Haunted Necropolis.,Defeat Death Bind {TaskCount} time(s).
1296,Defeat Veremus’s Child of Haunted Necropolis.,Defeat Veremus’s Child {TaskCount} time(s).
1297,Defeat Grandis Dragon Slayer of Haunted Necropolis.,Defeat Grandis Dragon Slayer {TaskCount} time(s).
1298,Defeat Death Headless Knight of Haunted Necropolis.,Defeat Death Headless Knight {TaskCount} time(s).
1299,Defeat Ravolas of Haunted Necropolis.,Defeat Ravolas {TaskCount} time(s).
1300,@1290,@1290
1301,@1291,@1291
1302,@1292,@1292
1303,@1293,@1293
1304,@1294,@1294
1305,@1295,@1295
1306,@1296,@1296
1307,@1297,@1297
1308,@1298,@1298
1309,@1299,@1299
1310,@1290,@1290
1311,@1291,@1291
1312,@1292,@1292
1313,@1293,@1293
1314,@1294,@1294
1315,@1295,@1295
1316,@1296,@1296
1317,@1297,@1297
1318,@1298,@1298
1319,@1299,@1299
1320,Defeat Grendel of Northwind Plateau.,Defeat Grendel {TaskCount} time(s).
1321,Defeat Plateau Windsus of Northwind Plateau.,Defeat Plateau Windsus {TaskCount} time(s).
1322,Defeat Starving Grendel of Northwind Plateau.,Defeat Starving Grendel {TaskCount} time(s).
1323,Defeat Ravine Pincher of Northwind Plateau.,Defeat Ravine Pincher {TaskCount} time(s).
1324,Defeat Maneater Atrox of Northwind Plateau.,Defeat Atrox {TaskCount} time(s).
1325,Defeat Razorwind Bugbear Tyrant of Northwind Plateau.,Defeat Razorwind Bugbear Tyrant {TaskCount} time(s).
