I;Xzme,Desc,Desc2
12267,福袋Ⅲ,"新年記念超豪華商品をGETしよう!
下記アイテムの中から1種獲得

スキルページ選択ボックス10個
マーブルの加護3個
マーブルの加護5個
マーブルの加護10個
祝福された強化スクロール選択ボックス5個
祝福された強化スクロール5枚
SRランク/URランク特性の石
超越の石
[特性]超越の石
SRランクソウルストーン
SRランク装飾品研磨剤
SRランク騎乗ペット装備
スキルポイントボックス(大)

[特性]強化素材は
ノーマル/エリート/ボス/魔物/プレーヤーの
攻撃または防御特性を持つ装備にのみ
使用することができる強化素材です。
※福袋から獲得したアイテムは取引できません。

販売期間：1/1（月）〜1/5（金）23:59",
12268,"[期間限定]
騎乗ペット装備パック","騎乗ペット装備を素早くに成長させたい方にオススメ!
SRランクの騎乗ペット装備が
必ず獲得できるパックです。

騎乗しているペットは100%能力値が戦闘力に
反映され、騎乗していない騎乗ペットは
能力値の30%が戦闘力に反映されます。

販売期間：12/22(金)～1/19(金) 14：59
",
12272,装飾品スペシャル召喚パック,"装飾品の強化や超越のチャンス！
HRランク装飾品選択ボックスからは
「エルヴンシリーズ」
「ムーンストーンシリーズ」
「ブラックオールシリーズ」
「フェニックスシリーズ」
「ナッセンシリーズ」
「アルボールシリーズ」
の中からいずれか1個の
HRランク装飾品を選択できます。
さらに
祝福された装飾品強化スクロール 7枚
HRランク装飾品研磨剤 20個
300,000アデナを
獲得できます。

1キャラクター、月1回まで購入可能",
12277,強化サポートパックⅡ,"マーブルの加護が10個も入っている
お得なパック
さらにアデナ100,000と
強化スクロール選択ボックス5個も！

キャラクター毎に週１回購入可能
お見逃しなく！",
12280,[期間限定]レッドダイヤパック,"期間限定でレッドダイヤを効果的に！
アデナ＆トパーズも獲得可能！

[レッドダイヤ 2,000個]
[100,000 アデナ]
[トパーズ 30個]

販売期間：1/12(金)～1/26(金) 14：59",
12282,[期間限定]騎乗ペット「ククリン」パック,"ククリンを育成して戦闘力をもっと上げよう！

[ククリン召喚石 5個]
[育成石 100個]
[100,000 アデナ]

※ククリンはLV100から乗れるようになります。

販売期間：1/12(金)～1/19(金) 14：59",
12293,[期間限定]スペシャルアデナパック,"より豪華になった「スペシャルアデナパック」

購入すると
[1,300,000アデナ ]を獲得

この機会をお見逃しなく！

販売期間：3/7(水)~3/21(水) 23:59",
12294,スペシャルスキルパック,"便利なアイテムが多数手に入る
「スペシャルスキルパック」

[ランダムスキルブックページボックス2個]
[祝福された強化スクロールボックス2個]
[マーブルの加護1個]
[スキルポイント500]
[テレポートスクロール30個]
[500,000アデナ]",
12295,高級研磨剤パック,"新しくリニューアルされた
「高級研磨剤パック」
装備実績の達成に役立てよう！

[500,000アデナ]
[レッドダイヤ1000個]
[HRランク研磨剤選択ボックス 10個]
[Rランク研磨剤選択ボックス 40個]",
12296,研磨剤ライトパック,"新しくリニューアルされた
「研磨剤ライトパック」
装備実績の達成に役立てよう！

[200,000アデナ]
[Rランク研磨剤選択ボックス 15個]",
12297,装飾品育成パックⅡ,"新背景装飾品の育成にも役立つ
期間限定「装飾品育成パックⅡ」

[装飾品昇級石 20個]
[Rランク装飾品研磨剤 20個]
[祝福された装飾品強化スクロール 7枚]
[300,000アデナ]

装飾品を育成して戦闘力を高めよう！


販売期間：3/7(水)~3/21(水) 23:59",
12298,"[期間限定]
騎乗ペット育成パック","騎乗ペットの素早いレベルアップを
希望する方にオススメ!
騎乗ペットのレベルアップ材料である育成石500個と
アデナ10万が獲得できるパックです。

※騎乗ペット育成石は召喚石ダンジョンでも
獲得することができます。

騎乗しているペットは100%能力値が戦闘力に
反映され、騎乗していない騎乗ペットは
能力値の30%が戦闘力に反映されます。

販売期間：3/7(水)～3/21(水) 23：59",
10001,HPポーション10個,HPを少量回復します。,
10002,MPポーション10個,MPを少量回復します。,
10003,ソウルショット250個,精霊の光を武器に込めてダメージを増加させます。,
10004,[Lv.20]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：20～29",
10005,[Lv.30]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：30～39",
10006,[Lv.40]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：40～49",
10007,[Lv.50]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：50～59",
10008,[Lv.60]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：60～74",
10009,[Lv.75]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：75～89",
10010,[Lv.90]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：90～104",
10011,[Lv.105]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：105～120",
10018,[Lv.120]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：121～135",
10019,[Lv.135]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：136～149",
10021,[Lv.150]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：150～164",
10022,[Lv.165]クエストスクロール：Nランク,"[Nランクサブクエスト]が遂行できます。
購入可能レベル：165～180",
10012,話せる島：レア召喚石,"話せる島のレアモンスターを選んで召喚できます。
購入可能レベル：15～30",
10013,グルーディオ：レア召喚石,"グルーディオのレアモンスターを選んで召喚できます。
購入可能レベル：31～70",
10014,ディオン：レア召喚石,"ディオンのレアモンスターを選んで召喚できます。
購入可能レベル：71～120",
10015,ギラン：レア召喚石,"ギランのレアモンスターを選んで召喚できます。
購入可能レベル：121～135",
10017,装備召喚ボックス1個,最高でRランク装備まで獲得可能！,
10020,償いの十字架,"キャラクターのカオティック値を下げます。
一度にカオティック値が3減り、1日3回まで使用できます。",
10415,レッドスターストーン100個,血盟ダンジョンのリセットに使います。,
10416,夜空の花火20個,昼間でも一瞬で夢のような景色が広がる花火,
10417,銀河水の花火20個,煌めく星の群れが絶景を誇る花火,
10418,エール花火20個,金運アップのエールを送る花火,
10419,甘酸っぱい花火20個,甘酸っぱい青春の恋と告白を応援する花火,
10420,ハロウィンキャンディ花火20個,空から甘いキャンディが降ってくる花火です。,
10421,ハッピーハロウィン花火20個,ハッピーハロウィンを祝う花火です。,
10422,サンタマラックス：レア召喚石1個,"　クリスマスイベント限定アイテム
「サンタマラックス：レア召喚石」を使用することで
「サンタマラックス」がいる特別なフィールドに
行くことができます。

フレンドと共に入場して、
サンタマラックスを討伐すると、
サンタマラックスの証が全員が獲得でき、
証を集めることでルドルフ召喚石と交換できます。

「サンタマラックス：レア召喚石」は
イベント期間の間08時、20時に出現する
天使マシャー討伐時や、友情ポイントショップからも
入手できます。

※サンタマラックス：レア召喚石の入場は
レベル31以上から可能です。

販売期間 : 12/20(水) ~ 1/3(水) 14:59 ",
10423,ハッピーバレンタイン花火20個,"町中に愛が溢れるバレンタインを祝福する花火です。
販売期間 : 2/7 アップデート後 ~ 2/21 14:59",
10424,アイ・ラブ・ユー花火 20個,"愛する人へ想いを伝える時に使う美しい花火です。
販売期間 : 2/7 アップデート後 ~ 2/21 14:59",
10425,REVOアデナ獲得増加ポーション,"LRTの優勝血盟を称える限定アイテム。
1時間、アデナ獲得量が100％増加します。
通常フィールド等で効果があるアイテムです。
エリートダンジョン内では効果はありません。",
11001,デイリーアデナ,"すぐに200,000アデナゲット！
さらに毎日50,000アデナがもらえる！
＋8回ごとにブルーダイヤ100個ボーナス","合計1,600,000アデナ！"
13108,[Lv.120]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：120～134",
13109,[Lv.135]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：135～149",
13110,[Lv.150]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：150 - 164",
13111,[Lv.165]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：165 - 180",
13208,[Lv.120]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：121～134",
13209,[Lv.135]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：135～149",
13210,[Lv.150]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：150 - 164",
13211,[Lv.165]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：165 - 180",
2011001,ナチュラルヘアA,最もノーマルな髪型です。,
2011002,ナチュラルヘアB,最もノーマルな髪型です。,
2011003,ナチュラルヘアC,最もノーマルな髪型です。,
2012001,シックモダン,落ち着いた髪型です。,
2012002,モダンエレガンス,優雅な髪型です。,
2012003,シックファンタジー,不思議な感じです。,
2012004,クラブヘッドホン,珍しい耳あてです。,
2012005,草原の放蕩者,ある放蕩者のスタイルです。,
2012006,デスナイト,恐怖の象徴です。,
2012007,野生の力,野性味を感じます。,
2021000,ナチュラル,,
2021001,ゼットオーロラ,ゼットオーロラスタイルのカラーです。,
2021002,スモーキークォーツ,スモーキークォーツスタイルのカラーです。,
2021003,ライトピーチ,ライトピーチスタイルのカラーです。,
2021004,ライトコロラド,ライトコロラドスタイルのカラーです。,
2021005,トパーズ,トパーズスタイルのカラーです。,
2021006,ダークサファイア,ダークサファイアスタイルのカラーです。,
2021007,オールドルビー,オールドルビースタイルのカラーです。,
2021008,パパラチア,パパラチアスタイルのカラーです。,
2021009,ローズアラバスター,ローズアラバスタースタイルのカラーです。,
2021010,スモーキートパーズ,スモーキートパーズスタイルのカラーです。,
2021011,バイオレット,バイオレットスタイルのカラーです。,
2021012,ライラック,ライラックスタイルのカラーです。,
2021013,ブルージルコン,ブルージルコンスタイルのカラーです。,
2021014,ペリドット,ペリドットスタイルのカラーです。,
2021015,ライトオリビン,ライトオリビンスタイルのカラーです。,
2021016,アメジスト,アメジストスタイルのカラーです。,
2021017,バミューダブルー,バミューダブルースタイルのカラーです。,
2021018,ブラックダイヤ,ブラックダイヤスタイルのカラーです。,
2021019,レッドトパーズ,レッドトパーズスタイルのカラーです。,
2021020,シャムルビー,シャムルビースタイルのカラーです。,
2021021,ライトシャム,ライトシャムスタイルのカラーです。,
2021022,ライトサファイア,ライトサファイアスタイルのカラーです。,
2021023,ライトアゾーネ,ライトアゾーネスタイルのカラーです。,
2021024,ライトローズ,ライトローズスタイルのカラーです。,
2021025,クリア,クリアスタイルのカラーです。,
3000007,ハッピーサンタクロース,クリスマス限定販売のコスチューム！,
3000008,パーティファッション,あなたをパーティーの主役にしてくれるスペシャルな衣装です。,
3000009,モンストコラボコスチューム,モンストコラボ限定販売のコスチューム！,
3000010,着物,モンストコラボ限定販売のコスチューム！,
3000011,バレンタインイベントコスチューム,バレンタインイベント記念限定コスチューム！,
9000009,[モンスト]コラボ武器召喚ボックス10+1個,"ステップ1～3と段階的に購入ができるボックスです。
ボックスから出現するアイテムは
[Rランク〜URランク]の装備です。　
コラボ武器に限り出現時は
[HRランク〜URランク]で出現します。
1Step：90％セール！
120ブルーダイヤで10+1召喚ガチャを引こう！
2Step：50％セール！
600ブルーダイヤで10+1召喚ガチャを引こう！
3Step：
1200ブルーダイヤで10+1召喚ガチを引くと、
「HRランクコラボ武器選択ボックス」獲得！
（HRランクコラボ武器選択ボックスは、
キャラクター宛のメールボックスに届きます。）

コラボ武器はコラボ次元の迷路から強化素材を多く
入手することができるので、
他の武器よりも早く成長させることができます。

[モンスト]タイプのへの攻撃時に
追加ダメージ効果の特性を持ち、
さらにノーマルモンスターとボスモンスターへの
追加ダメージ特性も持っています。

詳細はお知らせをご確認ください。

販売期間：12/22(金)～1/19(金) 14：59",
9000010,[モンスト]コラボ武器召喚ボックス10+1個,"ステップ1～3と段階的に購入ができるボックスです。
ボックスから出現するアイテムは
[Rランク〜URランク]の装備です。　
コラボ武器に限り出現時は
[HRランク〜URランク]で出現します。
1Step：90％セール！
120ブルーダイヤで10+1召喚ガチャを引こう！
2Step：50％セール！
600ブルーダイヤで10+1召喚ガチャを引こう！
3Step：
1200ブルーダイヤで10+1召喚ガチを引くと、
「HRランクコラボ武器選択ボックス」獲得！
（HRランクコラボ武器選択ボックスは、
キャラクター宛のメールボックスに届きます。）

コラボ武器はコラボ次元の迷路から強化素材を多く
入手することができるので、
他の武器よりも早く成長させることができます。

[モンスト]タイプのへの攻撃時に
追加ダメージ効果の特性を持ち、
さらにノーマルモンスターとボスモンスターへの
追加ダメージ特性も持っています。

詳細はお知らせをご確認ください。

販売期間：12/22(金)～1/19(金) 14：59",
9000011,[モンスト]コラボ武器召喚ボックス10+1個,"ステップ1～3と段階的に購入ができるボックスです。
ボックスから出現するアイテムは
[Rランク〜URランク]の装備です。　
コラボ武器に限り出現時は
[HRランク〜URランク]で出現します。
1Step：90％セール！
120ブルーダイヤで10+1召喚ガチャを引こう！
2Step：50％セール！
600ブルーダイヤで10+1召喚ガチャを引こう！
3Step：
1200ブルーダイヤで10+1召喚ガチを引くと、
「HRランクコラボ武器選択ボックス」獲得！
（HRランクコラボ武器選択ボックスは、
キャラクター宛のメールボックスに届きます。）

コラボ武器はコラボ次元の迷路から強化素材を多く
入手することができるので、
他の武器よりも早く成長させることができます。

[モンスト]タイプのへの攻撃時に
追加ダメージ効果の特性を持ち、
さらにノーマルモンスターとボスモンスターへの
追加ダメージ特性も持っています。

詳細はお知らせをご確認ください。

販売期間：12/22(金)～1/19(金) 14：59",
9000012,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000013,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000014,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000015,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000016,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000017,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000018,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000019,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000020,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000021,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000022,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000023,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000024,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000025,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000026,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000027,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000028,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000029,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000030,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000031,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000032,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000033,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000034,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000035,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000036,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000037,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000038,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000039,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000040,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000041,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000042,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000043,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000044,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000045,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000046,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000047,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000048,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000049,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000050,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000051,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000052,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000053,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000054,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000055,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000056,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000057,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000058,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000059,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000060,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000061,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000062,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000063,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
