笲M@9Ceme,Desc
510203,"[装備レベルアップ]
<SkyGray>[魔物防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
510204,"[装備レベルアップ]
<SkyGray>[魔物防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
510205,"[装備レベルアップ]
<SkyGray>[魔物防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
510301,"[装備強化]
<SkyGray>[魔物防御]特性ヘルム</>",+{TaskCount}達成
510302,"[装備強化]
<SkyGray>[魔物防御]特性ヘルム</>",+{TaskCount}達成
510303,"[装備強化]
<SkyGray>[魔物防御]特性ヘルム</>",+{TaskCount}達成
510304,"[装備強化]
<SkyGray>[魔物防御]特性ヘルム</>",+{TaskCount}達成
510305,"[装備強化]
<SkyGray>[魔物防御]特性ヘルム</>",+{TaskCount}達成
510401,"[特性レベルアップ]
<SkyGray>[魔物防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
510402,"[特性レベルアップ]
<SkyGray>[魔物防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
510403,"[特性レベルアップ]
<SkyGray>[魔物防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
510404,"[特性レベルアップ]
<SkyGray>[魔物防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
510405,"[特性レベルアップ]
<SkyGray>[魔物防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
520201,"[装備レベルアップ]
<SkyGray>[魔物防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
520202,"[装備レベルアップ]
<SkyGray>[魔物防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
520203,"[装備レベルアップ]
<SkyGray>[魔物防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
520204,"[装備レベルアップ]
<SkyGray>[魔物防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
520205,"[装備レベルアップ]
<SkyGray>[魔物防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
520301,"[装備強化]
<SkyGray>[魔物防御]特性アーマー</>",+{TaskCount}達成
520302,"[装備強化]
<SkyGray>[魔物防御]特性アーマー</>",+{TaskCount}達成
520303,"[装備強化]
<SkyGray>[魔物防御]特性アーマー</>",+{TaskCount}達成
520304,"[装備強化]
<SkyGray>[魔物防御]特性アーマー</>",+{TaskCount}達成
520305,"[装備強化]
<SkyGray>[魔物防御]特性アーマー</>",+{TaskCount}達成
520401,"[特性レベルアップ]
<SkyGray>[魔物防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
520402,"[特性レベルアップ]
<SkyGray>[魔物防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
520403,"[特性レベルアップ]
<SkyGray>[魔物防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
520404,"[特性レベルアップ]
<SkyGray>[魔物防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
520405,"[特性レベルアップ]
<SkyGray>[魔物防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
530201,"[装備レベルアップ]
<SkyGray>[魔物防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
530202,"[装備レベルアップ]
<SkyGray>[魔物防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
530203,"[装備レベルアップ]
<SkyGray>[魔物防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
530204,"[装備レベルアップ]
<SkyGray>[魔物防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
530205,"[装備レベルアップ]
<SkyGray>[魔物防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
530301,"[装備強化]
<SkyGray>[魔物防御]特性グローブ</>",+{TaskCount}達成
530302,"[装備強化]
<SkyGray>[魔物防御]特性グローブ</>",+{TaskCount}達成
530303,"[装備強化]
<SkyGray>[魔物防御]特性グローブ</>",+{TaskCount}達成
530304,"[装備強化]
<SkyGray>[魔物防御]特性グローブ</>",+{TaskCount}達成
530305,"[装備強化]
<SkyGray>[魔物防御]特性グローブ</>",+{TaskCount}達成
530401,"[特性レベルアップ]
<SkyGray>[魔物防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
530402,"[特性レベルアップ]
<SkyGray>[魔物防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
530403,"[特性レベルアップ]
<SkyGray>[魔物防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
530404,"[特性レベルアップ]
<SkyGray>[魔物防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
530405,"[特性レベルアップ]
<SkyGray>[魔物防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
540201,"[装備レベルアップ]
<SkyGray>[魔物防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
540202,"[装備レベルアップ]
<SkyGray>[魔物防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
540203,"[装備レベルアップ]
<SkyGray>[魔物防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
540204,"[装備レベルアップ]
<SkyGray>[魔物防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
540205,"[装備レベルアップ]
<SkyGray>[魔物防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
540301,"[装備強化]
<SkyGray>[魔物防御]特性ブーツ</>",+{TaskCount}達成
540302,"[装備強化]
<SkyGray>[魔物防御]特性ブーツ</>",+{TaskCount}達成
540303,"[装備強化]
<SkyGray>[魔物防御]特性ブーツ</>",+{TaskCount}達成
540304,"[装備強化]
<SkyGray>[魔物防御]特性ブーツ</>",+{TaskCount}達成
540305,"[装備強化]
<SkyGray>[魔物防御]特性ブーツ</>",+{TaskCount}達成
540401,"[特性レベルアップ]
<SkyGray>[魔物防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
540402,"[特性レベルアップ]
<SkyGray>[魔物防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
540403,"[特性レベルアップ]
<SkyGray>[魔物防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
540404,"[特性レベルアップ]
<SkyGray>[魔物防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
540405,"[特性レベルアップ]
<SkyGray>[魔物防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
810010206,"[초월 레벨업]
노말공격특성 무기",@10201
