���Xf7)oTaskName,QuestNpcName,QuestNpcDialog,QuestNpcName2,QuestNpcDialog2
餞別,オロバスを倒す,,,,
最後の浄化,浄化装置を動かす,浄化の妖精,これで最後です…私の任務はこれでおしまい…どうか最後の浄化装置を動かしてください…。,テオドール,無事戻ったか、ご苦労だった。島に満ちていた闇の力が消えている。
最後の浄化,浄化,,,,
最後の浄化,浄化装置を動かす,浄化の妖精,"これでいいわ…私は…再び眠りにつく時が来ました…もう二度と私が目覚めることがないことを祈るばかりです…。
<p>ありがとう…あなたの行く先に、エヴァの祝福が満ち溢れることを祈ります。",,
最後の浄化,ポータルストーンを動かす,,,,
最後の浄化,ポータルストーンを動かす,,,,
会うべき人物,ハーディンと話す,テオドール,"<YellowBold>[player]</>の活躍のおかげで島に押し寄せてきた脅威を退けることができた。しかし、この事実を知っている者より知らない者の方が多いだろう。
<p>そしていつかはそれを知っている者たちの記憶からも消えていくだろう。しかし私と銀の傭兵団はいつまでも忘れない。
<p>少し時間をもらえるかな？君が会うべき人がいる。",ハーディン,"君のことを見守っていたよ<YellowBold>[player]</>。
私はハーディン。君と共にいたテオドールの師だ。"
大魔術師の提案,テオドールと話す,ハーディン,"回りくどい説明は好かないものでね、単刀直入に言おう。私は君が銀の傭兵団に入ることを望んでいる。
<p>話せる島での出来事とは比べ物にならないほどの巨大な闇が蠢き始めている。我々はその闇に立ち向かって戦うべき使命を背負っている。
<p>そして銀の傭兵団は君の力を必要としている。君の意志とは関係なく今後数多くの試練と苦痛が、君と共にあるはずだ。
<p>銀の傭兵団はそんな君の力になるだろう。
これは強制ではない。
よく考えて気持ちが定まったらテオドールに伝えてくれ。",テオドール,心は決めたか？
グルーディン街道へ,グルーディン街道に向かう,テオドール,"賢明な判断だ。まず君の決断に敬意を払おう。すでに気づいているかもしれないが、今回の任務は半分しか成功していない。
<p>話せる島は救えたが闇の結社を完全に止めることができなかったからだ。闇の結社は明らかにより大きな混乱を企てているに違いない。我々はそれを止める。
<p>さあ、話せる島を離れて
大陸で新たなスタートを準備しよう。",,
グルーディン街道へ,突然の攻撃,,,,
グルーディン街道へ,突然の攻撃,,,,
グルーディン街道へ,グルーディン街道に向かう,,,,
ゾンビの港,海賊ゾンビを倒す,船乗りジョン,ちょっと前にアンデッドが港に乱入してきて大変なことになっている。まずはアンデッドを片付けてから話そう！ ,,
防御哨所の基盤,木材の獲得,船乗りジョン,周辺が大変なことに！警備隊長が住民たちを保護しているが、木の柵が必要だそうだ！ここは我々に任せて君が集めてきてくれないか？,,
状況把握,警備隊長を訪ねる,船乗りジョン,よし、それじゃその木の柵をフォード警備隊長に届けてくれ！ついでにこっちはなんとか片付きそうだと伝えてくれ。,警備隊長フォード,そうか、港のほうは片付きそうか。<p>見ての通りここもやっとのことで防御線を維持している状況なので港に兵力をろくに回すことができなかった。<p>ちゃんと後で礼をしよう。今はこの騒ぎを収めないと。
警戒所の防御作戦,押し寄せるアンデッドを倒す,警備隊長フォード,"アンデッドたちが次から次へと攻め寄せるせいで柵を立てることができない！
<p>むっ！？ところであいつらは？
何者かがこっちに向かっている！迎撃の用意！",,
警戒所の防御作戦,押し寄せるアンデッドを倒す,,,,
警戒所の防御作戦,警備隊長フォードの所に戻る,,,,
襲われた港,骸骨弓使いを倒す,警備隊長フォード,"あの船がどうにも怪しい。
今すぐ沈んでもおかしくなさそうな、あの船のことだ。
<p>周辺のアンデッドを倒したらあの船の近くにいる副隊長と合流してくれ。頼んだぞ。",副警備隊長ウォルター,君は誰だ？傭兵か？なに、警備隊長に言われて？<p>わかった！まずはこの修羅場をどうにかしよう！
襲われた港,骸骨兵士を倒す,,,,
襲われた港,副警備隊長ウォルターに会う,,,,
討伐の第一歩,周辺のアンデッドを倒す,副警備隊長ウォルター,"私が思うにこれは少し前港に入った幽霊船が原因だと思う。あの船が近づくにつれて海や村の周辺からアンデッドが攻め寄せてきたんだ。
<p>あの船を破壊しよう。
まずは場所を確保する必要がある。
この付近にいるアンデッドを倒してくれ。",,
爆弾製造のための聖水,神官の聖水獲得,副警備隊長ウォルター,"アンデッドと戦うときに一番厄介なのは奴らは倒しても何度も起き上がって攻撃してくることだ。
最も確実に仕留めるには聖なる力を使うことだ。
<p>しかし我々のような平凡な兵士にそんな力はない。そこで開発されたのが、神聖爆弾というものだ。
<p>我々がアンデッドを食い止めるから君は神官に神聖爆弾の材料になる聖水をもらってきてくれ。",,
聖なる爆弾の補給,船乗りに神聖爆弾を届ける,神官ネスル,いらっしゃい。聖水の準備ができました。これならアンデッドを一網打尽にできましょう。この爆弾を兵士たちに分け与えてください。さあ、急いで。,,
聖なる爆弾の補給,航海士に神聖爆弾を届ける,,,,
聖なる爆弾の補給,副警備隊長に報告する,,,,
聖なる爆弾の補給,副警備隊長に報告する,副警備隊長ウォルター,よし、爆弾の準備ができたか！,,
聖なる爆弾の補給,爆弾の配達,,,,
遺物の運搬Ⅰ,神官ネスルの所に戻る,副警備隊長ウォルター,神官から伝言が来た。頼みたいことがあるそうだ。もう一度訪ねてみてはくれないか？,,
遺物の運搬Ⅱ,アインハザードの聖物を獲得する,神官ネスル,"ああ、お待ちしておりました。あなた様が港を危機から救うために活躍する姿を拝見して、とても感動いたしました。
<p>そこで失礼を承知で1つお願いをしたくお呼びいたしました。
<p>私が持っているアインハザードの聖物をグルーディン村の村長に届けてください。急ぎでお願いいたします。",村長スティーブン,"神官殿からアインハザードの聖物を？
おお、これで一安心だ。
<p>少し前、アインハザードの神殿にあった聖物がひどく壊れるという出来事が起きてね。新しいものをアインハザード教団に手配していたのだよ。
<p>ところが運悪く聖物が届く頃になって、アンデッドが攻めて来たんだ。偶然と言ってしまえばそれまでなのだが…。
<p>ああ、そういえばお礼がまだだったね。"
遺物の運搬Ⅱ,シーレンの遺物を獲得する,神官ネスル,さあ、急いでアインハザードの聖物を村長に無事届けてください。お願いします。,,
遺物の運搬Ⅱ,村長に聖物を届ける,,,,
遺物の運搬Ⅱ,海賊から聖物を守る,,,,
遺物の運搬Ⅱ,海賊から聖物を守る,,,,
遺物の運搬Ⅱ,海賊から聖物を守る,,,,
遺物の運搬Ⅱ,海賊から聖物を守る,,,,
貿易商の恩返し,貿易商ダイアに会う,村長スティーブン,"君は傭兵なのだね？ちょうどいい、ここの長として頼みたいことがある。
<p>近頃風車の平原付近の村から村人が消えるという事件が起きているんだ。これといった手がかりもなく、どうしたらいいか困っているんだ。この事件を調べてもらえないかね？
<p>それと旅立つ前に村の東門の前にいる貿易商ダイアに会っていくといい。君のおかげで海賊に殺されずに済んだと礼を言いたいそうだ。",貿易商ダイア,もう！素人じゃあるまいし！もう一声！<p>まったくツイてないったら！海賊に追われさえしなければ…！<p>あら！本当に来てくれたのね！ありがとう！
不可欠な装備補給,装備ダンジョンについて学ぶ,貿易商ダイア,さっきはどうもありがとう！多分覚えてないだろうけど、ね！<p>でも、あたしはちゃーんと覚えてるんだから！助けてもらった恩返しはきっちりさせてもらうわ！<p>えーっとどこにやったかなあ…とっておきの装備が…<p>ってあの泥棒ネコ！アレも持ってっちゃったのね！だから剣一振りの値段を上乗せした訳か…<p>あ…えっと代わりといっちゃなんだけど、いい装備が手に入るダンジョンを教えるわね！,,
不可欠な装備補給,装備ダンジョンについて学ぶ,,,,
怪しい事件の始まり,よろず屋パンに会う,貿易商ダイア,ん？行方不明になった村人？うーん、あたしはちょっとわからないかな。ここも最近大分荒んできちゃって、下手に口を開かないようにしているの。<p>そうだ！そうよ、あのネコの商人なら…！<p>この先の東門に行くとネコの商人がいるはずよ。いろんなところに行ってるみたいだから何か知っているかも！<p>ほら、急いで！この村には長居はしないはずよ！,よろず屋パン,おや？どっかで見た顔にゃ！<p>にゃっ？シッソウジケン？風車の平原のことかにゃ？
しゃべる猫,よろず屋パンを護衛する,よろず屋パン,"風車の平原の出来事なら、ちょっとだけ知ってるにゃ！ちょうどこれから向かうとこにゃ！<p>事件現場まで案内してやるから
そこまで護衛してほしいのにゃ！",よろず屋パン,ここだにゃー！必要な時に再会するだにゃんて、きっとオマエとは何かの縁があるんだにゃ。 ボク情報やる！オマエ守る！<p>思い出したにゃ！そういえば目撃者がいたはずにゃ！<p>目撃者を教えてやる前にボクの頼みをいくつか聞いてほしいのにゃ。
高く売れる爪,極悪ウェアウルフの爪を集める,よろず屋パン,"ここまで来る間、ウェアウルフと戦ったのにそいつの爪を集めるのを忘れてしまったのにゃ。
<p>ウェアウルフの爪は魔法の材料として高値で取引されるにゃ。ボクは商売人にゃ。
稼げるモノはなんだって手に入れるにゃ。<p>という訳で、ウェアウルフの爪を手に入れてほしいにゃ！
<p>この付近のウェアウルフは周辺の畑に悪さばかりするから倒しちゃっても気にすることないにゃ。",,
高く売れる皮,クーガーの皮を獲得する,よろず屋パン,"にゃにゃ！クーガーがいるにゃ！やつらの皮は、ウェアウルフの爪なんて目でもないほど貴重なモノにゃ！
もちろん高いにゃ！
<p>何をしているのにゃ！クーガーの皮も欲しいのにゃ！このチャンスは逃せないにゃ！",,
人使いの荒い猫,農場管理人と話す,よろず屋パン,"にゃーん、満足だにゃ！情報はタダでは手に入らないのにゃ！<p>今回の事件の目撃者は農場管理人なのにゃ。あそこの風車の近くにいるはずだにゃー。
<p>それじゃ、またにゃー！",農場管理人ハンメル,はじめまして、旅のお方。私は農場を管理しているハンメルと申します。<p>おっと傭兵だったのですね。しがない農民なものですから見分けることができず失礼いたしました。ハハ。
原因不明の疫病,腐った植物採集,農場管理人ハンメル,"この付近で起きている他の失踪事件と関係があるかわかりませんが、私が見たことについてお話しましょう…
<p>我が家の隣にはリエルという若い農夫が住んでいました。しかし少し前にリエルの風車の近くが何やら騒がしくなってその後リエルは姿を消しました。
<p>道の向かいにある風車がリエルの風車です。わ、私は怖くて…ここで待っています。",農場管理人ハンメル,な、なんですか、その草は！農夫の私ですらそんな風に腐った植物を見るのは初めてです。
薬草師アゲル,アゲルと話す,農場管理人ハンメル,うむ…アゲルなら原因がわかるかもしれません。<p>ここから北に進むと三叉路に出るのですが、アゲルはそこの風車の近くに住んでいる薬草師です。,薬草師アゲル,わっ、わわっ！な、なんだっ！？
予想外の魔物,アゲルの風車に集まるオルマフムを倒す,薬草師アゲル,"はぁ…人か…すみません、この付近での妙な出来事のせいで私を含めみんな怯えてしまっていて。
<p>その草は…うーん、とりあえずありふれた雑草ですね。しかし枯れ方が異様です。
<p>はっきりした原因はわかりませんが、墓地や戦場といった死の気配が強い場所の植物はそのように枯れる場合があります。
<p>あれ…？今何か音が聞こえませんでしたか？",,
予想外の魔物,アゲルの風車に集まるオルマフムを倒す,,,,
,薬草師アゲルと話す,,,,
元凶のオルマフム,オルマフム偵察兵を倒す,薬草師アゲル,も、もしかしてオルマフムが近くまで…！最近よく現れるようになったのです…<p>ど、どうしよう…あなた、追っ払えます！？,,
元凶のオルマフム,オルマフム偵察兵を倒す,,,,
謎の黒装束,車輪の跡を追う,薬草師アゲル,"そういえば、見かけない黒装束の者たちが人々を乗せた荷車を引いて遥か上の道を通り過ぎるのを見ました。
<p>荷車の重さで車輪の跡が残っているのでは？調べてみる価値はあると思いますよ。
<p>私はさっさと村に戻ります！ありがとうございました！",ヘレニア,嫌！嫌だってば！<p>あ…警備兵かと思ったわ。
謎の黒装束,車輪の跡を追う,,,,
謎の黒装束,車輪の跡を追う,,,,
占い師の事情,トゥレック突撃兵を倒す,ヘレニア,"警備兵が危険だから早く引っ越せって。まったく、家を捨ててどこへ行けというの？ここはとってもいい場所なのに…
<p>どこから来たのか近頃はオークだらけになっちゃったけど…
あ、あたしはヘレニア。占い師なの。お会いできて嬉しいわ。
<p>へえ、傭兵さんなのね。そうだ！それならこの辺のオークを倒して！そうすればあなたの知りたいことを教えてあげる。",,
北の廃屋調査,オークの野営地発見,ヘレニア,失踪事件のことを調べに来たんでしょ？それなら北にある廃屋のほうに行ってみて。あなたが探しているものが見つかるかもしれないわ。,ヘレニア,"なんでわかったかって？これぐらい占いに頼らなくてもわかるわ。
<p>こんな時期にこの辺に現れるなんて、警備兵じゃなければ事件の関係者ぐらいよ。それに妙な出来事は北から始まった。
<p>そしてあたしはこの場所ですべてを見守っていただけ。"
北の廃屋調査,古い命令書の調査,,,,
北の廃屋調査,古い命令書の調査,古い命令書,…たちを…捕ま…東…連れ…け。今回…も失敗…ら終わ…だ。,,
好奇心旺盛,ヘレニアと廃屋に向かう,ヘレニア,そうだわ！オークが増えたのは東の廃屋に正体不明の妙なおじさんが来てからだわ。<p>今はどっか行ってしまったようだけど…急に興味がすごい沸いてきちゃった！行ってみましょう！早く！<p>心配しないで。自分の体ぐらいは守れますって！,,
好奇心旺盛,ヘレニアと廃屋に向かう,ヘレニア,あれ？これは何の痕跡かしら。ん？壁に変な文字が…！<p>ふむ…何かの呪文のような気もするし…。,,
好奇心旺盛,罠の発動,,,,
好奇心旺盛,押し寄せる魔法生物を倒す,,,,
怪しい男と墓地,墓地の管理人カドルと話す,ヘレニア,"どれどれ…オークの命令書…オルマフム…黒く枯れた草…思い当たる場所があるわ。
<p>この下の道に沿って行って川を渡ると沈黙の墓地という所に出るの。そこへ行ってみて！
<p>へっ？警備隊に知らせろ？うーん、警備隊は苦手なんだけどなあ…わかったわ。残念！久しぶりの大事件なのに…
<p>そうそう、まずは墓地の入口にいるカドルっていう管理人に声をかけてね。",墓地の管理人カドル,"ちょ、ちょ！待ってください！
本当に墓地に入るつもりですか？"
毛深いマッチョ,毛深いマッチョを探す,墓地の管理人カドル,"もしかしてあなたも失踪事件を調べに？いやね、先ほども毛むくじゃらで恰幅のいいのが来まして…
<p>それにしても、一体何が起きてるんです？気味が悪いなあ…",ラッセル,よお！久しぶりだな！
依頼人を探して,廃屋を捜索する,ラッセル,"ハハハ！今回は俺の方が先に手がかりを見つけたようだな。
<p>それじゃ、奥のほうから調べてみようか。",エルノア,まあ…この悲しみに満ちた地に、どのようなご用で？
大切な物,恨みの骸骨兵士から大切な物を探す,エルノア,銀の傭兵団が失踪事件を調べているのですね。それは頼もしいこと…ふふ。,,
大切な物,,ラッセル,でしょう！？ところでお嬢さんは、なぜこちらへ？,,
大切な物,,エルノア,私は…大事な物をなくしてしまって…よろしければ一緒に探してくれませんか？,,
厄介なコウモリ,墓地コウモリを倒す,ラッセル,"ここから先は手分けして手がかりを探そう。
俺は右に行くからあんたは左を頼んだぞ。後であそこにある廃屋の前で合流しよう。<p>それにしてもしつこいコウモリだなあ。ちょっと片付けておいた方がいいかもな。",ラッセル,何か見つかったか？俺はさっぱりだ。
厄介なコウモリ,釜の前にいるラッセルに会う,,,,
怪しい釜,怪しい釜の確認,ラッセル,待て、こんなところに釜が？それに最近使った形跡がある。なんか…変な匂いもするしこいつは怪しいぞ。ちゃんと調べた方がいいかもしれない。,,
怪しい釜,押し寄せるコウモリの群れを倒す,,,,
苦しみのない場所へ,釜の中身を埋める,ラッセル,"もしかすると…黒魔法を使った跡かもしれない。一体だれが何のためにこんなことを？
<p>とりあえずこの釜の中身を処理しよう。あっちに空の墓があったからそこに埋めてしまおう。",,
ピンチの女性,エルノアの所に戻る,ラッセル,"嫌な予感がする。話せる島に続き、ここでも何か良くないことが起きているようだ。
<p>エルノアさん…！彼女を独りにしたら危ない気がする。急いで戻ろう！",,
北の警備兵,エルノアの行方を捜す,ラッセル,"エルノアさんがいない！くそ、予感が的中しちまったのか？
<p>そうだ、彼女は何かを探していると言っていた。この近くでそいつを探しているのかもしれない。彼女を探そう！
<p>えっ？俺がエルノアさんを…？ちょっと待て、この状況でなぜそんな話になるんだ？
<p>ご、ご、誤解だ！",警備兵バロン,…エルノアさんですか？彼女なら少し前に行方が分からなくなっていますよ。
彼女の跡,リーパーから腕輪の欠片を探す,ラッセル,ま、まさか！じゃあ俺たちが見たのは幽霊だとでも？,警備兵バロン,その腕輪の欠片…私が見つけたものとぴったり合いますね。これで私の言葉を信じてもらえますか？
彼女の跡,,警備兵バロン,"ゆ、幽霊だなんて！
私は一言もそんなことは言ってませんよ！縁起でもない！<p>行方不明者の捜索中に、この付近で彼女の腕輪の一部を見つけたんです。<p>これです。彼女の名前が刻まれているでしょう？",,
彼女の跡,,ラッセル,そんな…<YellowBold>[player]</>、俺たちも手分けして探そう。俺はやっぱりこの兵士の言葉が信じられない。あんたはリーパーがいるほうを調べてもらえるか？,,
墓地の脅威,バグベアーを倒してラッセルを探す,警備兵バロン,"ラッセル殿ですか？ああ、あなたと一緒にいたヒゲもじゃの傭兵ですね。まだ戻っていませんけど。
<p>バグベアーのいる方角へ向かっていました。はい、ここから西のほうです。",ラッセル,腕輪、見つかったのか？なんてこった！それじゃあ、あれは本当に幽霊だったのか？いや、信じられない…
墓地の脅威,バロンとラッセルに会う,,,,
廃屋捜索,廃屋周辺のコウモリから手がかりを探す,ラッセル,もし彼女が本当に幽霊だったとしたら、俺たちに何か訴えていたのかもしれない。なぜかそんな気がするんだ。,,
廃屋捜索,,警備兵バロン,"この周辺には他にも廃屋がたくさん残っています。もう少し調べてみましょう。その前にコウモリどもを何とかしていただけませんか？捜査の邪魔になるんで…
<p>話せる島に焼いたコウモリが好物だっていう変わった釣り人がいるんですけど、その人を呼んで来たいぐらいです。",,
手がかり発見,ラッセルの所に移動,警備兵バロン,あっ！あそこにラッセル殿が！何か合図を送っていますね。私がご案内いたします、行きましょう！,,
隠された地下室,地下室の扉を開ける,ラッセル,"隠された地下室のほうから何か音が聞こえる。もしかすると行方不明の村人たちかもしれない。<p>扉は閉まっている。無理にでもこじ開けないと。
手伝ってくれ。",,
隠された地下室,地下室の扉を開ける,,,,
隠された地下室,住民の状態を確認する,,,,
隠された地下室,住民の状態を確認する,ラッセル,"奥に誰かいるぞ！
村の人たちだ！こんなところに閉じ込められていたのか…！",,
隠された地下室,住民の状態を確認する,,,,
隠された地下室,悲しい最期,,,,
隠された地下室,押し寄せる実験体を倒す,,,,
略奪者の巣窟へ,地下室の外に出る,ラッセル,"あのアンデッドがこの腕輪の一部を落としたんだ。他の欠片とぴったり合う。どうやら…エルノアさんは…すでに…。
<p>一体ここで何が起こったというんだ。",討伐隊長ジャクソン,"バロンからの報告か？
<p>そうか、そんなことが…
<p>行方不明の村人は黒魔法の犠牲になったようだな。残念極まりない。"
略奪者の巣窟へ,,警備兵バロン,"私とラッセル殿で村人たちの亡骸を収容します。こんな姿になってしまっても…彼らはここの村の人たちです。
<p><YellowBold>[player]</>殿は略奪者の巣窟に向かってください。そして、私に代わってジャクソン隊長にこのことを報告してください。",,
略奪者の巣窟へ,地下室の外に出る,,,,
略奪者の巣窟へ,討伐隊長ジャクソンに報告する,,,,
人質の捜索Ⅰ,オルマフム警備兵を倒す,討伐隊長ジャクソン,"失踪した村人の一部がオルマフムの駐屯地に向かったという情報を入手した。もしかすると彼らも黒魔法の実験体になってしまうかもしれない。我々も急いで向かおう。
<p>それはそうと君は銀の傭兵団所属なのか？ふむ、やはり銀の傭兵団は見る目がある…
<p>なぜこの件に携わっているのかは知らぬが、引き続きよろしく頼む。",,
人質の捜索Ⅰ,オルマフムのテントを調べる,,,,
人質の捜索Ⅰ,討伐隊長ジャクソンの所に戻る,,,,
人質の捜索Ⅱ,オルマフム剣士を倒す,討伐隊長ジャクソン,"偵察兵によると北にオルマフムの警戒所がもう1か所あるらしい。そっちを捜索してくれ。
<p>オルマフムの剣士が行く手を塞いでいるらしいから
気を付けろ。今回こそ必ず手がかりを…！",さらわれた村人,助けに来てくれたんですね！ありがとうございます！<p>このまま死ぬんじゃないかって…怖かった…！
人質の捜索Ⅱ,捕らわれた村人の救出,,,,
人質の捜索Ⅱ,村人と話す,,,,
安全のために,村人を警戒所まで護衛する,さらわれた村人,私ひとりではここから抜け出せません。どうか安全な場所まで連れて行ってください！,,
アイメルの行方,討伐隊長ジャクソンに報告する,さらわれた村人,アイメル…アイメル…アイメル…<p>アイメルが誰だかは存じませんが、私たちを助けようとして頭巾の男の罠にはまり捕まってしまった方がいます。<p>確か他の人たちと一緒に巣窟の奥に連れていかれたかと。急いで行ってみてください！,討伐隊長ジャクソン,待て、ひとりで奴らの巣窟に乗り込もうというのか？
急がば回れ,オルマフム戦士を倒す,討伐隊長ジャクソン,"それは危険すぎる！逸る気持ちはわかるが、焦りは失敗を招くことになる。
<p>まずは巣窟の入口にいる戦士を倒して道を開こう。そこへ私が本隊を率いて入口を突破する！",,
急がば回れ,討伐隊長ジャクソンに報告する,,,,
入口突破,オルマフム警備兵を倒す,討伐隊長ジャクソン,"敵の抵抗が思いのほか激しい！
兵士たちと一緒に警備兵を倒してくれ！",,
入口突破,警備隊のリーダートゥムルを倒す,,,,
仲間の救出,オルマフムの本拠地発見,討伐隊長ジャクソン,味方の斥候が本拠地を発見した！道に沿って行き左に曲がればいいそうだ！君の仲間もそこにいるかもしれない。<p>ここは私たちに任せて！さあ行くんだ！,よろず屋パン,助けてくれてありがとうにゃ！墓地を抜けてたら真っ黒い奴に捕まったにゃ！！
仲間の救出,押し寄せるオルマフムを倒す,,,,
仲間の救出,オルマフムの本拠地捜索,,,,
仲間の救出,よろず屋パンを救出する,,,,
仲間の救出,よろず屋パンと話す,,,,
やられたらやり返せ,よろず屋パンの交易品を探す,よろず屋パン,ヒューマンのオンナにゃ？うーん、よくわからないにゃ。<p>それはそうとボクの大事な品物をオルマフムが全部持ってっちゃったのにゃ！取り返してきてほしいにゃ！略奪品の警備兵が持ってるはずにゃ！,,
オルマフムまみれ,オルマフム略奪者を倒す,よろず屋パン,風車の平原を過ぎれば安全だと思ったのに、グルーディン街道が悪者だらけになってしまったにゃ。<p>早くボクをここから連れ出してほしいにゃ！,,
他の仲間の救出,オルマフム将校から情報を聞き出す,よろず屋パン,"ちょっと待つのにゃ…うーん、うーん…ゴロゴロ…
<p>思い出したにゃ！とあるオンナが道を辿って北に連れて行かれたのにゃ！
<p>北のオルマフム警戒所付近を探すといいと思うにゃ。奴らを懲らしめれば、何か情報を漏らすと思うのにゃ。",アイメル,助けてくれてありがとう。君は？<p><YellowBold>[player]</>？<p>君が銀の傭兵団の新入り？そうだったのね！あたしも団員よ、アイメルっていうの。
他の仲間の救出,アイメルを探す,,,,
他の仲間の救出,アイメルの牢屋を開ける,,,,
他の仲間の救出,アイメルと話す,,,,
財務長,武器箱からアイメルの剣を探す,アイメル,"奴ら、あたしが大事にしてる剣を持ってっちゃったの！見つけたらタダじゃおかないから…！
<p>丸腰のままじゃ下手に動けないから
まずは武器を探さなくちゃ。",,
脱出敢行,アイメルと一緒に脱出する,アイメル,さあ、いきましょう。ここでグズグズしている暇はないわ！<p>あの黒魔術師をとっちめてやらないと。,警備兵バロン,おかえりなさい。<YellowBold>[player]</>殿！隣の方は？ああ、ラッセル殿が言っていた方ですね！
巣窟の心臓部,オルマフム射手を倒す,警備兵バロン,残党は我々が片付けます。<YellowBold>[player]</>殿とアイメル殿は巣窟の中心部に向かってください。<p>ジャクソン隊長が先にそちらに向かっています。向かう途中でオルマフム射手を倒してください。村人たちが脱出する時に一番厄介な奴らですから。,討伐隊長ジャクソン,ちょうどいい時に来てくれた！中心部への突入を試みたが、オルマフムの反撃が強まって苦戦している。
巣窟の心臓部,,アイメル,それじゃあ、あたしは先に黒魔術師の居場所を探るわ。後でオルマフムの巣窟で会いましょう！,,
追加作戦開始,オルマフム闘士を倒す,討伐隊長ジャクソン,一帯にいるオルマフム闘士のせいでこちらの被害は甚大だ。討伐を手伝ってくれ。,,
追加作戦開始,討伐隊長ジャクソンと話す,,,,
無力化作戦,オルマフム監視兵を倒す,討伐隊長ジャクソン,"急ぎ頼みたいことがある。君がグルーディン村の村長に届けたアインハザードの聖物が、謎の武装集団に奪われるという事件が起きたんだ。
<p>失踪した村人の捜索も大事だが、聖物を取り戻せるよう力を貸してくれないか？あの聖物がないと港での惨事が再び起きるかもしれない。
<p>詳しい話は先に送り込んだ偵察兵から聞くといい！敵の監視兵にも気を付けるんだぞ！",偵察兵チャールズ,"ジャクソン隊長からお話は伺っています。聖物を奪った武装集団はなんとオルマフムの巣窟に向かったとのことです。
<p>おかしなことに、奴らは動きを全く隠そうとしないらしいのです。村人の捜索のため兵が出払った隙を狙った模様です。
<p>残っていた兵士で何とか食い止めようとしましたが、歯が立たず…。"
無力化作戦,偵察兵チャールズと話す,,,,
回収のために,オルマフム警備兵を倒す,偵察兵チャールズ,まずはあちらの倉庫の方を捜索しようと思います。見つかったら面倒なことになるので、まずは警備兵を先に倒しましょう。,,
多ければ多いほど良い,略奪品の回収,偵察兵チャールズ,この箱を調べてみますか。ここからは手分けしましょう。,,
より多くの品,チャールズが指さす方向に向かう,偵察兵チャールズ,"ううむ…ここにはないようですね。
あっちに行ってみましょう。別の倉庫があるんです。",,
怒れる倉庫番たち,押し寄せるオルマフムを倒す,偵察兵チャールズ,"しまった！敵に気づかれたようです。
仕方ない、戦いましょう！",,
略奪品の回収,アイメルと話す,偵察兵チャールズ,"私はもう少しここを調べてみます。
<YellowBold>[player]</>殿はあちらにある最後の倉庫をお願いします。
<p>怪しい女が倉庫の方へ向うのを見かけました。急ぎましょう。",アイメル,"遅い！どこで油を売ってたの？
<p>えっ？アインハザードの聖物？あたしはその件についてはまったくわからないわ。"
黒魔法の脅威,オルマフム警備兵を倒す,アイメル,"なるほど、そんなことがあったのね。あたしはずっと捕まっていたから…でも、そういえば…例の黒魔術師。奴がオルマフムを指揮しているようにも見えたわ。
<p>やっぱり黒魔術師を捕まえることが先決ね。村人のことも聖物のことも知ってるかも。それじゃ、いっちょ暴れてみよっか！",アイメル,へえ…黒魔術の書か…奴とも関係がありそうね。周辺をしらみつぶしに探しましょう。
黒魔法の脅威,オルマフム警備兵を倒す,アイメル,"あらっ！警備隊の前で騒いだら警備隊長が出てくると思ったのにな。ここでは通じなかったわね。
<p>奴は一体どこに隠れてるの？調べ物はもうコリゴリなのよ！
さっさと出てきなさーい！
<p><YellowBold>[player]</>
君はあっちをお願い。なんか見つけたらすぐ知らせて。",,
黒魔法の脅威,怪しい略奪品の調査,,,,
綿密な捜索,黒魔術師を探す,アイメル,"手分けして黒いのを探しましょう。見つけたら合図を送って！連係プレイでジワジワと追いつめてやる！
<p>ああ、自信があるならひとりでさっさと捕まえちゃってもいいわよ。",アイメル,"あれっ？<YellowBold>[player]</>！どうしたの！？
<p>その前にここは一体どこ？もしかして、知らない間に地獄に来たとか？
<p>ウソでしょ…まだやりたいことたくさんあったのに！"
綿密な捜索,黒魔術師を探す,黒魔術師,"馬鹿め！自ら罠にかかるとはな！
さあ、一緒に来てもらおうか！",,
綿密な捜索,黒魔術師を探す,,,,
黒魔術師の実験室,未知の空間の捜索,アイメル,"じょ、冗談だってば。こういう時こそリラックスした方がいいんだって。まあ、これって明らかに罠よねえ…敵はお約束の悪役みたいに、あたしたちを見て笑ってるでしょうね。
<p>それなら、あたしたちは主人公らしく行動しましょ。こっちに行くわよ。",,
黒魔術師の実験室,未知の空間の捜索,黒魔術師,クククク、ここがどこかって？偉大なる黒魔術は新たな空間を創り出すことぐらい朝飯前だ。<p>もっと驚くものを見せてやろう。私の実験室で息絶えることになるのを、光栄に思え！,,
黒魔術師の実験室,押し寄せるニールクローラーを倒す,,,,
黒魔術師の実験室,アイメルと話す,,,,
孤立,アイメルに意見を聞く,黒魔術師,"なんてことだ…私の実験室が…！くそ、こうなったらここにはもう用はない。
<p>さらばだ。貴様らはここでゆっくり死を迎えるがいい。",アイメル,"あら？見て。
ほら、これよ！<YellowBold>エリクサー</>の材料があるわ。"
孤立,アイメルに意見を聞く,アイメル,"卑怯者！自分だけ逃げやがったわ！今度会ったら服装通り真っ黒な灰にしてやるわ！
<p>とにかく、ここから脱出する方法を探さないと。黒い奴が出られたんだからあたしたちも出られるはずよ。",,
孤立,アイメルと脱出方法を探す,,,,
孤立,アイメルと話す,,,,
