Id,ManagerGrade,QuestType,GroupType,Name,QuestDesc1,QuestDesc2,TaskType,TaskCondition,TaskCount,TaskContentType,NpcAutoMoveID,ContentsLockId,Help,RewardContribution,Reward1Type,Reward1ItemInfold,Reward1Count,Reward2Type,Reward2ItemInfold,Reward2Count,Reward3Type,Reward3ItemInfold,Reward3Count,GuildRewardType1,GuildRewardItemInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardItemInfold2,GuildRewardCount2
1411,1,2,1,군락의 대모 처치,여왕개미(쉬움) 처치,여왕개미의 동굴(쉬움)의 여왕개미를 1회 처치하세요.,83,300001,1,15,,117,0,50,6,500119,1,31,,,31,,,3,500061,7,3,500081,15
1412,2,2,1,군락의 대모 처치,여왕개미(보통) 처치,여왕개미의 동굴(보통)의 여왕개미를 1회 처치하세요.,83,300101,1,15,,117,0,50,6,500119,1,31,,,31,,,3,500062,5,3,500081,15
1413,2,2,1,군락의 대모 처치,여왕개미(어려움) 처치,여왕개미의 동굴(어려움)의 여왕개미를 1회 처치하세요.,83,300201,1,15,,117,0,50,6,500119,1,31,,,31,,,3,500063,5,3,500081,15
1414,3,2,1,군락의 대모 처치,여왕개미(매우 어려움) 처치,여왕개미의 동굴(매우 어려움)의 여왕개미를 1회 처치하세요.,83,300301,1,15,,117,0,50,1,,3000,31,,,31,,,3,500061,7,6,,35
1421,2,2,1,정신 지배자 처치,크루마 코어(쉬움) 처치,크루마 코어의 방(쉬움)의 크루마 코어를 1회 처치하세요.,83,302001,1,15,,123,0,50,1,,3000,31,,,31,,,3,500062,5,5,,70
1422,2,2,1,정신 지배자 처치,크루마 코어(보통) 처치,크루마 코어의 방(보통)의 크루마 코어를 1회 처치하세요.,83,302101,1,15,,123,0,50,1,,3000,31,,,31,,,3,500063,5,6,,35
1423,3,2,1,정신 지배자 처치,크루마 코어(어려움) 처치,크루마 코어의 방(어려움)의 크루마 코어를 1회 처치하세요.,83,302201,1,15,,123,0,50,6,490022,1,31,,,31,,,3,500081,15,5,,70
1491,1,2,1,고통의 성채 군주 처치,절규의 땅 월드 보스 처치,"절규의 땅의 월드 보스 죽음의 기요틴을 1회 처치하세요.
(보스 몬스터 소환석 제외)",83,21099,1,149,800201,,0,50,6,490022,1,31,,,31,,,5,,70,3,500061,7
1492,2,2,1,악마섬의 주인 처치,악마섬 월드 보스 처치,"악마섬의 월드 보스 자켄을 1회 처치하세요.
(보스 몬스터 소환석 제외)",83,21399,1,149,800202,,0,50,6,490022,1,31,,,31,,,3,500061,7,3,500062,5
1501,2,2,3,룬 각인이 좋아,룬 각인 시도,룬 각인을 10회 시도하세요.,20,,10,18,,16,0,50,6,500119,1,31,,,31,,,3,500081,15,6,,35
1502,1,2,3,룬 각인이 최고,룬 각인 성공,룬 각인을 5회 성공하세요.,21,,5,18,,16,0,50,6,500119,1,31,,,31,,,3,500061,7,3,500081,15
1511,1,2,3,엘릭서가 최고,엘릭서 제작,엘릭서를 3개 제작하세요.,52,Elixir,3,20,,28,0,50,6,500119,1,31,,,31,,,3,500062,5,3,500081,15
1521,3,2,2,티끌모아 태산,아데나 획득,150000 아데나를 획득하세요.,0,,150000,149,,,0,50,6,500119,1,31,,,31,,,3,500063,5,3,500081,15
1522,2,2,2,혈맹을 위해,피의 증거 획득,피의 증거를 1000개 획득하세요.,50,BloodCrystal,1000,6,,,0,50,1,,3000,31,,,31,,,3,500061,7,6,,35
1523,1,2,2,혈맹 던전을 위해,붉은 스타 스톤 획득,붉은 스타 스톤을 100개 획득하세요.,50,RedStarStone,100,6,,,0,50,1,,3000,31,,,31,,,3,500062,5,5,,70
1524,2,2,2,몬스터 코어 매니아,몬스터 코어 획득,몬스터 코어를 20개 획득하세요.,50,MonsterCore,20,19,,,0,50,1,,3000,31,,,31,,,3,500063,5,6,,35
1525,3,2,2,집혼석 매니아,집혼석 획득,집혼석을 7개 획득하세요.,50,SoulCrystal,7,6,,,0,50,6,490022,1,31,,,31,,,3,500081,15,5,,70
1526,1,2,2,장비의 완성은 집혼석,집혼석 레벨업,집혼석 레벨업을 10회 시도하세요.,63,,10,21,,,0,50,6,490022,1,31,,,31,,,6,,35,5,,70
1527,3,2,4,C급 아이템 매니아,C등급 아이템 획득,C급 아이템을 10개 획득하세요.,51,C,10,149,,,0,50,6,490022,1,31,,,31,,,5,,70,3,500061,7
1528,1,2,4,B급 아이템 매니아,B등급 아이템 획득,B급 아이템을 5개 획득하세요.,51,B,5,149,,,0,50,6,490022,1,31,,,31,,,3,500061,7,3,500062,5
1529,2,2,4,A급 아이템 매니아,A등급 아이템 획득,A급 아이템을 3개 획득하세요.,51,A,3,149,,,0,50,6,490022,1,31,,,31,,,3,500062,5,3,500063,5
1530,3,2,4,최고급 아이템 매니아,S등급 이상 아이템 획득,S급 이상 아이템을 2개 획득하세요.,51,S,2,149,,,0,50,6,500119,1,31,,,31,,,3,500081,15,6,,35
1541,1,2,4,팔지말고 분해하자,공방에서 아이템 분해,공방에서 분해를 3번 시도하세요.,71,All,3,96,,,0,50,6,500119,1,31,,,31,,,3,500061,7,3,500081,15
1551,3,2,4,장비 매니아,장비 아이템 획득,장비 아이템을 50개 획득하세요.,50,Equipment,50,149,,,0,50,6,500119,1,31,,,31,,,3,500062,5,3,500081,15
1552,1,2,4,펫 장비 매니아,펫 장비 아이템 획득,펫 장비 아이템을 50개 획득하세요.,50,PetEquipment,50,91,,,0,50,6,500119,1,31,,,31,,,3,500063,5,3,500081,15
1601,2,2,4,장비 성장의 기본,장비 레벨업 시도,장비 레벨업을 10번 이상 시도하세요.,57,,10,56,,1,0,50,1,,3000,31,,,31,,,3,500061,7,6,,35
1602,1,2,4,펫 장비도 중요해,펫 장비 레벨업 시도,펫 장비 레벨업을 10번 이상 시도하세요.,190,,10,94,,1,0,50,1,,3000,31,,,31,,,3,500062,5,5,,70
1603,1,2,4,장비 성장의 정석,장비 승급 시도,장비 승급을 1번 시도하세요.,61,,1,57,,1,0,50,1,,3000,31,,,31,,,3,500063,5,6,,35
1604,3,2,4,원하는 장비를 위해,장비 합성 시도,장비 합성을 2번 이상 시도하세요.,58,,2,58,,1,0,50,6,490022,1,31,,,31,,,3,500081,15,5,,70
1605,3,2,4,강화는 침착하게,장비 강화 시도,장비 강화를 3번 이상 시도하세요.,53,,3,59,,1,0,50,6,490022,1,31,,,31,,,6,,35,5,,70
1606,2,2,4,강화는 냉철하게,장비 강화 성공,장비 강화를 1번 이상 성공하세요.,55,,1,59,,1,0,50,6,490022,1,31,,,31,,,5,,70,3,500061,7
1607,1,2,4,끝판왕은 특성강화,장비 특성강화 시도,장비 특성강화를 1번 시도하세요.,62,,1,60,,1,0,50,6,490022,1,31,,,31,,,3,500061,7,3,500062,5
1608,1,2,4,장비의 디테일은 옵션,장비 옵션변경 시도,장비 옵션변경을 1번 시도하세요.,60,,1,61,,1,0,50,6,490022,1,31,,,31,,,3,500062,5,3,500063,5
1609,2,2,4,한계를 몰라,장비 초월 시도,장비 초월을 1번 시도하세요.,69,,1,62,,1,0,50,6,500119,1,31,,,31,,,3,500081,15,6,,35
1610,1,2,4,장비 분해 장인,장비 분해 시도,공방에서 장비 분해를 3번 시도하세요.,71,Equipment,3,96,,1,0,50,6,500119,1,31,,,31,,,3,500061,7,3,500081,15
1701,1,2,2,정탄왕,아데나로 '정령탄 5000개' 구매,"아데나로 '10% 할인! 정령탄 5000개'를 1회 구매하세요.
(마그나딘 할인 상점은 카운트되지 않습니다.)",224,4010,1,30,,,0,50,6,500119,1,31,,,31,,,3,500062,5,3,500081,15
1702,2,2,2,소통왕,아데나로 '확성기 10개' 구매,아데나로 '확성기 10개'를 3회 구매하세요.,224,4019,3,30,,,0,50,6,500119,1,31,,,31,,,3,500063,5,3,500081,15
1703,3,2,2,참회왕,아데나로 '참회의 십자가' 구매,"아데나로 '참회의 십자가'를 1회 구매하세요.
(마그나딘 할인 상점은 카운트되지 않습니다.)",224,4100,1,30,,,0,50,1,,3000,31,,,31,,,3,500061,7,6,,35
1721,1,2,3,우정포인트 선물 상자 매니아,'우정포인트 선물 상자 1개' 구매,'우정포인트 선물 상자 1개'를 3회 구매하세요.,224,10032,3,27,,8,0,50,1,,3000,31,,,31,,,3,500062,5,5,,70
1722,2,2,3,탑승펫 장비 구매왕,블루 다이아로 '탑승펫 성장 상자' 구매,블루 다이아로 '탑승펫 성장 상자'를 1회 구매하세요.,224,5048,1,28,,8,0,50,1,,3000,31,,,31,,,3,500063,5,6,,35
1723,3,2,3,고급 장비 구매왕,레드 다이아로 '고급 장비 육성 상자' 구매,레드 다이아로 '고급 장비 육성 상자'를 1회 구매하세요.,224,5043,1,28,,8,0,50,6,490022,1,31,,,31,,,3,500081,15,5,,70
1724,2,2,3,UR제작 장인,레드 다이아로 'UR제작용 재료 상자' 구매,레드 다이아로 'UR제작용 재료 상자'를 1회 구매하세요.,224,5045,1,28,,8,0,50,6,490022,1,31,,,31,,,6,,35,5,,70
1725,2,2,3,재료 상자 구매왕,레드 다이아로 '프리미엄 재료 상자' 구매,레드 다이아로 '프리미엄 재료 상자'를 1회 구매하세요.,224,5047,1,28,,8,0,50,6,490022,1,31,,,31,,,5,,70,3,500061,7
1726,1,2,3,붉은 스타 스톤 기부를 위해,우정 포인트로 '붉은 스타 스톤 100개' 구매,우정포인트로 '붉은 스타 스톤 100개'를 1회 구매하세요.,224,10029,1,27,,8,0,50,6,490022,1,31,,,31,,,3,500061,7,3,500062,5
1727,3,2,3,동에 번쩍 서에 번쩍,아데나로 '텔레포트 주문서 50개' 구매,"아데나로 '텔레포트 주문서 50개'를 1회 구매하세요.
(마그나딘 할인 상점은 카운트되지 않습니다.)",224,4101,1,30,,8,0,50,6,490022,1,31,,,31,,,3,500062,5,3,500063,5
1801,3,2,2,넌 강해졌다 돌격해,정령탄 사용,정령탄을 1000개 사용하세요.,41,SoulShot,1000,30,,2,0,50,6,500119,1,31,,,31,,,3,500081,15,6,,35
1802,2,2,2,건강을 위해,HP포션 사용,HP포션 70개를 사용하세요.,41,HPPotion,70,30,,,0,50,6,500119,1,31,,,31,,,3,500061,7,3,500081,15
1803,1,2,2,건강을 위해,MP포션 사용,MP포션 70개를 사용하세요.,41,MPPotion,70,30,,,0,50,6,500119,1,31,,,31,,,3,500062,5,3,500081,15
1804,3,2,2,아덴 월드의 성장,아데나 사용,200000 아데나를 사용하세요.,4,Adena,200000,83,,,0,50,6,500119,1,31,,,31,,,3,500063,5,3,500081,15
1805,1,2,2,아덴 월드의 발전,레드 다이아 사용,레드 다이아 240개를 사용하세요.,4,FreeDiamond,240,28,,,0,50,1,,3000,31,,,31,,,3,500061,7,6,,35
1806,2,2,2,아덴 월드의 영광,블루 다이아 사용,블루 다이아 240개를 사용하세요.,4,PayDiamond,240,28,,,0,50,1,,3000,31,,,31,,,3,500062,5,5,,70
1807,3,2,4,강화는 대담하게,장비 강화 시도,장비 강화를 5번 시도하세요.,53,,5,59,,1,0,50,1,,3000,31,,,31,,,3,500063,5,6,,35
1808,1,2,4,분해해서 부자되자,공방에서 아이템 분해,공방에서 분해를 5번 시도하세요.,71,All,5,96,,,0,50,6,490022,1,31,,,31,,,3,500081,15,5,,70
1901,1,2,5,혈맹을 위해,혈맹 공헌도 획득,혈맹 공헌도를 350만큼 획득하세요.,167,,350,2,,,0,50,6,490022,1,31,,,31,,,6,,35,5,,70
1902,3,2,5,예의바른 혈맹원,혈맹원에게 인사,혈맹원에게 20번 인사하세요.,166,,20,2,,,0,50,6,490022,1,31,,,31,,,5,,70,3,500061,7
1903,3,2,5,기부천사,혈맹 기부,혈맹에 50번 기부하세요.,163,,50,2,,,0,50,6,490022,1,31,,,31,,,3,500061,7,3,500062,5
1904,3,2,5,혈맹의 성장,혈맹에 아데나 기부,혈맹에 100000 아데나를 기부하세요.,164,,100000,2,,,0,50,6,490022,1,31,,,31,,,3,500062,5,3,500063,5
1905,2,2,5,혈맹의 발전,혈맹에 피의 증거 기부,혈맹에 피의 증거 1200개를 기부하세요.,165,,1200,2,,,0,50,6,500119,1,31,,,31,,,3,500081,15,6,,35
1906,3,2,5,혈맹의 영광,혈맹에 붉은 스타 스톤 기부,혈맹에 붉은 스타 스톤 800개를 기부하세요.,169,,800,2,,,0,50,6,500119,1,31,,,31,,,3,500061,7,3,500081,15
9015,3,2,5,차린건 없지만,아지트에서 소형 만찬 주문,혈맹 아지트에서 소형 만찬 1개를 주문하세요.,230,1,1,44,,,0,50,6,500119,1,31,,,31,,,3,500062,5,3,500081,15
9016,1,2,5,좀 차려봤어,아지트에서 중형 만찬 주문,혈맹 아지트에서 중형 만찬 1개를 주문하세요.,230,2,1,44,,,0,50,6,500119,1,31,,,31,,,3,500063,5,3,500081,15
9017,2,2,5,오늘은 먹고 죽는 날,아지트에서 대형 만찬 주문,혈맹 아지트에서 대형 만찬 1개를 주문하세요.,230,3,1,44,,,0,50,1,,3000,31,,,31,,,3,500061,7,6,,35
9018,1,2,5,호랑이 기운이 솟아,아지트에서 개인 물약 제조,혈맹 아지트에서 개인 물약 3개를 제조하세요.,231,,3,44,,,0,50,1,,3000,31,,,31,,,3,500062,5,5,,70
9019,3,2,5,유물왕,아지트에서 유물 감정,혈맹 아지트에서 유물 3개를 감정하세요.,232,,3,44,,,0,50,1,,3000,31,,,31,,,3,500063,5,6,,35
