Id,Name,DelayTime,Duration,PeriodCount,CollisionUnitType,CollisionUnitParam,AutoIncreaseCollisionArea,Resource,DirAlign,Hide,HideTime,EffectRepeatAble
45000462,암흑 덩어리 : 확장,0,6000,6,0,"""radius"": 800",,BP/BP_PTC_Collabo_Dark8m,0,0,,0
45000463,암흑 덩어리 : 확장,0,6000,6,0,"""radius"": 1000",,BP/BP_PTC_Collabo_Dark10m,0,0,,0
45000464,암흑 덩어리 : 확장,0,6000,6,0,"""radius"": 1200",,BP/BP_PTC_Collabo_Dark12m,0,0,,0
45000465,암흑 덩어리 : 확장,0,6000,6,0,"""radius"": 1400",,BP/BP_PTC_Collabo_Dark14m,0,0,,0
45000466,암흑 덩어리 : 확장,0,6000,6,0,"""radius"": 1600",,BP/BP_PTC_Collabo_Dark16m,0,0,,0
45000467,암흑 덩어리 : 확장,0,6000000,6000,0,"""radius"": 1800",,BP/BP_PTC_Collabo_Dark18m,0,0,,0
45000469,암흑 덩어리,0,6000000,6000,0,"""radius"": 200",,BP/BP_PTC_Collabo_Dark2m,0,0,,0
45000470,암흑 덩어리 : 대확장,0,8000,8,0,"""radius"": 2000",,BP/BP_PTC_Collabo_Dark20m,0,0,,0
45000471,암흑 덩어리 : 대확장,0,8000,8,0,"""radius"": 2200",,BP/BP_PTC_Collabo_Dark22m,0,0,,0
45000472,암흑 덩어리 : 대확장,0,8000,8,0,"""radius"": 2400",,BP/BP_PTC_Collabo_Dark24m,0,0,,0
45000473,암흑 덩어리 : 대확장,0,8000,8,0,"""radius"": 2600",,BP/BP_PTC_Collabo_Dark26m,0,0,,0
45000474,암흑 덩어리 : 대확장,0,8000,8,0,"""radius"": 2800",,BP/BP_PTC_Collabo_Dark28m,0,0,,0
45000475,암흑 덩어리 : 대확장,0,6000000,6000,0,"""radius"": 3000",,BP/BP_PTC_Collabo_Dark30m,0,0,,0
45000495,자폭,1200,1000,1,0,"""radius"": 400",,BP/BP_PTC_KetraOrcWarriorSkill_02,1,0,,0
45000449,종언,0,5000,20,0,"""radius"": 250",,BP/BP_PTC_Miroku01,1,0,,0
