笲M@9_aquiredId,AchievementGroupId,Type,GroupType,Name,Desc,TaskType,ItemAbilityId,CompleteNotifyType,TaskCount,AchievementIcon,EffectType,EffectParam,EffectType2,EffectParam2
210405,210404,2104,9,10,인내 특성 레벨 달성 (5단계),10레벨 인내 특성을 가진 투구를 수집하세요.,48,6,0,10,Icon_ItemAchievement_Ability_07,233,535,60,587
210501,,2105,9,10,인내 특성 투구 초월 (1단계),인내 특성을 가진 32레벨 초월 투구를 수집하세요.,47,6,0,32,Icon_ItemAchievement_01,102,67,101,39
210502,210501,2105,9,10,인내 특성 투구 초월 (2단계),인내 특성을 가진 34레벨 초월 투구를 수집하세요.,47,6,0,34,Icon_ItemAchievement_01,102,134,101,79
210503,210502,2105,9,10,인내 특성 투구 초월 (3단계),인내 특성을 가진 36레벨 초월 투구를 수집하세요.,47,6,0,36,Icon_ItemAchievement_01,102,227,101,134
210504,210503,2105,9,10,인내 특성 투구 초월 (4단계),인내 특성을 가진 38레벨 초월 투구를 수집하세요.,47,6,0,38,Icon_ItemAchievement_01,102,336,101,198
210505,210504,2105,9,10,인내 특성 투구 초월 (5단계),인내 특성을 가진 40레벨 초월 투구를 수집하세요.,47,6,0,40,Icon_ItemAchievement_01,102,517,101,305
220201,,2202,10,10,인내 특성 갑옷 레벨 (1단계),인내 특성을 가진 15레벨 SR등급 갑옷을 수집하세요.,49,6,0,15,Icon_ItemAchievement_Armor,26,87,58,44
220202,220201,2202,10,10,인내 특성 갑옷 레벨 (2단계),인내 특성을 가진 30레벨 SR등급 갑옷을 수집하세요.,49,6,0,30,Icon_ItemAchievement_Armor,26,174,58,88
220203,220202,2202,10,10,인내 특성 갑옷 레벨 (3단계),인내 특성을 가진 15레벨 UR등급 갑옷을 수집하세요.,49,6,0,15,Icon_ItemAchievement_Armor,26,296,58,149
220204,220203,2202,10,10,인내 특성 갑옷 레벨 (4단계),인내 특성을 가진 30레벨 UR등급 갑옷을 수집하세요.,49,6,0,30,Icon_ItemAchievement_Armor,26,437,58,221
220205,220204,2202,10,10,인내 특성 갑옷 레벨 (5단계),인내 특성을 가진 40레벨 UR등급 갑옷을 수집하세요.,49,6,0,40,Icon_ItemAchievement_Armor,26,673,58,340
220301,,2203,10,10,인내 특성 갑옷 강화 (1단계),인내 특성을 가진 +10강 갑옷을 수집하세요.,56,6,0,10,Icon_ItemAchievement_01,11,87,10,56
220302,220301,2203,10,10,인내 특성 갑옷 강화 (2단계),인내 특성을 가진 +15강 갑옷을 수집하세요.,56,6,0,15,Icon_ItemAchievement_01,11,174,10,113
220303,220302,2203,10,10,인내 특성 갑옷 강화 (3단계),인내 특성을 가진 +20강 갑옷을 수집하세요.,56,6,0,20,Icon_ItemAchievement_01,11,296,10,192
220304,220303,2203,10,10,인내 특성 갑옷 강화 (4단계),인내 특성을 가진 +25강 갑옷을 수집하세요.,56,6,0,25,Icon_ItemAchievement_01,11,437,10,284
220305,220304,2203,10,10,인내 특성 갑옷 강화 (5단계),인내 특성을 가진 +30강 갑옷을 수집하세요.,56,6,0,30,Icon_ItemAchievement_01,11,673,10,437
220401,,2204,10,10,인내 특성 레벨 달성 (1단계),2레벨 인내 특성을 가진 갑옷을 수집하세요.,48,6,0,2,Icon_ItemAchievement_Ability_07,233,69,60,76
220402,220401,2204,10,10,인내 특성 레벨 달성 (2단계),4레벨 인내 특성을 가진 갑옷을 수집하세요.,48,6,0,4,Icon_ItemAchievement_Ability_07,233,139,60,152
220403,220402,2204,10,10,인내 특성 레벨 달성 (3단계),6레벨 인내 특성을 가진 갑옷을 수집하세요.,48,6,0,6,Icon_ItemAchievement_Ability_07,233,235,60,258
220404,220403,2204,10,10,인내 특성 레벨 달성 (4단계),8레벨 인내 특성을 가진 갑옷을 수집하세요.,48,6,0,8,Icon_ItemAchievement_Ability_07,233,347,60,381
220405,220404,2204,10,10,인내 특성 레벨 달성 (5단계),10레벨 인내 특성을 가진 갑옷을 수집하세요.,48,6,0,10,Icon_ItemAchievement_Ability_07,233,535,60,587
220501,,2205,10,10,인내 특성 갑옷 초월 (1단계),인내 특성을 가진 32레벨 초월 갑옷을 수집하세요.,47,6,0,32,Icon_ItemAchievement_01,102,67,101,39
220502,220501,2205,10,10,인내 특성 갑옷 초월 (2단계),인내 특성을 가진 34레벨 초월 갑옷을 수집하세요.,47,6,0,34,Icon_ItemAchievement_01,102,134,101,79
220503,220502,2205,10,10,인내 특성 갑옷 초월 (3단계),인내 특성을 가진 36레벨 초월 갑옷을 수집하세요.,47,6,0,36,Icon_ItemAchievement_01,102,227,101,134
220504,220503,2205,10,10,인내 특성 갑옷 초월 (4단계),인내 특성을 가진 38레벨 초월 갑옷을 수집하세요.,47,6,0,38,Icon_ItemAchievement_01,102,336,101,198
220505,220504,2205,10,10,인내 특성 갑옷 초월 (5단계),인내 특성을 가진 40레벨 초월 갑옷을 수집하세요.,47,6,0,40,Icon_ItemAchievement_01,102,517,101,305
230201,,2302,11,10,인내 특성 장갑 레벨 (1단계),인내 특성을 가진 15레벨 SR등급 장갑을 수집하세요.,49,6,0,15,Icon_ItemAchievement_Gloves,26,87,58,44
230202,230201,2302,11,10,인내 특성 장갑 레벨 (2단계),인내 특성을 가진 30레벨 SR등급 장갑을 수집하세요.,49,6,0,30,Icon_ItemAchievement_Gloves,26,174,58,88
230203,230202,2302,11,10,인내 특성 장갑 레벨 (3단계),인내 특성을 가진 15레벨 UR등급 장갑을 수집하세요.,49,6,0,15,Icon_ItemAchievement_Gloves,26,296,58,149
230204,230203,2302,11,10,인내 특성 장갑 레벨 (4단계),인내 특성을 가진 30레벨 UR등급 장갑을 수집하세요.,49,6,0,30,Icon_ItemAchievement_Gloves,26,437,58,221
230205,230204,2302,11,10,인내 특성 장갑 레벨 (5단계),인내 특성을 가진 40레벨 UR등급 장갑을 수집하세요.,49,6,0,40,Icon_ItemAchievement_Gloves,26,673,58,340
230301,,2303,11,10,인내 특성 장갑 강화 (1단계),인내 특성을 가진 +10강 장갑을 수집하세요.,56,6,0,10,Icon_ItemAchievement_01,11,87,10,56
230302,230301,2303,11,10,인내 특성 장갑 강화 (2단계),인내 특성을 가진 +15강 장갑을 수집하세요.,56,6,0,15,Icon_ItemAchievement_01,11,174,10,113
230303,230302,2303,11,10,인내 특성 장갑 강화 (3단계),인내 특성을 가진 +20강 장갑을 수집하세요.,56,6,0,20,Icon_ItemAchievement_01,11,296,10,192
230304,230303,2303,11,10,인내 특성 장갑 강화 (4단계),인내 특성을 가진 +25강 장갑을 수집하세요.,56,6,0,25,Icon_ItemAchievement_01,11,437,10,284
230305,230304,2303,11,10,인내 특성 장갑 강화 (5단계),인내 특성을 가진 +30강 장갑을 수집하세요.,56,6,0,30,Icon_ItemAchievement_01,11,673,10,437
230401,,2304,11,10,인내 특성 레벨 달성 (1단계),2레벨 인내 특성을 가진 장갑을 수집하세요.,48,6,0,2,Icon_ItemAchievement_Ability_07,233,69,60,76
230402,230401,2304,11,10,인내 특성 레벨 달성 (2단계),4레벨 인내 특성을 가진 장갑을 수집하세요.,48,6,0,4,Icon_ItemAchievement_Ability_07,233,139,60,152
230403,230402,2304,11,10,인내 특성 레벨 달성 (3단계),6레벨 인내 특성을 가진 장갑을 수집하세요.,48,6,0,6,Icon_ItemAchievement_Ability_07,233,235,60,258
230404,230403,2304,11,10,인내 특성 레벨 달성 (4단계),8레벨 인내 특성을 가진 장갑을 수집하세요.,48,6,0,8,Icon_ItemAchievement_Ability_07,233,347,60,381
230405,230404,2304,11,10,인내 특성 레벨 달성 (5단계),10레벨 인내 특성을 가진 장갑을 수집하세요.,48,6,0,10,Icon_ItemAchievement_Ability_07,233,535,60,587
230501,,2305,11,10,인내 특성 장갑 초월 (1단계),인내 특성을 가진 32레벨 초월 장갑을 수집하세요.,47,6,0,32,Icon_ItemAchievement_01,102,67,101,39
230502,230501,2305,11,10,인내 특성 장갑 초월 (2단계),인내 특성을 가진 34레벨 초월 장갑을 수집하세요.,47,6,0,34,Icon_ItemAchievement_01,102,134,101,79
230503,230502,2305,11,10,인내 특성 장갑 초월 (3단계),인내 특성을 가진 36레벨 초월 장갑을 수집하세요.,47,6,0,36,Icon_ItemAchievement_01,102,227,101,134
230504,230503,2305,11,10,인내 특성 장갑 초월 (4단계),인내 특성을 가진 38레벨 초월 장갑을 수집하세요.,47,6,0,38,Icon_ItemAchievement_01,102,336,101,198
230505,230504,2305,11,10,인내 특성 장갑 초월 (5단계),인내 특성을 가진 40레벨 초월 장갑을 수집하세요.,47,6,0,40,Icon_ItemAchievement_01,102,517,101,305
240201,,2402,12,10,인내 특성 신발 레벨 (1단계),인내 특성을 가진 15레벨 SR등급 신발을 수집하세요.,49,6,0,15,Icon_ItemAchievement_Boots,26,87,58,44
240202,240201,2402,12,10,인내 특성 신발 레벨 (2단계),인내 특성을 가진 30레벨 SR등급 신발을 수집하세요.,49,6,0,30,Icon_ItemAchievement_Boots,26,174,58,88
240203,240202,2402,12,10,인내 특성 신발 레벨 (3단계),인내 특성을 가진 15레벨 UR등급 신발을 수집하세요.,49,6,0,15,Icon_ItemAchievement_Boots,26,296,58,149
240204,240203,2402,12,10,인내 특성 신발 레벨 (4단계),인내 특성을 가진 30레벨 UR등급 신발을 수집하세요.,49,6,0,30,Icon_ItemAchievement_Boots,26,437,58,221
240205,240204,2402,12,10,인내 특성 신발 레벨 (5단계),인내 특성을 가진 40레벨 UR등급 신발을 수집하세요.,49,6,0,40,Icon_ItemAchievement_Boots,26,673,58,340
240301,,2403,12,10,인내 특성 신발 강화 (1단계),인내 특성을 가진 +10강 신발을 수집하세요.,56,6,0,10,Icon_ItemAchievement_01,11,87,10,56
240302,240301,2403,12,10,인내 특성 신발 강화 (2단계),인내 특성을 가진 +15강 신발을 수집하세요.,56,6,0,15,Icon_ItemAchievement_01,11,174,10,113
240303,240302,2403,12,10,인내 특성 신발 강화 (3단계),인내 특성을 가진 +20강 신발을 수집하세요.,56,6,0,20,Icon_ItemAchievement_01,11,296,10,192
240304,240303,2403,12,10,인내 특성 신발 강화 (4단계),인내 특성을 가진 +25강 신발을 수집하세요.,56,6,0,25,Icon_ItemAchievement_01,11,437,10,284
240305,240304,2403,12,10,인내 특성 신발 강화 (5단계),인내 특성을 가진 +30강 신발을 수집하세요.,56,6,0,30,Icon_ItemAchievement_01,11,673,10,437
240401,,2404,12,10,인내 특성 레벨 달성 (1단계),2레벨 인내 특성을 가진 신발을 수집하세요.,48,6,0,2,Icon_ItemAchievement_Ability_07,233,69,60,76
240402,240401,2404,12,10,인내 특성 레벨 달성 (2단계),4레벨 인내 특성을 가진 신발을 수집하세요.,48,6,0,4,Icon_ItemAchievement_Ability_07,233,139,60,152
240403,240402,2404,12,10,인내 특성 레벨 달성 (3단계),6레벨 인내 특성을 가진 신발을 수집하세요.,48,6,0,6,Icon_ItemAchievement_Ability_07,233,235,60,258
240404,240403,2404,12,10,인내 특성 레벨 달성 (4단계),8레벨 인내 특성을 가진 신발을 수집하세요.,48,6,0,8,Icon_ItemAchievement_Ability_07,233,347,60,381
240405,240404,2404,12,10,인내 특성 레벨 달성 (5단계),10레벨 인내 특성을 가진 신발을 수집하세요.,48,6,0,10,Icon_ItemAchievement_Ability_07,233,535,60,587
240501,,2405,12,10,인내 특성 신발 초월 (1단계),인내 특성을 가진 32레벨 초월 신발을 수집하세요.,47,6,0,32,Icon_ItemAchievement_01,102,67,101,39
240502,240501,2405,12,10,인내 특성 신발 초월 (2단계),인내 특성을 가진 34레벨 초월 신발을 수집하세요.,47,6,0,34,Icon_ItemAchievement_01,102,134,101,79
240503,240502,2405,12,10,인내 특성 신발 초월 (3단계),인내 특성을 가진 36레벨 초월 신발을 수집하세요.,47,6,0,36,Icon_ItemAchievement_01,102,227,101,134
240504,240503,2405,12,10,인내 특성 신발 초월 (4단계),인내 특성을 가진 38레벨 초월 신발을 수집하세요.,47,6,0,38,Icon_ItemAchievement_01,102,336,101,198
240505,240504,2405,12,10,인내 특성 신발 초월 (5단계),인내 특성을 가진 40레벨 초월 신발을 수집하세요.,47,6,0,40,Icon_ItemAchievement_01,102,517,101,305
310201,,3102,9,11,가호 특성 투구 레벨 (1단계),가호 특성을 가진 15레벨 SR등급 투구를 수집하세요.,49,7,0,15,Icon_ItemAchievement_Helmet,26,87,58,44
310202,310201,3102,9,11,가호 특성 투구 레벨 (2단계),가호 특성을 가진 30레벨 SR등급 투구를 수집하세요.,49,7,0,30,Icon_ItemAchievement_Helmet,26,174,58,88
310203,310202,3102,9,11,가호 특성 투구 레벨 (3단계),가호 특성을 가진 15레벨 UR등급 투구를 수집하세요.,49,7,0,15,Icon_ItemAchievement_Helmet,26,296,58,149
310204,310203,3102,9,11,가호 특성 투구 레벨 (4단계),가호 특성을 가진 30레벨 UR등급 투구를 수집하세요.,49,7,0,30,Icon_ItemAchievement_Helmet,26,437,58,221
310205,310204,3102,9,11,가호 특성 투구 레벨 (5단계),가호 특성을 가진 40레벨 UR등급 투구를 수집하세요.,49,7,0,40,Icon_ItemAchievement_Helmet,26,673,58,340
310301,,3103,9,11,가호 특성 투구 강화 (1단계),가호 특성을 가진 +10강 투구를 수집하세요.,56,7,0,10,Icon_ItemAchievement_01,11,87,10,56
310302,310301,3103,9,11,가호 특성 투구 강화 (2단계),가호 특성을 가진 +15강 투구를 수집하세요.,56,7,0,15,Icon_ItemAchievement_01,11,174,10,113
310303,310302,3103,9,11,가호 특성 투구 강화 (3단계),가호 특성을 가진 +20강 투구를 수집하세요.,56,7,0,20,Icon_ItemAchievement_01,11,296,10,192
310304,310303,3103,9,11,가호 특성 투구 강화 (4단계),가호 특성을 가진 +25강 투구를 수집하세요.,56,7,0,25,Icon_ItemAchievement_01,11,437,10,284
310305,310304,3103,9,11,가호 특성 투구 강화 (5단계),가호 특성을 가진 +30강 투구를 수집하세요.,56,7,0,30,Icon_ItemAchievement_01,11,673,10,437
310401,,3104,9,11,가호 특성 레벨 달성 (1단계),2레벨 가호 특성을 가진 투구를 수집하세요.,48,7,0,2,Icon_ItemAchievement_Ability_08,233,69,60,76
310402,310401,3104,9,11,가호 특성 레벨 달성 (2단계),4레벨 가호 특성을 가진 투구를 수집하세요.,48,7,0,4,Icon_ItemAchievement_Ability_08,233,139,60,152
310403,310402,3104,9,11,가호 특성 레벨 달성 (3단계),6레벨 가호 특성을 가진 투구를 수집하세요.,48,7,0,6,Icon_ItemAchievement_Ability_08,233,235,60,258
310404,310403,3104,9,11,가호 특성 레벨 달성 (4단계),8레벨 가호 특성을 가진 투구를 수집하세요.,48,7,0,8,Icon_ItemAchievement_Ability_08,233,347,60,381
310405,310404,3104,9,11,가호 특성 레벨 달성 (5단계),10레벨 가호 특성을 가진 투구를 수집하세요.,48,7,0,10,Icon_ItemAchievement_Ability_08,233,535,60,587
310501,,3105,9,11,가호 특성 투구 초월 (1단계),가호 특성을 가진 32레벨 초월 투구를 수집하세요.,47,7,0,32,Icon_ItemAchievement_01,102,67,101,39
310502,310501,3105,9,11,가호 특성 투구 초월 (2단계),가호 특성을 가진 34레벨 초월 투구를 수집하세요.,47,7,0,34,Icon_ItemAchievement_01,102,134,101,79
310503,310502,3105,9,11,가호 특성 투구 초월 (3단계),가호 특성을 가진 36레벨 초월 투구를 수집하세요.,47,7,0,36,Icon_ItemAchievement_01,102,227,101,134
310504,310503,3105,9,11,가호 특성 투구 초월 (4단계),가호 특성을 가진 38레벨 초월 투구를 수집하세요.,47,7,0,38,Icon_ItemAchievement_01,102,336,101,198
310505,310504,3105,9,11,가호 특성 투구 초월 (5단계),가호 특성을 가진 40레벨 초월 투구를 수집하세요.,47,7,0,40,Icon_ItemAchievement_01,102,517,101,305
320201,,3202,10,11,가호 특성 갑옷 레벨 (1단계),가호 특성을 가진 15레벨 SR등급 갑옷을 수집하세요.,49,7,0,15,Icon_ItemAchievement_Armor,26,87,58,44
320202,320201,3202,10,11,가호 특성 갑옷 레벨 (2단계),가호 특성을 가진 30레벨 SR등급 갑옷을 수집하세요.,49,7,0,30,Icon_ItemAchievement_Armor,26,174,58,88
320203,320202,3202,10,11,가호 특성 갑옷 레벨 (3단계),가호 특성을 가진 15레벨 UR등급 갑옷을 수집하세요.,49,7,0,15,Icon_ItemAchievement_Armor,26,296,58,149
320204,320203,3202,10,11,가호 특성 갑옷 레벨 (4단계),가호 특성을 가진 30레벨 UR등급 갑옷을 수집하세요.,49,7,0,30,Icon_ItemAchievement_Armor,26,437,58,221
320205,320204,3202,10,11,가호 특성 갑옷 레벨 (5단계),가호 특성을 가진 40레벨 UR등급 갑옷을 수집하세요.,49,7,0,40,Icon_ItemAchievement_Armor,26,673,58,340
320301,,3203,10,11,가호 특성 갑옷 강화 (1단계),가호 특성을 가진 +10강 갑옷을 수집하세요.,56,7,0,10,Icon_ItemAchievement_01,11,87,10,56
320302,320301,3203,10,11,가호 특성 갑옷 강화 (2단계),가호 특성을 가진 +15강 갑옷을 수집하세요.,56,7,0,15,Icon_ItemAchievement_01,11,174,10,113
320303,320302,3203,10,11,가호 특성 갑옷 강화 (3단계),가호 특성을 가진 +20강 갑옷을 수집하세요.,56,7,0,20,Icon_ItemAchievement_01,11,296,10,192
320304,320303,3203,10,11,가호 특성 갑옷 강화 (4단계),가호 특성을 가진 +25강 갑옷을 수집하세요.,56,7,0,25,Icon_ItemAchievement_01,11,437,10,284
320305,320304,3203,10,11,가호 특성 갑옷 강화 (5단계),가호 특성을 가진 +30강 갑옷을 수집하세요.,56,7,0,30,Icon_ItemAchievement_01,11,673,10,437
320401,,3204,10,11,가호 특성 레벨 달성 (1단계),2레벨 가호 특성을 가진 갑옷을 수집하세요.,48,7,0,2,Icon_ItemAchievement_Ability_08,233,69,60,76
320402,320401,3204,10,11,가호 특성 레벨 달성 (2단계),4레벨 가호 특성을 가진 갑옷을 수집하세요.,48,7,0,4,Icon_ItemAchievement_Ability_08,233,139,60,152
320403,320402,3204,10,11,가호 특성 레벨 달성 (3단계),6레벨 가호 특성을 가진 갑옷을 수집하세요.,48,7,0,6,Icon_ItemAchievement_Ability_08,233,235,60,258
320404,320403,3204,10,11,가호 특성 레벨 달성 (4단계),8레벨 가호 특성을 가진 갑옷을 수집하세요.,48,7,0,8,Icon_ItemAchievement_Ability_08,233,347,60,381
320405,320404,3204,10,11,가호 특성 레벨 달성 (5단계),10레벨 가호 특성을 가진 갑옷을 수집하세요.,48,7,0,10,Icon_ItemAchievement_Ability_08,233,535,60,587
320501,,3205,10,11,가호 특성 갑옷 초월 (1단계),가호 특성을 가진 32레벨 초월 갑옷을 수집하세요.,47,7,0,32,Icon_ItemAchievement_01,102,67,101,39
320502,320501,3205,10,11,가호 특성 갑옷 초월 (2단계),가호 특성을 가진 34레벨 초월 갑옷을 수집하세요.,47,7,0,34,Icon_ItemAchievement_01,102,134,101,79
320503,320502,3205,10,11,가호 특성 갑옷 초월 (3단계),가호 특성을 가진 36레벨 초월 갑옷을 수집하세요.,47,7,0,36,Icon_ItemAchievement_01,102,227,101,134
320504,320503,3205,10,11,가호 특성 갑옷 초월 (4단계),가호 특성을 가진 38레벨 초월 갑옷을 수집하세요.,47,7,0,38,Icon_ItemAchievement_01,102,336,101,198
320505,320504,3205,10,11,가호 특성 갑옷 초월 (5단계),가호 특성을 가진 40레벨 초월 갑옷을 수집하세요.,47,7,0,40,Icon_ItemAchievement_01,102,517,101,305
330201,,3302,11,11,가호 특성 장갑 레벨 (1단계),가호 특성을 가진 15레벨 SR등급 장갑을 수집하세요.,49,7,0,15,Icon_ItemAchievement_Gloves,26,87,58,44
330202,330201,3302,11,11,가호 특성 장갑 레벨 (2단계),가호 특성을 가진 30레벨 SR등급 장갑을 수집하세요.,49,7,0,30,Icon_ItemAchievement_Gloves,26,174,58,88
330203,330202,3302,11,11,가호 특성 장갑 레벨 (3단계),가호 특성을 가진 15레벨 UR등급 장갑을 수집하세요.,49,7,0,15,Icon_ItemAchievement_Gloves,26,296,58,149
330204,330203,3302,11,11,가호 특성 장갑 레벨 (4단계),가호 특성을 가진 30레벨 UR등급 장갑을 수집하세요.,49,7,0,30,Icon_ItemAchievement_Gloves,26,437,58,221
330205,330204,3302,11,11,가호 특성 장갑 레벨 (5단계),가호 특성을 가진 40레벨 UR등급 장갑을 수집하세요.,49,7,0,40,Icon_ItemAchievement_Gloves,26,673,58,340
330301,,3303,11,11,가호 특성 장갑 강화 (1단계),가호 특성을 가진 +10강 장갑을 수집하세요.,56,7,0,10,Icon_ItemAchievement_01,11,87,10,56
330302,330301,3303,11,11,가호 특성 장갑 강화 (2단계),가호 특성을 가진 +15강 장갑을 수집하세요.,56,7,0,15,Icon_ItemAchievement_01,11,174,10,113
330303,330302,3303,11,11,가호 특성 장갑 강화 (3단계),가호 특성을 가진 +20강 장갑을 수집하세요.,56,7,0,20,Icon_ItemAchievement_01,11,296,10,192
330304,330303,3303,11,11,가호 특성 장갑 강화 (4단계),가호 특성을 가진 +25강 장갑을 수집하세요.,56,7,0,25,Icon_ItemAchievement_01,11,437,10,284
330305,330304,3303,11,11,가호 특성 장갑 강화 (5단계),가호 특성을 가진 +30강 장갑을 수집하세요.,56,7,0,30,Icon_ItemAchievement_01,11,673,10,437
330401,,3304,11,11,가호 특성 레벨 달성 (1단계),2레벨 가호 특성을 가진 장갑을 수집하세요.,48,7,0,2,Icon_ItemAchievement_Ability_08,233,69,60,76
330402,330401,3304,11,11,가호 특성 레벨 달성 (2단계),4레벨 가호 특성을 가진 장갑을 수집하세요.,48,7,0,4,Icon_ItemAchievement_Ability_08,233,139,60,152
330403,330402,3304,11,11,가호 특성 레벨 달성 (3단계),6레벨 가호 특성을 가진 장갑을 수집하세요.,48,7,0,6,Icon_ItemAchievement_Ability_08,233,235,60,258
330404,330403,3304,11,11,가호 특성 레벨 달성 (4단계),8레벨 가호 특성을 가진 장갑을 수집하세요.,48,7,0,8,Icon_ItemAchievement_Ability_08,233,347,60,381
330405,330404,3304,11,11,가호 특성 레벨 달성 (5단계),10레벨 가호 특성을 가진 장갑을 수집하세요.,48,7,0,10,Icon_ItemAchievement_Ability_08,233,535,60,587
330501,,3305,11,11,가호 특성 장갑 초월 (1단계),가호 특성을 가진 32레벨 초월 장갑을 수집하세요.,47,7,0,32,Icon_ItemAchievement_01,102,67,101,39
330502,330501,3305,11,11,가호 특성 장갑 초월 (2단계),가호 특성을 가진 34레벨 초월 장갑을 수집하세요.,47,7,0,34,Icon_ItemAchievement_01,102,134,101,79
330503,330502,3305,11,11,가호 특성 장갑 초월 (3단계),가호 특성을 가진 36레벨 초월 장갑을 수집하세요.,47,7,0,36,Icon_ItemAchievement_01,102,227,101,134
330504,330503,3305,11,11,가호 특성 장갑 초월 (4단계),가호 특성을 가진 38레벨 초월 장갑을 수집하세요.,47,7,0,38,Icon_ItemAchievement_01,102,336,101,198
330505,330504,3305,11,11,가호 특성 장갑 초월 (5단계),가호 특성을 가진 40레벨 초월 장갑을 수집하세요.,47,7,0,40,Icon_ItemAchievement_01,102,517,101,305
340201,,3402,12,11,가호 특성 신발 레벨 (1단계),가호 특성을 가진 15레벨 SR등급 신발을 수집하세요.,49,7,0,15,Icon_ItemAchievement_Boots,26,87,58,44
340202,340201,3402,12,11,가호 특성 신발 레벨 (2단계),가호 특성을 가진 30레벨 SR등급 신발을 수집하세요.,49,7,0,30,Icon_ItemAchievement_Boots,26,174,58,88
340203,340202,3402,12,11,가호 특성 신발 레벨 (3단계),가호 특성을 가진 15레벨 UR등급 신발을 수집하세요.,49,7,0,15,Icon_ItemAchievement_Boots,26,296,58,149
340204,340203,3402,12,11,가호 특성 신발 레벨 (4단계),가호 특성을 가진 30레벨 UR등급 신발을 수집하세요.,49,7,0,30,Icon_ItemAchievement_Boots,26,437,58,221
340205,340204,3402,12,11,가호 특성 신발 레벨 (5단계),가호 특성을 가진 40레벨 UR등급 신발을 수집하세요.,49,7,0,40,Icon_ItemAchievement_Boots,26,673,58,340
340301,,3403,12,11,가호 특성 신발 강화 (1단계),가호 특성을 가진 +10강 신발을 수집하세요.,56,7,0,10,Icon_ItemAchievement_01,11,87,10,56
340302,340301,3403,12,11,가호 특성 신발 강화 (2단계),가호 특성을 가진 +15강 신발을 수집하세요.,56,7,0,15,Icon_ItemAchievement_01,11,174,10,113
340303,340302,3403,12,11,가호 특성 신발 강화 (3단계),가호 특성을 가진 +20강 신발을 수집하세요.,56,7,0,20,Icon_ItemAchievement_01,11,296,10,192
340304,340303,3403,12,11,가호 특성 신발 강화 (4단계),가호 특성을 가진 +25강 신발을 수집하세요.,56,7,0,25,Icon_ItemAchievement_01,11,437,10,284
340305,340304,3403,12,11,가호 특성 신발 강화 (5단계),가호 특성을 가진 +30강 신발을 수집하세요.,56,7,0,30,Icon_ItemAchievement_01,11,673,10,437
340401,,3404,12,11,가호 특성 레벨 달성 (1단계),2레벨 가호 특성을 가진 신발을 수집하세요.,48,7,0,2,Icon_ItemAchievement_Ability_08,233,69,60,76
340402,340401,3404,12,11,가호 특성 레벨 달성 (2단계),4레벨 가호 특성을 가진 신발을 수집하세요.,48,7,0,4,Icon_ItemAchievement_Ability_08,233,139,60,152
340403,340402,3404,12,11,가호 특성 레벨 달성 (3단계),6레벨 가호 특성을 가진 신발을 수집하세요.,48,7,0,6,Icon_ItemAchievement_Ability_08,233,235,60,258
340404,340403,3404,12,11,가호 특성 레벨 달성 (4단계),8레벨 가호 특성을 가진 신발을 수집하세요.,48,7,0,8,Icon_ItemAchievement_Ability_08,233,347,60,381
340405,340404,3404,12,11,가호 특성 레벨 달성 (5단계),10레벨 가호 특성을 가진 신발을 수집하세요.,48,7,0,10,Icon_ItemAchievement_Ability_08,233,535,60,587
340501,,3405,12,11,가호 특성 신발 초월 (1단계),가호 특성을 가진 32레벨 초월 신발을 수집하세요.,47,7,0,32,Icon_ItemAchievement_01,102,67,101,39
340502,340501,3405,12,11,가호 특성 신발 초월 (2단계),가호 특성을 가진 34레벨 초월 신발을 수집하세요.,47,7,0,34,Icon_ItemAchievement_01,102,134,101,79
340503,340502,3405,12,11,가호 특성 신발 초월 (3단계),가호 특성을 가진 36레벨 초월 신발을 수집하세요.,47,7,0,36,Icon_ItemAchievement_01,102,227,101,134
340504,340503,3405,12,11,가호 특성 신발 초월 (4단계),가호 특성을 가진 38레벨 초월 신발을 수집하세요.,47,7,0,38,Icon_ItemAchievement_01,102,336,101,198
340505,340504,3405,12,11,가호 특성 신발 초월 (5단계),가호 특성을 가진 40레벨 초월 신발을 수집하세요.,47,7,0,40,Icon_ItemAchievement_01,102,517,101,305
410201,,4102,9,12,철벽 특성 투구 레벨 (1단계),철벽 특성을 가진 15레벨 SR등급 투구를 수집하세요.,49,8,0,15,Icon_ItemAchievement_Helmet,26,87,58,44
410202,410201,4102,9,12,철벽 특성 투구 레벨 (2단계),철벽 특성을 가진 30레벨 SR등급 투구를 수집하세요.,49,8,0,30,Icon_ItemAchievement_Helmet,26,174,58,88
410203,410202,4102,9,12,철벽 특성 투구 레벨 (3단계),철벽 특성을 가진 15레벨 UR등급 투구를 수집하세요.,49,8,0,15,Icon_ItemAchievement_Helmet,26,296,58,149
410204,410203,4102,9,12,철벽 특성 투구 레벨 (4단계),철벽 특성을 가진 30레벨 UR등급 투구를 수집하세요.,49,8,0,30,Icon_ItemAchievement_Helmet,26,437,58,221
410205,410204,4102,9,12,철벽 특성 투구 레벨 (5단계),철벽 특성을 가진 40레벨 UR등급 투구를 수집하세요.,49,8,0,40,Icon_ItemAchievement_Helmet,26,673,58,340
410301,,4103,9,12,철벽 특성 투구 강화 (1단계),철벽 특성을 가진 +10강 투구를 수집하세요.,56,8,0,10,Icon_ItemAchievement_01,11,87,10,56
