笲M@9_aquiredId,AchievementGroupId,Type,GroupType,TaskType,ItemAbilityId,CompleteNotifyType,TaskCount,AchievementIcon,EffectType,EffectParam,EffectType2,EffectParam2,ItemReward,ItemParam,ItemReward2,ItemParam2
520202,520201,815052020,10,5,255,17,0,16,Icon_ItemAchievement_Armor,58,252,246,,81000126,1,,
520203,520202,815052020,10,5,255,17,0,24,Icon_ItemAchievement_Armor,58,432,246,,,,,
520204,520203,815052020,10,5,255,17,0,32,Icon_ItemAchievement_Armor,58,432,246,,,,,
520205,520204,815052020,10,5,255,17,0,40,Icon_ItemAchievement_Armor,58,432,246,,,,,
520301,,815052030,10,5,56,17,0,10,Icon_ItemAchievement_01,58,252,246,,81000126,1,,
520302,520301,815052030,10,5,56,17,0,15,Icon_ItemAchievement_01,58,252,246,,81000126,1,,
520303,520302,815052030,10,5,56,17,0,20,Icon_ItemAchievement_01,58,432,246,,,,,
520304,520303,815052030,10,5,56,17,0,25,Icon_ItemAchievement_01,58,432,246,,,,,
520305,520304,815052030,10,5,56,17,0,30,Icon_ItemAchievement_01,58,432,246,,,,,
520401,,815052040,10,5,255,17,0,2,Icon_ItemAchievement_ Ability_10,58,252,246,,81000126,1,,
520402,520401,815052040,10,5,255,17,0,4,Icon_ItemAchievement_ Ability_10,58,252,246,,81000126,1,,
520403,520402,815052040,10,5,255,17,0,6,Icon_ItemAchievement_ Ability_10,58,432,246,,,,,
520404,520403,815052040,10,5,255,17,0,8,Icon_ItemAchievement_ Ability_10,58,432,246,,,,,
520405,520404,815052040,10,5,255,17,0,10,Icon_ItemAchievement_ Ability_10,58,432,246,,,,,
530201,,815053020,11,5,255,17,0,8,Icon_ItemAchievement_Gloves,102,154,246,,81000126,1,,
530202,530201,815053020,11,5,255,17,0,16,Icon_ItemAchievement_Gloves,102,154,246,,81000126,1,,
530203,530202,815053020,11,5,255,17,0,24,Icon_ItemAchievement_Gloves,102,264,246,,,,,
530204,530203,815053020,11,5,255,17,0,32,Icon_ItemAchievement_Gloves,102,264,246,,,,,
530205,530204,815053020,11,5,255,17,0,40,Icon_ItemAchievement_Gloves,102,264,246,,,,,
530301,,815053030,11,5,56,17,0,10,Icon_ItemAchievement_01,102,154,246,,81000126,1,,
530302,530301,815053030,11,5,56,17,0,15,Icon_ItemAchievement_01,102,154,246,,81000126,1,,
530303,530302,815053030,11,5,56,17,0,20,Icon_ItemAchievement_01,102,264,246,,,,,
530304,530303,815053030,11,5,56,17,0,25,Icon_ItemAchievement_01,102,264,246,,,,,
530305,530304,815053030,11,5,56,17,0,30,Icon_ItemAchievement_01,102,264,246,,,,,
530401,,815053040,11,5,255,17,0,2,Icon_ItemAchievement_ Ability_10,102,154,246,,81000126,1,,
530402,530401,815053040,11,5,255,17,0,4,Icon_ItemAchievement_ Ability_10,102,154,246,,81000126,1,,
530403,530402,815053040,11,5,255,17,0,6,Icon_ItemAchievement_ Ability_10,102,264,246,,,,,
530404,530403,815053040,11,5,255,17,0,8,Icon_ItemAchievement_ Ability_10,102,264,246,,,,,
530405,530404,815053040,11,5,255,17,0,10,Icon_ItemAchievement_ Ability_10,102,264,246,,,,,
540201,,815054020,12,5,255,17,0,8,Icon_ItemAchievement_Boots,11,126,246,,81000126,1,,
540202,540201,815054020,12,5,255,17,0,16,Icon_ItemAchievement_Boots,11,126,246,,81000126,1,,
540203,540202,815054020,12,5,255,17,0,24,Icon_ItemAchievement_Boots,11,216,246,,,,,
540204,540203,815054020,12,5,255,17,0,32,Icon_ItemAchievement_Boots,11,216,246,,,,,
540205,540204,815054020,12,5,255,17,0,40,Icon_ItemAchievement_Boots,11,216,246,,,,,
540301,,815054030,12,5,56,17,0,10,Icon_ItemAchievement_01,11,126,246,,81000126,1,,
540302,540301,815054030,12,5,56,17,0,15,Icon_ItemAchievement_01,11,126,246,,81000126,1,,
540303,540302,815054030,12,5,56,17,0,20,Icon_ItemAchievement_01,11,216,246,,,,,
540304,540303,815054030,12,5,56,17,0,25,Icon_ItemAchievement_01,11,216,246,,,,,
540305,540304,815054030,12,5,56,17,0,30,Icon_ItemAchievement_01,11,216,246,,,,,
540401,,815054040,12,5,255,17,0,2,Icon_ItemAchievement_ Ability_10,11,126,246,,81000126,1,,
540402,540401,815054040,12,5,255,17,0,4,Icon_ItemAchievement_ Ability_10,11,126,246,,81000126,1,,
540403,540402,815054040,12,5,255,17,0,6,Icon_ItemAchievement_ Ability_10,11,216,246,,,,,
540404,540403,815054040,12,5,255,17,0,8,Icon_ItemAchievement_ Ability_10,11,216,246,,,,,
540405,540404,815054040,12,5,255,17,0,10,Icon_ItemAchievement_ Ability_10,11,216,246,,,,,
