Id,KOValue,ENValue,TWValue,THValue
602,샙때끼,hoodrat,色友,fatso
603,샤앙녀,HOOKER,色情,fecalhead
604,샤앙놈,horney,色情靠,felacio
605,샹년,horniest,色情網站,felati0
606,샹노마,horny,色情服務,felatio
607,샹논,hornytauren,色情小電影,fellati0
608,샹놈,HOTBOJY,色情電影,fellatio
609,샹놈의새끼,hotcarl,生殖器,fiestamoney
610,샹놈의새리,hotdamn,生兒子沒屁眼  ,fingerfuck
611,샹놈의쌔리,hotsex,生鴉片,fingerfucked
612,샹뇬,HOTSEXKOREA,生孩子沒屁眼,fingerfucker
613,샹늠,hotslut,先奸後殺,fingerfucks
614,샹늠의새리,hymen,線上GM,fistfuck
615,샹늠의쌔리,IJSEX,線上客服,fistfucked
616,샹팔개년,Ilikelilboys,線上管理者,fistfucker
617,선오브비치,Ilovelilboys,性高潮,fistfuckers
618,성섹스,Ilovelilgirl,性交,fistfucking
619,세끼,ImPedoBear,性交靠,fistfuckings
620,섹걸,irapekids,性饑渴,fistfucks
621,섹골,itouchbois,性濫交,FK
622,섹귀,itouchboys,性免費電影,fock
623,섹기,itouchg!rls,性無能,fu c k
624,섹끼,itouchgirls,性病,fu ck
625,섹남,ituchg!rls,性生活,fu k
626,섹녀,ituchgirls,性愛,fu yuck
627,섹마,j3w,性欲,fu*k
628,섹보지,j3ww3r,成人區,fu...k
629,섹소리,jackass,成人圖片,fu.ck_u
630,섹수,jackoff,成人論壇,fu__________ck
631,섹슈,jack-off,成人漫畫,fuc k
632,섹쑤,japs,成人網站,fuc u
633,섹쓰,jennahaze,成人文學,Fuc.k
634,섹티쉬,jennajameson,成人小說,fuc|<
635,섹파트너,jerkoff,成人影視,fucayou
636,섹하자,jerk-off,成人電影,fucck
637,섹하장,jessicadee,成人片,fuccwitme
638,쇄대가리,Jewbacca,性虐,fucface
639,쇠대가리,JewButt,性虐待,fuchead
640,쇠대갈,jeweldenyle,小.*商,fuck
641,쇠대구빡,Jewer,小b,f-u-c-k
642,쇠데가리,JewMonster,騷B,f--uck
643,쇠데갈,Jewww,小gg,ＦＵＣＫ
644,쇠데구빡,JewYorker,小雞雞,fuck you
645,수간,Jew-Yorker,小龜蛋,fuck1n
646,쉐꺄,JFANTASY,小機機,fuck1ng
647,쉐끼,JGIRLS,消息,fuck1ngs
648,쉐팔,jillkelly,小乳頭,fuck1ngz
649,쉑끼,jiz,小肉粒,fuck3d
650,쉑스,jizm,小電影,fuck3r
651,쉬댕,jizz,騷逼,fuck3rs
652,쉬뎅,jizzing,小穴,fuckboy
653,쉬바,juliashton,小穴好癢,fuckcoons
654,쉬박,junglebunny,騷貨,fucked
655,쉬발,karadavis,騷徽,fuckedup
656,쉬방,kawk,售ID,fucker
657,쉬배,kike,獸交,fuckers
658,쉬밸,kikes,售軟體,fuckface
659,쉬벅,kikkityler,手淫,fuckgm
660,쉬벌,KINGSEX,水晶,fuckhead
661,쉬벙,kinky,售號,fuckhole
662,쉬벨,kkk,濕了,fuckin
663,쉬봉,klismaphilia,濕透的內褲,fucking
664,쉬부랄,klitori,視奸,fuckings
665,쉬불,knobend,視姦,fuckingyamom
666,쉬붕,knobhead,屎你娘,fuckinstoned
667,쉬브랄,knobjocky,屎妳娘,fuckm3
668,쉬브럴,knobjokey,新手指導,fuckman
669,쉬블,kock,新手指導員,fuckme
670,쉬빨,koon,新台幣,fuckmehard
671,쉬뻘,kooter,十八摸,fuckmonkey
672,쉬뿔,Kream,雙峰微顫,fuckmyass
673,쉬이발,krystalsteal,屙,fucknut
674,쉬이방,KSEX,我奸,fuckoff
675,쉬이벌,kuksuger,我幹,fuck-off
676,쉬이불,kummer,我靠,fuckpirate
677,쉬이붕,kumming,我咧幹,fucks
678,쉬이빨,kunilingus,我日,fuckshit
679,쉬이팔,kunt,我日你,fucku
680,쉬이펄,kunts,我操,fuckubitch
681,쉬이풀,kuntz,我操靠,fuckup
682,쉬파,kyke,我操你,fuckymamma
683,쉬팍,l3itch,我操妳,fuckyou
684,쉬팍아,lardass,鴉片,f-u-c-k-y-o-u
685,쉬팔,larryflynt,鴉片渣,fuckyoucock
686,쉬팡,lesb,鴉片液,fuckyoucunt
687,쉬퍼얼,lesbi,齷齪,fuckyougm
688,쉬펄,lesbian,安非他命,fuckyouii
689,쉽새,LESBIEN,顏射,fuckz
690,쉽색,lesbo,暗陰陽,fucxyou
691,쉽세,lessy,愛液,fucya
692,쉽섹,lezbian,愛滋,fucyou
693,쉽쉐,lezbo,愛滋病,fucyoubich
694,쉽쌕,lezzian,櫻井,fudgehole
695,쉽쎄,lezzie,夜勤病棟,fudgepack
696,쉽쎅,lingerie,祂瑪的,fugmpuke
697,쉽알,lipshits,夜情,fuhq
698,쉽쟁이,lipshitz,陽具,fuk
699,쉽창,littlearse,陽物,fukad
700,쉽탱구리,loloferrari,陽痿,fukaduck
701,쉽파,longdong,陽精,fukahire
702,쉽팍,longusdongus,睪,fukallyou
703,쉽팔,lubricant,睪丸,fukayouho
704,쉽펄,m0f0,藝莖,fukc
705,쉽할,m0fo,藝道,fukchop
706,쉽헐,m45terbate,藝門,fukdabitch
707,쉽활,ma5terb8,藝部,fukdabtch
708,쉿발,ma5terbate,藝水,fukead
709,쉿벌,marycarey,藝唇,fukedatbirth
710,쉿빨,masochist,藝蒂,fukedup
711,쉿뻘,masokist,藝核,fukedyomom
712,쉿팍,massterbait,藝穴,fukface
713,쉿팔,masstrbait,藝戶,fukfest
714,쉿펄,masstrbate,玉莖,fukhead
715,스너프,masterb8,哇是大懶巴,fukhole
716,스발,masterbaiter,哇是大懶趴,fukinbad
717,스팔,masterbat*,完蛋操,fukingfisher
718,스펄,masterbat3,王八蛋,fukinggayman
719,싀댈,masterbate,外掛,fukinggook
720,싀델,master-bate,外陰,fukingjap
721,싀뎅,masterbater,搖頭玩,fukingroovin
722,싀바라,masterbates,搖頭丸,fukinlag
723,싀발,masterbating,欲火焚身,fukinpimp
724,싀밸,masterbation,牛比,fukinrapist
725,싀벌,masterbations,牛逼,fukit
726,싀벨,masterbator,援交,fukjap
727,싀봉,mastorbate,援交妹,fukknut
728,싀봘,mastorbator,援妹  ,fukkyou
729,싀팍,masturbat*,遠程偷拍,fukme
730,싀팔,masturbate,援助交際,fukmegood
731,싀팤,masturbati,威而鋼,fukmerun
732,싀펄,masturbating,威而柔,fukmyass
733,싀퐐,masturbation,乳交,fuknclown
734,싑새,masturbator,幼交,fukndork
735,시뎅,Meat puppet,乳頭,fuknklown
736,시발,meatsword,有碼,fuknmonke
737,시밸,meatwad,乳房,fuknthief
738,시뱅,MeinAdolph,乳峰,fuknurmom
739,시뱅년,MeinKaumpf,遺精,fuknut
740,시뱔,methhead,乳波臀浪,fukoff
741,시버럴,methmonster,乳暈,fuks
742,시벌,mfucker,遊戲工作人員,fukslut
743,시벌존나,milf,遊戲工程師,fuksuckblow
744,시벨,minga,遊戲管理者,fukuall
745,시벵,minge,遊戲發獎員,fukualso
746,시볼,misogynist,肉棍,fukuashole
747,시봉,mof0,肉棍子,fukubiatch
748,시부랄,mo-fo,肉洞,fukubizzach
749,시부래미,Momphucker,肉壁,fukubyatch
750,시부럴,moneyshot,肉棒,fukuinyour
751,시불랑,monstercock,肉縫,fukup
752,시불헐,mooncricket,肉欲,fukuppl
753,시브랄,morningwood,肉穴,fukusima
754,시블,mothafuck,肉壺,fukusuk
755,시빨,mothafucka,淫,fukuup
756,시뺠,mothafuckas,陰莖   ,fukuusuck
757,시뿔,mothafuckaz,淫叫  ,fukyah
758,시앙년,mothafucked,陰囊,fukyallmofo
759,시이발,mothafucker,陰道,fukyermom
760,시이벌,mothafuckers,淫洞,fukyoass
761,시이불,mothafuckin,淫亂,fukyou
762,시이붕,mothafucking,淫魔  ,fukyouanddie
763,시이팔,mothafuckings,淫毛,fukyouus
764,시이펄,mothafucks,陰毛,fukz
765,시이풀,mothafuker,陰門,fumonkey
766,시입팔,mothafukkah,淫靡,funkynegro
767,시탈놈,mothafukker,淫婦,fuqbich
768,시팔,Mother Fucker,陰部,fuqbiotch
769,시팡,motherfuck,淫西,fuqew
770,시팰,motherfucked,陰小撕大,fuqfugu
771,시펄,motherfucker,淫水,fuqnut
772,시풀,mother-fucker,陰水,fuqoff
773,식펄년이,motherfuckers,淫水直流,fuqu
774,신음소리,motherfuckin,淫水賤貨,fuque
775,실밸,motherfucking,淫濕,furburg3r
776,심년아,motherfuckings,淫液,furburger
777,십8,motherfuckka,淫語連連,furburgers
778,십데꺄,motherfucks,淫穢,futhermucker
779,십때끼,motherfukah,淫娃  ,futtbuck
780,십땡구리,motherfuker,淫欲,fuvku
781,십땡그리,motherfukkah,淫汁,fuxjoo
782,십땡글이,motherfukker,陰唇,fuxkyou
783,십떼끼,Motherphucker,淫賤,fuxyou
784,십물,moulie,陰蒂,fyuocuk
785,십버지,mouliewop,淫蕩,G M
786,십볼,MRCONDOM,陰核  ,G.M
787,십부랄,MTHRFCKR,淫穴,G_M
788,십부럴,mudshark,陰戶,g00k
789,십블,muffdiver,淫貨,g0ddamn
790,십빡,muie,應招,g0nads
791,십빨,mulkku,意淫,gadoor
792,십뻘,MULYOSEX,二b,GameMaster
793,십뽈,munch3r,以莖至洞,GameMasters
794,십쁠,munchking,二屄,gangbang
795,십새리,munchqueen,二逼,gangbang3d
796,십색,muthafecker,人民幣,gangbanged
797,십셰리,muthafucker,人體炸彈,gangbangs
798,십쉐,muthafuckker,日X媽,gangbangz
799,십쌔,muthafukah,一貫道,gangrape
800,십쌔끼,muthafuker,日你,gayrape
801,십쌕,muthafukkah,一黨專政,gays3x
802,십쎄,muthafukker,一本道,gaysex
803,십쎅,mutherfucker,日死,gaywad
804,십우랄년아,mysupersales,日死你,gaz0ngers
805,십을년,n!gg3r,一夜情,gazongers
806,십자석,n!gger,日她,GM
807,십자슥,n@zi,日他,GM Online
808,십장이,n1gga,自瀆,goatfuck
809,십쟁이,n1gger,自焚,godammit
810,십지랄,n1gr,自殺手冊,godamnit
811,십질,n1pple,自殺指南,goddam
812,십창,natzi,自慰,goddamn
813,십탱,nazi,自製手槍,gonads
814,십텡,nazis,作愛,gook
815,십파,necrophil,雜交,guinn3
816,십팍,negro,雜種,h ee
817,십팔,negroid,裝屄,h.i.a
818,십팡넘아,negrolicious,裝逼,h00ker
819,십펄,negromancer,裝逼靠,h0m0
820,십헐,nickelbag,再奸,h0rniest
821,싯발,nicklebag,底褲,h0rny
822,싯벌,nigahh,她娘,h0tsex
823,싯볼,niger,她奶奶的,h3ll
824,싯빨,Nigg@,低能,hairyclamb
825,싯뻘,nigg3r,豬玀,hard0n
826,싯팔,nigg4h,她瑪的,hardc0resex
827,싰발,nigga,她馬的,hardcoresex
828,싰벌,niggah,她媽的,he e
829,싶발,niggas,豬毛,headcock
830,싶벌,niggaz,豬生狗養貓帶大,hee ban
831,싶빡,nigger,豬媳,heehak
832,싶빨,nigger*,她爺,hell
833,싶뻘,nigger;,豬容基,hitler
834,싶새,niggers,豬操,holy shit
835,싶세,Nigglet,的娘,homo
836,싶쉐,niggs,的爺,honkey
837,싶쌔,nigim,點數商,hooker
838,싶쎄,nigimi,程凱,horniest
839,싶알,niglet,情色,horny
840,싶질,nignog,精液,hots3x
841,싶창,nigs,精子,hotsex
842,싶팍,nigur;,程真,hughboobs
843,싶팔,niiger;,程鐵軍,hugherection
844,싶펄,niigr;,弟大勿勃,hughgass
845,싶할,nikkibenz,提示,hughgdlck
846,싶헐,nipple,操,hughgkoch
847,싸까쉬,nipples,肏,hughgrect
848,싸까시,nobhead,糙   ,hughgrekshon
849,싸까씨,nobjocky,操78,hughgrekshyn
850,싸까지,nobjokey,鳥GM,hughgshaft
851,싸까찌,NOPANTS,操ta,hussy
852,싸넘,nosecandy,操機掰,i .......sud.....
853,싸년,nude,操娘,i aon
854,싸놈,nudity,操尼,i hear
855,싸뇬,NUDLNUDE,操你,i heer
856,싸늠,numbnuts,操妳,i here
857,싸앙년,nunriggers,叼你,i hie
858,싸앙뉸,nutsack,操你娘,i hok
859,싸카시,nympho,操妳娘,i kajok
860,싸카씨,oface,懆您娘,i na hee
861,싹년,omgwtf,操你媽,i nar hee
862,싹바가지,onanism,操妳媽,i ne hee
863,싹박아지,ONECLLCKPAY,懆您媽,i sud
864,쌉쌕뀌,onkeltom,叼你媽,ihere
865,쌍넌,opium,操你媽的b,iloveboobs
866,쌍넘,ORALSEXTV,操你孃,isud
867,쌍년,orgasim,操妳孃,i-sud
868,쌍뇽,orgasim;,操你全家,j1sm
869,쌍뉸,orgasims,操妳全家,j1zm
870,쌍늠,orgasm,操你祖宗,j1zz
871,쌍보지,orgasms,操妳祖宗,j3sus
872,쌍부랄,orgasum,糙你祖宗,jack off
873,쌍연?,Orgee,操蛋,jack0ff
874,쌍통,orgie,操林,jack0ffz
875,쌔기,orgy,操媽,jackass
876,쌔꺄,p0rn,操媽b,jackazz
877,쌔끼,p3n1s,操比,jacking off
878,쌔키,p3nis,早洩,jacking0ff
879,쌕걸,packie,造愛,jackoff
880,쌕기,packy,操她,jack-off
881,쌕년,paki,操她媽,jackoffs
882,쌕수,pakie,粗制嗎啡,jaew
883,쌕스,paky,祖宗,jan rai
884,쌕쑤,panties,潮吹  ,jangrai
885,쌕쓰,papsmear,操他,japhate
886,쌩쇼,paska*,操他媽,japkill
887,쌩쑈,PawPawPAw,操逼,japkillerusa
888,쌩아,pecker,坐交,japz
889,쌰다마우쓰,peckertracks,坐莊,jeaw
890,쌰럽,peckerwood,坐台,jeddo
891,쌰앙,pederast,坐台的,jerk
892,쌰앙녀,pederasty,做愛,jerkoff
893,쌰앙년,PedoBaer,蠢蛋,jerk-off
894,쌰앙뇬,pedobear,蠢豬,jerkz
895,쌰앙뉸,PedoBears,中.*國.*狗,jesus
896,썅넌,pedophile,中.*國.*豬,jesus christ
897,썅년,Peedobear,中國豬,jesuschrist
898,썅악년,Peedomonster,中獎,jewbag
899,썅악여,peeenus,支那,jewboy
900,썅악연,peeenusss,指導,jewboynigger
901,썅앙년,peenus,指導員,jewishnazi
902,썅연,peinus,智障,jewishwhore
903,써발넘,pen!s,遲浩田,jigaboo
904,쎄기,pen1s,車侖,jigabu
905,쎄꺄,penis,車侖女干,jiggaboo
906,쎄끈,penis-breath,戳B,jiggabu
907,쎄끼,penisfucker,戳爆你的奶,jism
908,쎄엑,pennis,鑽石,jizm
909,쎄엑스,penthouse,娼,jizz
910,쎅기,penus,蔡陸軍,jun rai
911,쎅수,penuus,蔡崇國,k u a y
912,쎅스,pervert,菜逼,k0ck
913,쎅이,peternorth,處男,k0ckz
914,쎅히,phawk,處女,k0nd0m
915,쐉년,PHONESEC,處女膜,k0ndom
916,쐉뇬,phonesex,賤,k0ndums
917,쐐끼,PHONE색,賤B,k1ke
918,쐐대가리,PHONSEC,賤男人,kadoor
919,쐐대갈,PHONSEK,賤女人,kador
920,쐐대구빡,PhookDatHo,賤胚,kajok
921,쐐데가리,phuc,賤比,kike
922,쐐데갈,phuck,賤人,kn0b
923,쑤댕,Phuckdaho,天天幹,kraut
924,쑤발,Phuckdathoe,賤畜,kumm1ng
925,쑤벌,Phucker,賤逼,kumm3r
926,쑤팔,phugface,賤貨  ,kums
927,쑤팡,phuk,賤徽,kumz
928,쑤펄,phuked,舔,kun1lingus
929,쒜끼,phuker,舔你的大雞巴  ,kunilingus
930,쒜뒈가리,phuking,舔你的大懶巴,kuy
931,쒝스,phukked,舔我雞巴,kv y
932,쒸댕,phukker,屌,kyke
933,쒸바,phukking,肖強,kวย
934,쒸박,phuks,屌鳩,l0s3r
935,쒸발,phuq,招妓,l0ser
936,쒸방,pierdol*,草你,l3sbian
937,쒸배,pigfucker,屌妳,l3sbo
938,쒸밸넘아,pikajew,草泥馬,layam
939,쒸버,pillowbiter,草你媽,lesbian
940,쒸벌,pillu*,草你媽靠,lesbo
941,쒸벨,pimmel,草媽,lickalotpuss
942,쒸봘,pimp,屌毛,lickatit
943,쒸부랄,pimper,屌西,lickball
944,쒸부럴,pimpis,草擬媽,lickemball
945,쒸불,pinktaco,草的你媽,lickitgood
946,쒸붕,piss,草枝擺,lickithard
947,쒸뷰랄,piss*,催情藥,lickityoufuc
948,쒸뷰럴,pissed,抽你丫的,lickmebalz
949,쒸블,pissedoff,抽插,lickmecock
950,쒸빨,pisser,畜牲狗養貓帶大,lickmyanus
951,쒸알,pissers,春藥,lickmyass
952,쒸앙,pisses,出售假幣,lickmyball
953,쒸양,pissflaps,出售手槍,lickmycock
954,쒸이발,pissin,出售神符,lickmycrack
955,쒸이방,pissing,出售帳號,lickmycrotch
956,쒸이벌,pissoff,出售此號,lickmynad
957,쒸이불,playboy,出售槍支,lickmynut
958,쒸이붕,PLAYBOZI,臭雞,lickmyownpee
959,쒸이빨,playgirl,臭雞掰,lickmysack
960,쒸이팔,PLEYBOG,臭雞巴,lickmywetbox
961,쒸이펄,PLEYBOY,臭雞疤,likmekok
962,쒸이풀,polac,臭機,likmiclit
963,쒸팍,polack,臭機八,likmybut
964,쒸팔,polak,臭吉擺,lust1ng
965,쒸팡색기,polesmok,吹喇叭,m0th3rfuck
966,쒸팡색끼,polesmokers,臭西,m0thafuck
967,쒸펄,pollock,吹簫,m0thafuck3r
968,쒸퐉,pommespapst,吹蕭,m0thafucka
969,쒸퐐넘,poohstab,就是要幹你,m0thafuckas
970,쒸퐐놈,poomaster,就是欠幹,m0thafuckaz
971,쒸풀,poonani,臭作,m0thafucked
972,쓉창,poonjuice,致幻劑,m0thafuckerz
973,쓋,poontang,他ㄇ的,m0thafuckin
974,쓰바새끼,poontsee,他幹,m0thafucking
975,쓰바할,poopeater,他娘,m0thafuckz
976,쓰방쉐,poopmunch,他奶娘的,m0therfuck
977,쓰밸,poostab,他奶奶,m0therfuck1n
978,쓰버럴,popasquat,他媽,m0therfuck3r
979,쓰벌,popobumser,他媽個逼,m0therfucked
980,쓰벨,poppa!squat,他瑪的,m0therfucks
981,쓰벵,poppasquat,他馬的,m0und
982,쓰봉,porchmonk,他媽的,m1ck
983,쓰봉쉐,porn,它瑪的,m3rde
984,쓰부랄,PORNER,牠瑪的,mae yed
985,쓰불,porno,他媽的智障,maeyet
986,쓰붕,PORNOBOZI,他媽的逼,mamungtay
987,쓰뷀,pornography,他命,mang yed
988,쓰브랄,PORNOMANA,打手槍,masterbate
989,쓰블,PORNOPLAYBOY,他爺,masturbate
990,쓰븡,pornos,駝八蛋,mather you dead
991,쓰빌,PORNSEX,打炮,mea mung
992,쓰빨,pornstar,蕩婦,merde
993,쓰뻘,powerfuck,台幣,meung
994,쓰알,Powerfuckgirls,土共,mick
995,쓰으발,pr0n,兔崽子,mmogoldstore
996,쓰으벌,pr1c,捅你,moelester
997,쓰으블,pr1ck,捅你的大雞巴,mofiesta
998,쓰으팔,pr1k,投毒殺人,Moron
999,쓰으펄,prebubescent,破處,mothafuck
1000,쓰파,prepubescent,破鞋,mothafucka
1001,쓰팔,priapism,貝哥哥,mothafuckas
1002,쓰팡,prostituta,貝戈戈,mothafuckaz
1003,쓰펄,prostitute,姘頭,mothafucked
1004,쓰퐈,pu$$y,炮友  ,mothafucker
1005,씁벌,pube,包皮,mothafuckers
1006,씁새,pubic,嫖,mothafuckin
1007,씁색,pubis,婊,mothafucking
1008,씁세,pudendum,嫖客,mothafucks
1009,씁쉐,punkass,婊子,mother dead
1010,씁쌕,pusse,嫖娼,mother die
1011,씁쎅,pussee,逼,mother died
1012,씁쒜,pussi,逼你老母,mother fucker
1013,씁아,pussies,逼毛,mother ming dead ror
1014,씁얼,pussy,逼央,mother u dead
1015,씁창,pussyfart,逼樣,mother u die
1016,씁탱,pussylick,下流,mother you dead
1017,씁헐,pussys,下三爛,mother you died
1018,씌댕,pussystomp,下賤,motherdie
1019,씌바,quaaludes,下體,motherfuck
1020,씌박,quadoushka,涵嵐嬌,motherfucked
1021,씌발,queef,哈批,motherfucker
1022,씌방,queef*,嗑藥,motherfuckin
1023,씌배,queer,肛,motherfucks
1024,씌밸,queers,肛交,mueng
1025,씌벌,queerz,肛門,muff
1026,씌벙,qweef,港幣,mung
1027,씌벨,qweers,海洛因,mutherfock
1028,씌불,qweerz,行房,mycock
1029,씌빌,qweir,歇逼,mydick
1030,씌빨,r@p3r,血逼,n1gger
1031,씌뻘,r@pe,邢錚,n1ggers
1032,씌앙,raghead,好想被幹,n3rd
1033,씌양,randywest,昏藥,na hee
1034,씌파,rasperrymunch,紅寶石,na hree
1035,씌팍,rasphberrymuncher,換妻,naa hee
1036,씌팔,REALXX,活動,nahee
1037,씌팡,rebeccalord,黃寶石,nazi
1038,씌펄,rebeccaporn,黃色靠,nazijewraper
1039,씌퐈,recktum,黃色圖片,naziskinhead
1040,씌퐐,rectum,黃色漫畫,Netmarble
1041,씌퐝,reich,黃色網站,niga
1042,씝,reneelarue,黃色文學,nigahbytch
1043,씝창,resbian,黃色小說,nigaretto
1044,씨8,retard,黃色小電影,nigatrash
1045,씨가랭넘,richthofen,黃色影視,nigazbiotch
1046,씨가랭년,rimjaw,黃色電影,nigbeater
1047,씨가랭놈,rimjob,獲獎,nigerbeater
1048,씨다바리,rugmunch,胸罩,nigerman
1049,씨달,rumprang,吃大便,nigga
1050,씨댕,RUNSEX,吃屎,niggaboo
1051,씨댕년,rustytrumpet,欠幹,niggafag
1052,씨댕이,ryanconner,欠幹大雞掰,niggah
1053,씨뎅,ryanwagner,欠幹喔,nigge
1054,씨바,s e x,欠騎,nigger
1055,씨바랄,S EX,欠人騎,niggers
1056,씨바새끼,s.o.b.,欠操,nigghaz
1057,씨바알,s_h_i_t,吸你的蛋蛋,niggher
1058,씨박,sacofricosis,吸你的屌,niggkilla
1059,씨발,sadist,吸毒,niggor
1060,씨밟,sadomaso,吸我的屌,niggrian
1061,씨방세,saladtosser,,nigguh
1062,씨방쉐,sanchezeater,,niggurs
1063,씨방아,sanchezmuncher,,nigiro
1064,씨배랄,sandnigger,,niglet
1065,씨밸,sandninja,,nigletbard
1066,씨뱅,sandydolphin,,nigletmaster
1067,씨뱅가리,sarastjames,,nigore
1068,씨뱅이,Sausage Jockey,,nigrkill
1069,씨뱔,sc@t,,nigromance
1070,씨버럴,scank,,nigz
1071,씨벌,scatology,,nipalicious
1072,씨베랄,scheiss*,,nipple
1073,씨베렐,schlong,,nipplelicker
1074,씨벨,schmuck,,OFFICIAL
1075,씨벵,scroat,,okaygoods
1076,씨보지,scrote,,online gm
1077,씨볼,scrotum,,oosale
1078,씨봉,selenasteele,,orgasim
1079,씨봉알,sex,,orgasims
1080,씨봘,sexmachine,,orgasm
1081,씨부댕,sexy,,orgasms
1082,씨부랄,sexylilgirl,,p0rn
1083,씨부랠,seymorebutts,,p0rn0
1084,씨부럴,sh!+,,p0rn0z
1085,씨부렁,sh!t,,p0rno
1086,씨부롤,sh!t*,,p0rnography
1087,씨부리,sh!tfaced,,p0rnos
1088,씨부얼,sh1t,,p1mp
1089,씨불,sh1ter,,p1ss
1090,씨붕,sh1ts,,p1ss0ff
1091,씨브랄,sh1tter,,p1ssed
1092,씨브럴,sh1tz,,p1sser
1093,씨브룰,shagger,,p1ssers
1094,씨블,shaggin,,p1sses
1095,씨븡새끼,shagging,,p1ssin
1096,씨비랄,sheethead,,p1ssoff
1097,씨빠,shemale,,p3cker
1098,씨빡,sherriangel,,p3nis
1099,씨빨,shi+,,pecker
1100,씨뺄뇬아,shit,,pen1s
1101,씨뺠,shitdick,,penis
1102,씨뽀랄,shite,,pennis
1103,씨뽈,shited,,ph0nesex
1104,씨뿔,shitey,,phonesex
1105,씨쁠,shitface,,phons3x
1106,씨섹끼,shitfaced,,phuck3d
1107,씨앙,shitfuck,,phuk
1108,씨이발,shitfull,,phuk1ng
1109,씨이방,shithead,,phuked
1110,씨이뱅,shiting,,phuking
1111,씨이벌,shitings,,phukk1ng
1112,씨이붕,shits,,phukk3d
1113,씨이블,shitted,,phukked
1114,씨이빨,shitter,,phukking
1115,씨이팔,shitters,,phuks
1116,씨이펄,shitting,,phukz
1117,씨이풀,shittings,,phuq
1118,씨입쉐,shitty,,pinktaco
1119,씨입팔,shity,,piss
1120,씨입할,shitz,,piss off
1121,씨창,shiz,,pissed
1122,씨탱,shiznit,,pisser
1123,씨텡,shizzle,,pissers
1124,씨파,shlong,,pisses
1125,씨팔,shmegma,,pissin
1126,씨팝,shortbus,,pissing
1127,씨펄,shyt,,pissoff
1128,씨폴,shyte,,po mung die
1129,씨퐈,shytty,,po mung tai
1130,씨할,shyty,,pootang
1131,씨활,SIBALNYUN,,por dead
1132,씹8,si파,,por die
1133,씹구멍,skanck,,por meung tai
1134,씹까,skank,,por mueng
1135,씹년,skankee,,por mueng ror
1136,씹념이,skankey,,por mun die ror
1137,씹닥,skanks,,por mun try
1138,씹딱,skanky,,por mung
1139,씹땡구리,skeet,,por tai
1140,씹땡그리,skeetskeet,,por u die
1141,씹만한,skinbat,,por u tai
1142,씹물,skunkweed,,por you tai
1143,씹미랄,slamhound,,pormung
1144,씹발,slut,,porn
1145,씹버지,slutmuffin,,porn0
1146,씹벌,sluts,,porno
1147,씹보지,slutty,,pornography
1148,씹볼뇬,slutz,,pornos
1149,씹부랄,smegma,,potah
1150,씹브랄,Socket Face,,pr0stitute
1151,씹빨,sodomi,,pr1ck
1152,씹빵구,sodomize,,pr1cks
1153,씹뻘,sodomy,,pr1ckz
1154,씹뽀지,son-of-a-bitch,,prick
1155,씹뿔,SORASEX,,pricks
1156,씹쁠,SOSSEX,,prostitute
1157,씹새,spanishfly,,punk
1158,씹색,speculum,,punkass
1159,씹세,sperm,,puss1es
1160,씹세리,sphencter,,pussi
1161,씹섹,sphincter,,pussie
1162,씹숑,spick,,pussies
1163,씹쉐,spics,,pussis
1164,씹쌔,spierdalaj,,pussy
1165,씹쌕,sploog,,pussyhole
1166,씹아,splooge,,pussylick
1167,씹알,spluge,,pussylip
1168,씹어,spreadeagle,,pussypound
1169,씹얼,spreadmylegs,,pussys
1170,씹울알,Squrtin,,puta
1171,씹을년,Squrtn,,putanginamo
1172,씹자석,SqurtnWeasel,,pyropussy
1173,씹자슥,SRILANKASEX,,qu33r
1174,씹자식,stfu,,quai
1175,씹자지,stiffy,,queer
1176,씹장이,strapon,,r3tard
1177,씹쟁이,stripper,,ra yam
1178,씹젖,sudaca,,raghead
1179,씹좆,suicide,,rape
1180,씹좇,sukkitdown,,rapeme
1181,씹쥘,suppuku,,rayam
1182,씹지랄,swastika,,rectalprobe
1183,씹질,swiftnuggs,,rectum
1184,씹창,swingers,,retard
1185,씹텡,SYLIVASAINT,,s h i t
1186,씹팔,sylviasaint,,s H it
1187,씹퍼년,t!ts,,s hit
1188,씹펄년아,t1t,,s u c k
1189,씹할,t1tt1e5,,s ud
1190,씹헐,t1tties,,saad
1191,씹활,Tacoeater,,sadnarok
1192,씻발,Tacoeater ,,schit
1193,씻밸,Tacomuncher,,schithead
1194,씻벨,TacoN!ggah,,schitngrin
1195,씻볼,tampon,,schitzngrin
1196,씻불,tardpopsicle,,schl0ng
1197,씻빨,teabagging,,schlong
1198,씻뻘,teets,,scr3w
1199,씻뽈,Teety,,screw
1200,씻뿔,Teetybear,,scrotum
1201,씻탱구리,Teetymunch,,SEGA
1202,씻팔,testical,,semen
1203,씻팡,testicle,,sh!t
1204,씻펄,testicle*,,sh1t
1205,씻펑,thickbush,,sh1ted
1206,앂,throbknobbin,,sh1tfull
1207,앂빨,thsale,,sh1th3ad
1208,앂팔,thunderfuck,,sh1ting
1209,ㅇㄱㅇ,Tiddy,,sh1tings
1210,ㅇㅈ,tinytits,,sh1ts
1211,아갈,tirdburglar,,sh1tt3r
1212,아괄,titfuck,,sh1tted
1213,아씨발,titnass,,sh1tter
1214,아씨팔젖같네,tits,,sh1tters
