ItemType,ItemGrade,EquipmentType,Level,TotalExpForNextLevel,ProvidingExp,RequiredAdena,EffectIncreaseRate
Equipment,A,Armor,22,5500,4094,36800,7350
Equipment,A,Armor,23,5750,4258,38300,7700
Equipment,A,Armor,24,6000,4421,39800,8050
Equipment,A,Armor,25,6250,4585,41300,8400
Equipment,A,Armor,26,6500,4749,42700,8750
Equipment,A,Armor,27,6750,4913,44200,9100
Equipment,A,Armor,28,7000,5076,45700,9450
Equipment,A,Armor,29,7250,5240,47200,9800
Equipment,A,Armor,30,7500,5404,48600,10150
Equipment,S,Armor,1,630,1820,15500,0
Equipment,S,Armor,2,1260,2275,19300,300
Equipment,S,Armor,3,1890,2730,23200,600
Equipment,S,Armor,4,2520,3185,27100,900
Equipment,S,Armor,5,3150,3640,30900,1200
Equipment,S,Armor,6,3780,4095,34800,1500
Equipment,S,Armor,7,4410,4550,38700,1800
Equipment,S,Armor,8,5040,5005,42500,2100
Equipment,S,Armor,9,5670,5460,46400,2400
Equipment,S,Armor,10,6300,5915,50300,2700
Equipment,S,Armor,11,6930,6370,54100,3000
Equipment,S,Armor,12,7560,6825,58000,3300
Equipment,S,Armor,13,8190,7280,61900,3600
Equipment,S,Armor,14,8820,7735,65700,3900
Equipment,S,Armor,15,9450,8190,69600,4200
Equipment,S,Armor,16,10080,8645,73500,4500
Equipment,S,Armor,17,10710,9100,77400,4800
Equipment,S,Armor,18,11340,9555,81200,5100
Equipment,S,Armor,19,11970,10010,85100,5400
Equipment,S,Armor,20,12600,10465,89000,5700
Equipment,S,Armor,21,13230,10920,92800,6000
Equipment,S,Armor,22,13860,11375,96700,6300
Equipment,S,Armor,23,14490,11830,100600,6600
Equipment,S,Armor,24,15120,12285,104400,6900
Equipment,S,Armor,25,15750,12740,108300,7200
Equipment,S,Armor,26,16380,13195,112200,7500
Equipment,S,Armor,27,17010,13650,116000,7800
Equipment,S,Armor,28,17640,14105,119900,8100
Equipment,S,Armor,29,18270,14560,123800,8400
Equipment,S,Armor,30,18900,15015,127600,8700
Equipment,R,Armor,1,1580,4724,37800,0
Equipment,R,Armor,2,3160,5905,47200,250
Equipment,R,Armor,3,4740,7086,56700,500
Equipment,R,Armor,4,6320,8267,66100,750
Equipment,R,Armor,5,7900,9448,75600,1000
Equipment,R,Armor,6,9480,10629,85000,1250
Equipment,R,Armor,7,11060,11810,94500,1500
Equipment,R,Armor,8,12640,12991,103900,1750
Equipment,R,Armor,9,14220,14172,113400,2000
Equipment,R,Armor,10,15800,15353,122800,2250
Equipment,R,Armor,11,17380,16534,132300,2500
Equipment,R,Armor,12,18960,17715,141700,2750
Equipment,R,Armor,13,20540,18896,151200,3000
Equipment,R,Armor,14,22120,20077,160600,3250
Equipment,R,Armor,15,23700,21258,170100,3500
Equipment,R,Armor,16,25280,22439,179500,3750
Equipment,R,Armor,17,26860,23620,189000,4000
Equipment,R,Armor,18,28440,24801,198400,4250
Equipment,R,Armor,19,30020,25982,207900,4500
Equipment,R,Armor,20,31600,27163,217300,4750
Equipment,R,Armor,21,33180,28344,226800,5000
Equipment,R,Armor,22,34760,29525,236200,5250
Equipment,R,Armor,23,36340,30706,245600,5500
Equipment,R,Armor,24,37920,31887,255100,5750
Equipment,R,Armor,25,39500,33068,264500,6000
Equipment,R,Armor,26,41080,34249,274000,6250
Equipment,R,Armor,27,42660,35430,283400,6500
Equipment,R,Armor,28,44240,36611,292900,6750
Equipment,R,Armor,29,45820,37792,302300,7000
Equipment,R,Armor,30,47400,38973,311800,7250
Equipment,SR,Armor,1,3950,12205,91500,0
Equipment,SR,Armor,2,7900,15256,114400,200
Equipment,SR,Armor,3,11850,18308,137300,400
Equipment,SR,Armor,4,15800,21359,160200,600
Equipment,SR,Armor,5,19750,24410,183100,800
Equipment,SR,Armor,6,23700,27461,206000,1000
Equipment,SR,Armor,7,27650,30513,228800,1200
Equipment,SR,Armor,8,31600,33564,251700,1400
Equipment,SR,Armor,9,35550,36615,274600,1600
Equipment,SR,Armor,10,39500,39666,297500,1800
Equipment,SR,Armor,11,43450,42718,320400,2000
Equipment,SR,Armor,12,47400,45769,343300,2200
Equipment,SR,Armor,13,51350,48820,366200,2400
Equipment,SR,Armor,14,55300,51871,389000,2600
Equipment,SR,Armor,15,59250,54923,411900,2800
Equipment,SR,Armor,16,63200,57974,434800,3000
Equipment,SR,Armor,17,67150,61025,457700,3200
Equipment,SR,Armor,18,71100,64076,480600,3400
Equipment,SR,Armor,19,75050,67128,503500,3600
Equipment,SR,Armor,20,79000,70179,526300,3800
Equipment,SR,Armor,21,82950,73230,549200,4000
Equipment,SR,Armor,22,86900,76281,572100,4200
Equipment,SR,Armor,23,90850,79333,595000,4400
Equipment,SR,Armor,24,94800,82384,617900,4600
Equipment,SR,Armor,25,98750,85435,640800,4800
Equipment,SR,Armor,26,102700,88486,663600,5000
Equipment,SR,Armor,27,106650,91538,686500,5200
Equipment,SR,Armor,28,110600,94589,709400,5400
Equipment,SR,Armor,29,114550,97640,732300,5600
Equipment,SR,Armor,30,118500,100691,755200,5800
Equipment,SR,Armor,31,122450,103743,778100,6300
Equipment,SR,Armor,32,126400,106794,801000,6800
Equipment,SR,Armor,33,130350,109845,823800,7300
Equipment,SR,Armor,34,134300,112896,846700,7800
Equipment,SR,Armor,35,138250,115948,869600,8300
Equipment,SR,Armor,36,142200,118999,892500,8800
Equipment,SR,Armor,37,146150,122050,915400,9300
Equipment,SR,Armor,38,150100,125101,938300,9800
Equipment,SR,Armor,39,154050,128153,961100,10300
Equipment,SR,Armor,40,158000,131204,984000,10800
Equipment,UR,Armor,1,6720,21436,150100,0
Equipment,UR,Armor,2,13440,26795,187600,100
Equipment,UR,Armor,3,20160,32154,225100,200
Equipment,UR,Armor,4,26880,37513,262600,300
Equipment,UR,Armor,5,33600,42872,300100,400
Equipment,UR,Armor,6,40320,48231,337600,500
Equipment,UR,Armor,7,47040,53590,375100,600
Equipment,UR,Armor,8,53760,58949,412600,700
Equipment,UR,Armor,9,60480,64308,450200,800
Equipment,UR,Armor,10,67200,69667,487700,900
Equipment,UR,Armor,11,73920,75026,525200,1000
Equipment,UR,Armor,12,80640,80385,562700,1100
Equipment,UR,Armor,13,87360,85744,600200,1200
Equipment,UR,Armor,14,94080,91103,637700,1300
Equipment,UR,Armor,15,100800,96462,675200,1400
Equipment,UR,Armor,16,107520,101821,712700,1500
Equipment,UR,Armor,17,114240,107180,750300,1600
Equipment,UR,Armor,18,120960,112539,787800,1700
Equipment,UR,Armor,19,127680,117898,825300,1800
Equipment,UR,Armor,20,134400,123257,862800,1900
Equipment,UR,Armor,21,141120,128616,900300,2000
Equipment,UR,Armor,22,147840,133975,937800,2100
Equipment,UR,Armor,23,154560,139334,975300,2200
Equipment,UR,Armor,24,161280,144693,1012900,2300
Equipment,UR,Armor,25,168000,150052,1050400,2400
Equipment,UR,Armor,26,174720,155411,1087900,2500
Equipment,UR,Armor,27,181440,160770,1125400,2600
Equipment,UR,Armor,28,188160,166129,1162900,2700
Equipment,UR,Armor,29,194880,171488,1200400,2800
Equipment,UR,Armor,30,201600,176847,1237900,2900
Equipment,UR,Armor,31,208320,182206,1275400,3150
Equipment,UR,Armor,32,215040,187565,1313000,3400
Equipment,UR,Armor,33,221760,192924,1350500,3650
Equipment,UR,Armor,34,228480,198283,1388000,3900
Equipment,UR,Armor,35,235200,203642,1425500,4150
Equipment,UR,Armor,36,241920,209001,1463000,4400
Equipment,UR,Armor,37,248640,214360,1500500,4650
Equipment,UR,Armor,38,255360,219719,1538000,4900
Equipment,UR,Armor,39,262080,225078,1575500,5150
Equipment,UR,Armor,40,268800,230437,1613100,5400
Equipment,C,Gloves,1,40,70,700,0
Equipment,C,Gloves,2,80,88,900,500
Equipment,C,Gloves,3,120,105,1100,1000
Equipment,C,Gloves,4,160,123,1200,1500
Equipment,C,Gloves,5,200,140,1400,2000
Equipment,C,Gloves,6,240,158,1600,2500
Equipment,C,Gloves,7,280,175,1800,3000
Equipment,C,Gloves,8,320,193,1900,3500
Equipment,C,Gloves,9,360,210,2100,4000
Equipment,C,Gloves,10,400,228,2300,4500
Equipment,C,Gloves,11,440,245,2500,5000
Equipment,C,Gloves,12,480,263,2600,5500
Equipment,C,Gloves,13,520,280,2800,6000
Equipment,C,Gloves,14,560,298,3000,6500
Equipment,C,Gloves,15,600,315,3200,7000
Equipment,C,Gloves,16,640,333,3300,7500
Equipment,C,Gloves,17,680,350,3500,8000
Equipment,C,Gloves,18,720,368,3700,8500
Equipment,C,Gloves,19,760,385,3900,9000
Equipment,C,Gloves,20,800,403,4000,9500
Equipment,C,Gloves,21,840,420,4200,10000
Equipment,C,Gloves,22,880,438,4400,10500
Equipment,C,Gloves,23,920,455,4600,11000
Equipment,C,Gloves,24,960,473,4700,11500
Equipment,C,Gloves,25,1000,490,4900,12000
Equipment,C,Gloves,26,1040,508,5100,12500
Equipment,C,Gloves,27,1080,525,5300,13000
Equipment,C,Gloves,28,1120,543,5400,13500
Equipment,C,Gloves,29,1160,560,5600,14000
Equipment,C,Gloves,30,1200,578,5800,14500
Equipment,B,Gloves,1,100,212,2000,0
Equipment,B,Gloves,2,200,265,2500,400
Equipment,B,Gloves,3,300,318,3000,800
Equipment,B,Gloves,4,400,371,3500,1200
Equipment,B,Gloves,5,500,424,4000,1600
Equipment,B,Gloves,6,600,477,4500,2000
Equipment,B,Gloves,7,700,530,5000,2400
Equipment,B,Gloves,8,800,583,5500,2800
Equipment,B,Gloves,9,900,636,6000,3200
Equipment,B,Gloves,10,1000,689,6500,3600
Equipment,B,Gloves,11,1100,742,7000,4000
Equipment,B,Gloves,12,1200,795,7600,4400
Equipment,B,Gloves,13,1300,848,8100,4800
Equipment,B,Gloves,14,1400,901,8600,5200
Equipment,B,Gloves,15,1500,954,9100,5600
Equipment,B,Gloves,16,1600,1007,9600,6000
Equipment,B,Gloves,17,1700,1060,10100,6400
Equipment,B,Gloves,18,1800,1113,10600,6800
Equipment,B,Gloves,19,1900,1166,11100,7200
Equipment,B,Gloves,20,2000,1219,11600,7600
Equipment,B,Gloves,21,2100,1272,12100,8000
Equipment,B,Gloves,22,2200,1325,12600,8400
Equipment,B,Gloves,23,2300,1378,13100,8800
Equipment,B,Gloves,24,2400,1431,13600,9200
Equipment,B,Gloves,25,2500,1484,14100,9600
Equipment,B,Gloves,26,2600,1537,14600,10000
Equipment,B,Gloves,27,2700,1590,15100,10400
Equipment,B,Gloves,28,2800,1643,15600,10800
Equipment,B,Gloves,29,2900,1696,16100,11200
Equipment,B,Gloves,30,3000,1749,16600,11600
Equipment,A,Gloves,1,250,655,5900,0
Equipment,A,Gloves,2,500,819,7400,350
Equipment,A,Gloves,3,750,983,8800,700
Equipment,A,Gloves,4,1000,1146,10300,1050
Equipment,A,Gloves,5,1250,1310,11800,1400
Equipment,A,Gloves,6,1500,1474,13300,1750
Equipment,A,Gloves,7,1750,1638,14700,2100
Equipment,A,Gloves,8,2000,1801,16200,2450
Equipment,A,Gloves,9,2250,1965,17700,2800
Equipment,A,Gloves,10,2500,2129,19200,3150
Equipment,A,Gloves,11,2750,2293,20600,3500
Equipment,A,Gloves,12,3000,2456,22100,3850
Equipment,A,Gloves,13,3250,2620,23600,4200
Equipment,A,Gloves,14,3500,2784,25100,4550
Equipment,A,Gloves,15,3750,2948,26500,4900
Equipment,A,Gloves,16,4000,3111,28000,5250
Equipment,A,Gloves,17,4250,3275,29500,5600
Equipment,A,Gloves,18,4500,3439,31000,5950
Equipment,A,Gloves,19,4750,3603,32400,6300
Equipment,A,Gloves,20,5000,3766,33900,6650
Equipment,A,Gloves,21,5250,3930,35400,7000
Equipment,A,Gloves,22,5500,4094,36800,7350
Equipment,A,Gloves,23,5750,4258,38300,7700
Equipment,A,Gloves,24,6000,4421,39800,8050
Equipment,A,Gloves,25,6250,4585,41300,8400
Equipment,A,Gloves,26,6500,4749,42700,8750
Equipment,A,Gloves,27,6750,4913,44200,9100
Equipment,A,Gloves,28,7000,5076,45700,9450
Equipment,A,Gloves,29,7250,5240,47200,9800
Equipment,A,Gloves,30,7500,5404,48600,10150
Equipment,S,Gloves,1,630,1820,15500,0
Equipment,S,Gloves,2,1260,2275,19300,300
Equipment,S,Gloves,3,1890,2730,23200,600
Equipment,S,Gloves,4,2520,3185,27100,900
Equipment,S,Gloves,5,3150,3640,30900,1200
Equipment,S,Gloves,6,3780,4095,34800,1500
Equipment,S,Gloves,7,4410,4550,38700,1800
Equipment,S,Gloves,8,5040,5005,42500,2100
Equipment,S,Gloves,9,5670,5460,46400,2400
Equipment,S,Gloves,10,6300,5915,50300,2700
Equipment,S,Gloves,11,6930,6370,54100,3000
Equipment,S,Gloves,12,7560,6825,58000,3300
Equipment,S,Gloves,13,8190,7280,61900,3600
Equipment,S,Gloves,14,8820,7735,65700,3900
Equipment,S,Gloves,15,9450,8190,69600,4200
Equipment,S,Gloves,16,10080,8645,73500,4500
Equipment,S,Gloves,17,10710,9100,77400,4800
Equipment,S,Gloves,18,11340,9555,81200,5100
Equipment,S,Gloves,19,11970,10010,85100,5400
Equipment,S,Gloves,20,12600,10465,89000,5700
Equipment,S,Gloves,21,13230,10920,92800,6000
Equipment,S,Gloves,22,13860,11375,96700,6300
Equipment,S,Gloves,23,14490,11830,100600,6600
Equipment,S,Gloves,24,15120,12285,104400,6900
Equipment,S,Gloves,25,15750,12740,108300,7200
Equipment,S,Gloves,26,16380,13195,112200,7500
Equipment,S,Gloves,27,17010,13650,116000,7800
Equipment,S,Gloves,28,17640,14105,119900,8100
Equipment,S,Gloves,29,18270,14560,123800,8400
Equipment,S,Gloves,30,18900,15015,127600,8700
Equipment,R,Gloves,1,1580,4724,37800,0
Equipment,R,Gloves,2,3160,5905,47200,250
Equipment,R,Gloves,3,4740,7086,56700,500
Equipment,R,Gloves,4,6320,8267,66100,750
Equipment,R,Gloves,5,7900,9448,75600,1000
Equipment,R,Gloves,6,9480,10629,85000,1250
Equipment,R,Gloves,7,11060,11810,94500,1500
Equipment,R,Gloves,8,12640,12991,103900,1750
Equipment,R,Gloves,9,14220,14172,113400,2000
Equipment,R,Gloves,10,15800,15353,122800,2250
Equipment,R,Gloves,11,17380,16534,132300,2500
Equipment,R,Gloves,12,18960,17715,141700,2750
Equipment,R,Gloves,13,20540,18896,151200,3000
Equipment,R,Gloves,14,22120,20077,160600,3250
Equipment,R,Gloves,15,23700,21258,170100,3500
Equipment,R,Gloves,16,25280,22439,179500,3750
Equipment,R,Gloves,17,26860,23620,189000,4000
Equipment,R,Gloves,18,28440,24801,198400,4250
Equipment,R,Gloves,19,30020,25982,207900,4500
Equipment,R,Gloves,20,31600,27163,217300,4750
Equipment,R,Gloves,21,33180,28344,226800,5000
Equipment,R,Gloves,22,34760,29525,236200,5250
Equipment,R,Gloves,23,36340,30706,245600,5500
Equipment,R,Gloves,24,37920,31887,255100,5750
Equipment,R,Gloves,25,39500,33068,264500,6000
Equipment,R,Gloves,26,41080,34249,274000,6250
Equipment,R,Gloves,27,42660,35430,283400,6500
Equipment,R,Gloves,28,44240,36611,292900,6750
Equipment,R,Gloves,29,45820,37792,302300,7000
Equipment,R,Gloves,30,47400,38973,311800,7250
Equipment,SR,Gloves,1,3950,12205,91500,0
Equipment,SR,Gloves,2,7900,15256,114400,200
Equipment,SR,Gloves,3,11850,18308,137300,400
Equipment,SR,Gloves,4,15800,21359,160200,600
Equipment,SR,Gloves,5,19750,24410,183100,800
Equipment,SR,Gloves,6,23700,27461,206000,1000
Equipment,SR,Gloves,7,27650,30513,228800,1200
Equipment,SR,Gloves,8,31600,33564,251700,1400
Equipment,SR,Gloves,9,35550,36615,274600,1600
Equipment,SR,Gloves,10,39500,39666,297500,1800
Equipment,SR,Gloves,11,43450,42718,320400,2000
Equipment,SR,Gloves,12,47400,45769,343300,2200
Equipment,SR,Gloves,13,51350,48820,366200,2400
Equipment,SR,Gloves,14,55300,51871,389000,2600
Equipment,SR,Gloves,15,59250,54923,411900,2800
Equipment,SR,Gloves,16,63200,57974,434800,3000
Equipment,SR,Gloves,17,67150,61025,457700,3200
Equipment,SR,Gloves,18,71100,64076,480600,3400
Equipment,SR,Gloves,19,75050,67128,503500,3600
Equipment,SR,Gloves,20,79000,70179,526300,3800
Equipment,SR,Gloves,21,82950,73230,549200,4000
Equipment,SR,Gloves,22,86900,76281,572100,4200
Equipment,SR,Gloves,23,90850,79333,595000,4400
Equipment,SR,Gloves,24,94800,82384,617900,4600
Equipment,SR,Gloves,25,98750,85435,640800,4800
Equipment,SR,Gloves,26,102700,88486,663600,5000
Equipment,SR,Gloves,27,106650,91538,686500,5200
Equipment,SR,Gloves,28,110600,94589,709400,5400
Equipment,SR,Gloves,29,114550,97640,732300,5600
Equipment,SR,Gloves,30,118500,100691,755200,5800
Equipment,SR,Gloves,31,122450,103743,778100,6300
Equipment,SR,Gloves,32,126400,106794,801000,6800
Equipment,SR,Gloves,33,130350,109845,823800,7300
Equipment,SR,Gloves,34,134300,112896,846700,7800
Equipment,SR,Gloves,35,138250,115948,869600,8300
Equipment,SR,Gloves,36,142200,118999,892500,8800
Equipment,SR,Gloves,37,146150,122050,915400,9300
Equipment,SR,Gloves,38,150100,125101,938300,9800
Equipment,SR,Gloves,39,154050,128153,961100,10300
Equipment,SR,Gloves,40,158000,131204,984000,10800
Equipment,UR,Gloves,1,6720,21436,150100,0
Equipment,UR,Gloves,2,13440,26795,187600,100
Equipment,UR,Gloves,3,20160,32154,225100,200
Equipment,UR,Gloves,4,26880,37513,262600,300
Equipment,UR,Gloves,5,33600,42872,300100,400
Equipment,UR,Gloves,6,40320,48231,337600,500
Equipment,UR,Gloves,7,47040,53590,375100,600
Equipment,UR,Gloves,8,53760,58949,412600,700
Equipment,UR,Gloves,9,60480,64308,450200,800
Equipment,UR,Gloves,10,67200,69667,487700,900
Equipment,UR,Gloves,11,73920,75026,525200,1000
Equipment,UR,Gloves,12,80640,80385,562700,1100
Equipment,UR,Gloves,13,87360,85744,600200,1200
Equipment,UR,Gloves,14,94080,91103,637700,1300
Equipment,UR,Gloves,15,100800,96462,675200,1400
Equipment,UR,Gloves,16,107520,101821,712700,1500
Equipment,UR,Gloves,17,114240,107180,750300,1600
Equipment,UR,Gloves,18,120960,112539,787800,1700
Equipment,UR,Gloves,19,127680,117898,825300,1800
Equipment,UR,Gloves,20,134400,123257,862800,1900
Equipment,UR,Gloves,21,141120,128616,900300,2000
Equipment,UR,Gloves,22,147840,133975,937800,2100
Equipment,UR,Gloves,23,154560,139334,975300,2200
Equipment,UR,Gloves,24,161280,144693,1012900,2300
Equipment,UR,Gloves,25,168000,150052,1050400,2400
Equipment,UR,Gloves,26,174720,155411,1087900,2500
Equipment,UR,Gloves,27,181440,160770,1125400,2600
Equipment,UR,Gloves,28,188160,166129,1162900,2700
Equipment,UR,Gloves,29,194880,171488,1200400,2800
Equipment,UR,Gloves,30,201600,176847,1237900,2900
Equipment,UR,Gloves,31,208320,182206,1275400,3150
Equipment,UR,Gloves,32,215040,187565,1313000,3400
Equipment,UR,Gloves,33,221760,192924,1350500,3650
Equipment,UR,Gloves,34,228480,198283,1388000,3900
Equipment,UR,Gloves,35,235200,203642,1425500,4150
Equipment,UR,Gloves,36,241920,209001,1463000,4400
Equipment,UR,Gloves,37,248640,214360,1500500,4650
Equipment,UR,Gloves,38,255360,219719,1538000,4900
Equipment,UR,Gloves,39,262080,225078,1575500,5150
Equipment,UR,Gloves,40,268800,230437,1613100,5400
Equipment,C,Boots,1,40,70,700,0
Equipment,C,Boots,2,80,88,900,500
Equipment,C,Boots,3,120,105,1100,1000
Equipment,C,Boots,4,160,123,1200,1500
Equipment,C,Boots,5,200,140,1400,2000
Equipment,C,Boots,6,240,158,1600,2500
Equipment,C,Boots,7,280,175,1800,3000
Equipment,C,Boots,8,320,193,1900,3500
Equipment,C,Boots,9,360,210,2100,4000
Equipment,C,Boots,10,400,228,2300,4500
Equipment,C,Boots,11,440,245,2500,5000
Equipment,C,Boots,12,480,263,2600,5500
Equipment,C,Boots,13,520,280,2800,6000
Equipment,C,Boots,14,560,298,3000,6500
Equipment,C,Boots,15,600,315,3200,7000
Equipment,C,Boots,16,640,333,3300,7500
Equipment,C,Boots,17,680,350,3500,8000
Equipment,C,Boots,18,720,368,3700,8500
Equipment,C,Boots,19,760,385,3900,9000
Equipment,C,Boots,20,800,403,4000,9500
Equipment,C,Boots,21,840,420,4200,10000
Equipment,C,Boots,22,880,438,4400,10500
Equipment,C,Boots,23,920,455,4600,11000
Equipment,C,Boots,24,960,473,4700,11500
Equipment,C,Boots,25,1000,490,4900,12000
Equipment,C,Boots,26,1040,508,5100,12500
Equipment,C,Boots,27,1080,525,5300,13000
Equipment,C,Boots,28,1120,543,5400,13500
Equipment,C,Boots,29,1160,560,5600,14000
Equipment,C,Boots,30,1200,578,5800,14500
Equipment,B,Boots,1,100,212,2000,0
Equipment,B,Boots,2,200,265,2500,400
Equipment,B,Boots,3,300,318,3000,800
Equipment,B,Boots,4,400,371,3500,1200
Equipment,B,Boots,5,500,424,4000,1600
Equipment,B,Boots,6,600,477,4500,2000
Equipment,B,Boots,7,700,530,5000,2400
Equipment,B,Boots,8,800,583,5500,2800
Equipment,B,Boots,9,900,636,6000,3200
Equipment,B,Boots,10,1000,689,6500,3600
Equipment,B,Boots,11,1100,742,7000,4000
Equipment,B,Boots,12,1200,795,7600,4400
Equipment,B,Boots,13,1300,848,8100,4800
Equipment,B,Boots,14,1400,901,8600,5200
Equipment,B,Boots,15,1500,954,9100,5600
Equipment,B,Boots,16,1600,1007,9600,6000
Equipment,B,Boots,17,1700,1060,10100,6400
Equipment,B,Boots,18,1800,1113,10600,6800
Equipment,B,Boots,19,1900,1166,11100,7200
Equipment,B,Boots,20,2000,1219,11600,7600
Equipment,B,Boots,21,2100,1272,12100,8000
Equipment,B,Boots,22,2200,1325,12600,8400
Equipment,B,Boots,23,2300,1378,13100,8800
Equipment,B,Boots,24,2400,1431,13600,9200
Equipment,B,Boots,25,2500,1484,14100,9600
Equipment,B,Boots,26,2600,1537,14600,10000
Equipment,B,Boots,27,2700,1590,15100,10400
Equipment,B,Boots,28,2800,1643,15600,10800
Equipment,B,Boots,29,2900,1696,16100,11200
Equipment,B,Boots,30,3000,1749,16600,11600
Equipment,A,Boots,1,250,655,5900,0
Equipment,A,Boots,2,500,819,7400,350
Equipment,A,Boots,3,750,983,8800,700
Equipment,A,Boots,4,1000,1146,10300,1050
Equipment,A,Boots,5,1250,1310,11800,1400
Equipment,A,Boots,6,1500,1474,13300,1750
Equipment,A,Boots,7,1750,1638,14700,2100
Equipment,A,Boots,8,2000,1801,16200,2450
Equipment,A,Boots,9,2250,1965,17700,2800
Equipment,A,Boots,10,2500,2129,19200,3150
Equipment,A,Boots,11,2750,2293,20600,3500
Equipment,A,Boots,12,3000,2456,22100,3850
Equipment,A,Boots,13,3250,2620,23600,4200
Equipment,A,Boots,14,3500,2784,25100,4550
Equipment,A,Boots,15,3750,2948,26500,4900
Equipment,A,Boots,16,4000,3111,28000,5250
Equipment,A,Boots,17,4250,3275,29500,5600
Equipment,A,Boots,18,4500,3439,31000,5950
Equipment,A,Boots,19,4750,3603,32400,6300
Equipment,A,Boots,20,5000,3766,33900,6650
Equipment,A,Boots,21,5250,3930,35400,7000
Equipment,A,Boots,22,5500,4094,36800,7350
Equipment,A,Boots,23,5750,4258,38300,7700
Equipment,A,Boots,24,6000,4421,39800,8050
Equipment,A,Boots,25,6250,4585,41300,8400
Equipment,A,Boots,26,6500,4749,42700,8750
Equipment,A,Boots,27,6750,4913,44200,9100
Equipment,A,Boots,28,7000,5076,45700,9450
Equipment,A,Boots,29,7250,5240,47200,9800
Equipment,A,Boots,30,7500,5404,48600,10150
Equipment,S,Boots,1,630,1820,15500,0
Equipment,S,Boots,2,1260,2275,19300,300
Equipment,S,Boots,3,1890,2730,23200,600
Equipment,S,Boots,4,2520,3185,27100,900
Equipment,S,Boots,5,3150,3640,30900,1200
Equipment,S,Boots,6,3780,4095,34800,1500
Equipment,S,Boots,7,4410,4550,38700,1800
Equipment,S,Boots,8,5040,5005,42500,2100
Equipment,S,Boots,9,5670,5460,46400,2400
Equipment,S,Boots,10,6300,5915,50300,2700
Equipment,S,Boots,11,6930,6370,54100,3000
Equipment,S,Boots,12,7560,6825,58000,3300
Equipment,S,Boots,13,8190,7280,61900,3600
Equipment,S,Boots,14,8820,7735,65700,3900
Equipment,S,Boots,15,9450,8190,69600,4200
Equipment,S,Boots,16,10080,8645,73500,4500
Equipment,S,Boots,17,10710,9100,77400,4800
Equipment,S,Boots,18,11340,9555,81200,5100
Equipment,S,Boots,19,11970,10010,85100,5400
Equipment,S,Boots,20,12600,10465,89000,5700
Equipment,S,Boots,21,13230,10920,92800,6000
Equipment,S,Boots,22,13860,11375,96700,6300
Equipment,S,Boots,23,14490,11830,100600,6600
Equipment,S,Boots,24,15120,12285,104400,6900
Equipment,S,Boots,25,15750,12740,108300,7200
Equipment,S,Boots,26,16380,13195,112200,7500
Equipment,S,Boots,27,17010,13650,116000,7800
Equipment,S,Boots,28,17640,14105,119900,8100
Equipment,S,Boots,29,18270,14560,123800,8400
Equipment,S,Boots,30,18900,15015,127600,8700
Equipment,R,Boots,1,1580,4724,37800,0
Equipment,R,Boots,2,3160,5905,47200,250
Equipment,R,Boots,3,4740,7086,56700,500
Equipment,R,Boots,4,6320,8267,66100,750
Equipment,R,Boots,5,7900,9448,75600,1000
Equipment,R,Boots,6,9480,10629,85000,1250
Equipment,R,Boots,7,11060,11810,94500,1500
Equipment,R,Boots,8,12640,12991,103900,1750
Equipment,R,Boots,9,14220,14172,113400,2000
Equipment,R,Boots,10,15800,15353,122800,2250
Equipment,R,Boots,11,17380,16534,132300,2500
Equipment,R,Boots,12,18960,17715,141700,2750
Equipment,R,Boots,13,20540,18896,151200,3000
Equipment,R,Boots,14,22120,20077,160600,3250
Equipment,R,Boots,15,23700,21258,170100,3500
Equipment,R,Boots,16,25280,22439,179500,3750
Equipment,R,Boots,17,26860,23620,189000,4000
Equipment,R,Boots,18,28440,24801,198400,4250
Equipment,R,Boots,19,30020,25982,207900,4500
Equipment,R,Boots,20,31600,27163,217300,4750
Equipment,R,Boots,21,33180,28344,226800,5000
Equipment,R,Boots,22,34760,29525,236200,5250
Equipment,R,Boots,23,36340,30706,245600,5500
Equipment,R,Boots,24,37920,31887,255100,5750
Equipment,R,Boots,25,39500,33068,264500,6000
Equipment,R,Boots,26,41080,34249,274000,6250
Equipment,R,Boots,27,42660,35430,283400,6500
Equipment,R,Boots,28,44240,36611,292900,6750
Equipment,R,Boots,29,45820,37792,302300,7000
Equipment,R,Boots,30,47400,38973,311800,7250
Equipment,SR,Boots,1,3950,12205,91500,0
Equipment,SR,Boots,2,7900,15256,114400,200
Equipment,SR,Boots,3,11850,18308,137300,400
Equipment,SR,Boots,4,15800,21359,160200,600
Equipment,SR,Boots,5,19750,24410,183100,800
Equipment,SR,Boots,6,23700,27461,206000,1000
Equipment,SR,Boots,7,27650,30513,228800,1200
Equipment,SR,Boots,8,31600,33564,251700,1400
Equipment,SR,Boots,9,35550,36615,274600,1600
Equipment,SR,Boots,10,39500,39666,297500,1800
Equipment,SR,Boots,11,43450,42718,320400,2000
Equipment,SR,Boots,12,47400,45769,343300,2200
Equipment,SR,Boots,13,51350,48820,366200,2400
Equipment,SR,Boots,14,55300,51871,389000,2600
Equipment,SR,Boots,15,59250,54923,411900,2800
Equipment,SR,Boots,16,63200,57974,434800,3000
Equipment,SR,Boots,17,67150,61025,457700,3200
Equipment,SR,Boots,18,71100,64076,480600,3400
Equipment,SR,Boots,19,75050,67128,503500,3600
Equipment,SR,Boots,20,79000,70179,526300,3800
