Id,ManagerGrade,QuestType,ReplaceString1Key,NameKey,ReplaceString2Key,QuestDesc1Key,QuestDesc2Key,TaskType,TaskCondition,TaskCount,TaskContentType,NpcAutoMoveID,ContentsLockId,Help,Reward1Type,Reward1ItemInfold,Reward1Count,Reward2Type,Reward2ItemInfold,Reward2Count,Reward3Type,Reward3ItemInfold,Reward3Count,GroupType,GreaterThanOrEqual,RewardContribution,GuildRewardType1,GuildRewardItemInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardItemInfold2,GuildRewardCount2
1602,Basic,Guild,0,9410000001602,0,9420000001602,9430000001602,Count_PetItemLevelUp,,10,RidingPetEquipLevelup,,1,0,Adena,,3000,,,,,,,Item,0,50,Item,500062,5,ExpAgitCrystal,,70
1603,Basic,Guild,0,9410000001603,0,9420000001603,9430000001603,Count_ItemUpgrade,,1,BlackSmithUpgrade,,1,0,Adena,,3000,,,,,,,Item,0,50,Item,500063,5,Firewood,,35
1604,Prestigious,Guild,0,9410000001604,0,9420000000381,9430000000381,Count_ItemComposition,,2,BlackSmithComposition,,1,0,Item,490022,1,,,,,,,Item,0,50,Item,500081,15,ExpAgitCrystal,,70
1605,Prestigious,Guild,0,9410000001605,0,9420000000361,9430000000361,Count_ItemEnchant,,3,BlackSmithEnchant,,1,0,Item,490022,1,,,,,,,Item,0,50,Firewood,,35,ExpAgitCrystal,,70
1606,Expert,Guild,0,9410000001606,0,9420000000371,9430000000371,Count_ItemEnchantSuccess,,1,BlackSmithEnchant,,1,0,Item,490022,1,,,,,,,Item,0,50,ExpAgitCrystal,,70,Item,500061,7
1607,Basic,Guild,0,9410000001607,0,9420000001607,9430000001607,Count_ItemAbilityUpgrade,,1,BlackSmithAbilityEnchant,,1,0,Item,490022,1,,,,,,,Item,0,50,Item,500061,7,Item,500062,5
1608,Basic,Guild,0,9410000001608,0,9420000001608,9430000001608,Count_ItemOptionChange,,1,BlackSmithOptionChange,,1,0,Item,490022,1,,,,,,,Item,0,50,Item,500062,5,Item,500063,5
1609,Expert,Guild,0,9410000001609,0,9420000001609,9430000001609,Count_ItemLimitBreak,,1,BlackSmithLimitBreak,,1,0,Item,500119,1,,,,,,,Item,0,50,Item,500081,15,Firewood,,35
1610,Basic,Guild,0,9410000001610,0,9420000001610,9430000001610,Count_ItemDisassemble,Equipment,3,ItemCraftingDisassemble,,1,0,Item,500119,1,,,,,,,Item,0,50,Item,500061,7,Item,500081,15
1701,Basic,Guild,0,9410000001701,0,9420000001701,9430000001701,Count_ShopPurchase,4010,1,NormalShopConsumable,,,0,Item,500119,1,,,,,,,Assets,0,50,Item,500062,5,Item,500081,15
1702,Expert,Guild,0,9410000001702,0,9420000001702,9430000001702,Count_ShopPurchase,4019,3,NormalShopConsumable,,,0,Item,500119,1,,,,,,,Assets,0,50,Item,500063,5,Item,500081,15
1703,Prestigious,Guild,0,9410000001703,0,9420000001703,9430000001703,Count_ShopPurchase,4002,1,NormalShopConsumable,,,0,Adena,,3000,,,,,,,Assets,0,50,Item,500061,7,Firewood,,35
1721,Max,Guild,9490000001721,9410000000251,0,9420000001721,9430000001721,Count_ShopPurchase,10017,3,NormalShopRecommend,,8,0,Adena,,3000,,,,,,,Growth,0,50,Item,500062,5,ExpAgitCrystal,,70
1722,Max,Guild,9490000001722,9410000000251,0,9420000001722,9430000001722,Count_ShopPurchase,5024,1,NormalShopEquipment,,8,0,Adena,,3000,,,,,,,Growth,0,50,Item,500063,5,Firewood,,35
1723,Max,Guild,4029,9410000000421,0,9420000001723,9430000001723,Count_ShopPurchase,5025,1,NormalShopEquipment,,8,0,Item,490022,1,,,,,,,Growth,0,50,Item,500081,15,ExpAgitCrystal,,70
1725,Max,Guild,61000002060,9410000000421,0,9420000001725,9430000001725,Count_ShopPurchase,5023,1,NormalShopEquipment,,8,0,Item,490022,1,,,,,,,Growth,0,50,ExpAgitCrystal,,70,Item,500061,7
1726,Basic,Guild,0,9410000001726,0,9420000001726,9430000001726,Count_ShopPurchase,4004,1,NormalShopConsumable,,8,0,Item,490022,1,,,,,,,Growth,0,50,Item,500061,7,Item,500062,5
1727,Prestigious,Guild,0,9410000001726,0,9420000001727,9430000001727,Count_ShopPurchase,4008,1,NormalShopConsumable,,8,0,Item,490022,1,,,,,,,Growth,0,50,Item,500062,5,Item,500063,5
1801,Prestigious,Guild,0,9410000000431,1019,9420000000431,9430000000431,Count_UseItem,SoulShot,1000,NormalShopConsumable,,2,0,Item,500119,1,,,,,,,Assets,0,50,Item,500081,15,Firewood,,35
1802,Expert,Guild,0,9410000000432,731000000209,9420000000431,9430000000432,Count_UseItem,HPPotion,70,NormalShopConsumable,,,0,Item,500119,1,,,,,,,Assets,0,50,Item,500061,7,Item,500081,15
1803,Basic,Guild,0,9410000000432,731000000210,9420000000431,9430000000433,Count_UseItem,MPPotion,70,NormalShopConsumable,,,0,Item,500119,1,,,,,,,Assets,0,50,Item,500062,5,Item,500081,15
1804,Prestigious,Guild,0,9410000000434,1002,9420000000431,9430000001804,Count_UseCostType,Adena,200000,CharacterPromote,,,0,Item,500119,1,,,,,,,Assets,0,50,Item,500063,5,Item,500081,15
1805,Basic,Guild,0,9410000000436,1011,9420000000431,9430000000436,Count_UseCostType,FreeDiamond,240,NormalShopEquipment,,,0,Adena,,3000,,,,,,,Assets,0,50,Item,500061,7,Firewood,,35
1806,Expert,Guild,0,9410000000438,1010,9420000000431,9430000000438,Count_UseCostType,PayDiamond,240,NormalShopEquipment,,,0,Adena,,3000,,,,,,,Assets,0,50,Item,500062,5,ExpAgitCrystal,,70
1807,Prestigious,Guild,0,9410000001807,0,9420000000361,9430000001807,Count_ItemEnchant,,5,BlackSmithEnchant,,1,0,Adena,,3000,,,,,,,Item,0,50,Item,500063,5,Firewood,,35
1808,Basic,Guild,0,9410000001808,0,9420000001541,9430000001541,Count_ItemDisassemble,All,5,ItemCraftingDisassemble,,,0,Item,490022,1,,,,,,,Item,0,50,Item,500081,15,ExpAgitCrystal,,70
1901,Basic,Guild,0,9410000000403,0,9420000000501,9430000000501,Count_TotalContribution,,350,Guild,,,0,Item,490022,1,,,,,,,Social,0,50,Firewood,,35,ExpAgitCrystal,,70
1902,Prestigious,Guild,0,9410000001902,0,9420000000502,9430000000502,Count_GreetingColleague,,20,Guild,,,0,Item,490022,1,,,,,,,Social,0,50,ExpAgitCrystal,,70,Item,500061,7
1903,Prestigious,Guild,0,9410000000503,0,4009,9430000000503,Count_Donation,,50,Guild,,,0,Item,490022,1,,,,,,,Social,0,50,Item,500061,7,Item,500062,5
1904,Prestigious,Guild,0,9410000000504,0,9420000001904,9430000000504,Count_DonationAdena,,100000,Guild,,,0,Item,490022,1,,,,,,,Social,0,50,Item,500062,5,Item,500063,5
1905,Expert,Guild,0,9410000000505,0,9420000001905,9430000000505,Count_DonationCrystal,,1200,Guild,,,0,Item,500119,1,,,,,,,Social,0,50,Item,500081,15,Firewood,,35
1906,Prestigious,Guild,0,9410000000506,0,9420000001906,9430000000506,Count_DonationRedStarStone,,800,Guild,,,0,Item,500119,1,,,,,,,Social,0,50,Item,500061,7,Item,500081,15
9015,Prestigious,Guild,0,9410000009015,731000003865,9420000009015,9430000009015,Count_AgitBanquet,1,1,GuildAgit,,,0,Item,500119,1,,,,,,,Social,0,50,Item,500062,5,Item,500081,15
9016,Basic,Guild,0,9410000009016,731000003866,9420000009015,9430000009016,Count_AgitBanquet,2,1,GuildAgit,,,0,Item,500119,1,,,,,,,Social,0,50,Item,500063,5,Item,500081,15
9017,Expert,Guild,0,9410000009017,731000003867,9420000009015,9430000009017,Count_AgitBanquet,3,1,GuildAgit,,,0,Adena,,3000,,,,,,,Social,0,50,Item,500061,7,Firewood,,35
9018,Basic,Guild,0,9410000009018,0,9420000009018,9430000009018,Count_AgitPotion,,3,GuildAgit,,,0,Adena,,3000,,,,,,,Social,0,50,Item,500062,5,ExpAgitCrystal,,70
9019,Prestigious,Guild,0,9410000009019,0,9420000009019,9430000009019,Count_AgitRelic,,3,GuildAgit,,,0,Adena,,3000,,,,,,,Social,0,50,Item,500063,5,Firewood,,35
